<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AER,60,20240411,160000,0.102,0.102,0.102,0.102,8400,0
AER,60,20240412,120000,0.102,0.102,0.102,0.102,49900,0
AER,60,20240412,160000,0.1,0.1,0.1,0.1,19300,0
AER,60,20240415,120000,0.119,0.119,0.119,0.119,400,0
AER,60,20240415,160000,0.1,0.1,0.1,0.1,4869,0
AER,60,20240422,120000,0.1,0.1,0.0995,0.0995,15331,0
AER,60,20240423,160000,0.1,0.1,0.1,0.1,250,0
AER,60,20240424,120000,0.09,0.09,0.09,0.09,2422,0
AER,60,20240424,160000,0.1,0.1,0.1,0.1,100,0
AER,60,20240430,120000,0.1,0.109,0.1,0.109,200,0
AER,60,20240502,160000,0.1,0.1,0.1,0.1,1978,0
AER,60,20240522,120000,0.1,0.1,0.08,0.08,10000,0
AER,60,20240528,160000,0.07,0.07,0.07,0.07,1,0
AER,60,20240603,120000,0.07,0.07,0.07,0.07,10825,0
AER,60,20240603,160000,0.09,0.09,0.09,0.09,500,0
AER,60,20241115,120000,0.07,0.07,0.07,0.07,1000,0
AER,60,20241115,160000,0.07,0.07,0.07,0.07,1000,0
AER,60,20241119,120000,0.07,0.07,0.07,0.07,11125,0
AER,60,20241120,160000,0.07,0.07,0.07,0.07,10100,0
AER,60,20241121,120000,0.09,0.09,0.09,0.09,1600,0
AER,60,20241121,160000,0.08,0.08,0.08,0.08,1000,0
AER,60,20241125,120000,0.09,0.09,0.09,0.09,1000,0
AER,60,20241204,160000,0.09,0.09,0.071,0.09,4230,0
AER,60,20241212,120000,0.0895,0.0895,0.0895,0.0895,1000,0
AER,60,20241213,160000,0.07,0.07,0.07,0.07,70377,0
AER,60,20241217,120000,0.089,0.089,0.089,0.089,100,0
AER,60,20241217,160000,0.04,0.04,0.04,0.04,25601,0
AER,60,20241218,120000,0.0405,0.0405,0.0405,0.0405,100,0
AER,60,20241218,160000,0.055,0.055,0.055,0.055,900,0
AER,60,20241223,120000,0.0405,0.0405,0.0405,0.0405,1526,0
AER,60,20241223,160000,0.04,0.04,0.04,0.04,36000,0
AER,60,20250103,120000,0.04,0.05,0.04,0.05,850,0
AER,60,20250103,160000,0.05,0.05,0.05,0.05,100,0
AER,60,20250107,120000,0.055,0.055,0.055,0.055,100,0
AER,60,20250108,160000,0.0405,0.0525,0.0405,0.0525,12159,0
AER,60,20250109,120000,0.0595,0.0595,0.0595,0.0595,2200,0
AER,60,20250110,160000,0.0695,0.0895,0.0695,0.0895,11780,0
AER,60,20250113,120000,0.0875,0.0875,0.0875,0.0875,2600,0
AER,60,20250120,160000,0.0875,0.0875,0.0615,0.087,13796,0
AER,60,20250121,120000,0.0875,0.0875,0.0875,0.0875,1100,0
AER,60,20250121,160000,0.0625,0.0625,0.0625,0.0625,1500,0
AER,60,20250123,120000,0.063,0.0815,0.063,0.0815,1400,0
AER,60,20250123,160000,0.0815,0.0815,0.0815,0.0815,600,0
AER,60,20250124,120000,0.07,0.07,0.07,0.07,1500,0
AER,60,20250124,160000,0.07,0.07,0.07,0.07,1000,0
AER,60,20250127,120000,0.0875,0.0875,0.0875,0.0875,700,0
AER,60,20250128,160000,0.0625,0.087,0.0625,0.087,4000,0
AER,60,20250129,120000,0.0875,0.0875,0.0875,0.0875,7000,0
AER,60,20250129,160000,0.0625,0.0625,0.0625,0.0625,30000,0
AER,60,20250130,120000,0.0795,0.0795,0.0795,0.0795,800,0
AER,60,20250130,160000,0.0785,0.0785,0.0785,0.0785,224,0
AER,60,20250131,120000,0.0635,0.0635,0.0635,0.0635,4800,0
AER,60,20250203,160000,0.062,0.069,0.062,0.069,111100,0
AER,60,20250204,120000,0.07,0.07,0.07,0.07,7550,0
AER,60,20250210,160000,0.07,0.07,0.0695,0.0695,1850,0
AER,60,20250214,120000,0.077,0.077,0.07,0.07,19325,0
AER,60,20250214,160000,0.07,0.07,0.07,0.07,71,0
AER,60,20250219,120000,0.06,0.06,0.06,0.06,200,0
AER,60,20250220,160000,0.0695,0.0695,0.0695,0.0695,1000,0
AER,60,20250221,120000,0.0695,0.0695,0.0695,0.0695,100,0
AER,60,20250221,160000,0.068,0.068,0.068,0.068,286,0
AER,60,20250228,120000,0.0695,0.0695,0.0695,0.0695,2717,0
AER,60,20250306,160000,0.069,0.069,0.069,0.069,200,0
AER,60,20250321,120000,0.087,0.087,0.0795,0.0795,9055,0
AER,60,20250325,160000,0.07,0.07,0.07,0.07,9850,0
AER,60,20250326,120000,0.068,0.068,0.068,0.068,9042,0
AER,60,20250401,160000,0.069,0.069,0.069,0.069,100,0
AER,60,20250404,120000,0.068,0.068,0.068,0.068,1000,0
AER,60,20250411,160000,0.069,0.069,0.069,0.069,145,0
AER,60,20250425,120000,0.0595,0.0595,0.0435,0.0565,85936,0
AER,60,20250425,160000,0.06,0.06,0.06,0.06,1800,0
AER,60,20250429,120000,0.0595,0.0595,0.043,0.043,22420,0
AER,60,20250429,160000,0.0495,0.0495,0.0495,0.0495,500,0
AER,60,20250430,120000,0.0585,0.0585,0.0585,0.0585,23000,0
AER,60,20250430,160000,0.059,0.059,0.059,0.059,26512,0
AER,60,20250512,120000,0.059,0.059,0.044,0.044,20200,0
AER,60,20250512,160000,0.056,0.056,0.056,0.056,2000,0
AER,60,20250529,120000,0.0555,0.0555,0.05,0.05,10300,0
AER,60,20250530,160000,0.045,0.045,0.045,0.045,7799,0
AER,60,20250602,120000,0.045,0.045,0.045,0.045,200,0
