<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFC,60,20240524,120000,0.38,0.38,0.32,0.32,4700,0
AFC,60,20240524,160000,0.324,0.324,0.324,0.324,28,0
AFC,60,20240527,120000,0.324,0.324,0.324,0.324,1272,0
AFC,60,20240527,160000,0.324,0.324,0.324,0.324,1500,0
AFC,60,20240703,120000,0.324,0.324,0.324,0.324,100,0
AFC,60,20240703,160000,0.324,0.324,0.324,0.324,318,0
AFC,60,20240704,120000,0.324,0.324,0.324,0.324,20,0
AFC,60,20240704,160000,0.324,0.324,0.324,0.324,662,0
AFC,60,20240705,120000,0.324,0.324,0.324,0.324,1320,0
AFC,60,20240705,160000,0.33,0.33,0.33,0.33,340,0
AFC,60,20240709,120000,0.33,0.33,0.33,0.33,3380,0
AFC,60,20240716,160000,0.36,0.36,0.358,0.358,1860,0
AFC,60,20240805,120000,0.358,0.358,0.358,0.358,280,0
AFC,60,20240923,160000,0.314,0.314,0.314,0.314,20,0
AFC,60,20240930,120000,0.314,0.314,0.314,0.314,1520,0
AFC,60,20241001,160000,0.314,0.314,0.314,0.314,20,0
AFC,60,20241022,120000,0.314,0.314,0.314,0.314,280,0
AFC,60,20241023,160000,0.31,0.31,0.31,0.31,206,0
AFC,60,20241025,120000,0.31,0.31,0.31,0.31,35,0
AFC,60,20241028,160000,0.302,0.302,0.302,0.302,3999,0
AFC,60,20241029,120000,0.28,0.28,0.28,0.28,200,0
AFC,60,20241029,160000,0.302,0.302,0.302,0.302,6,0
AFC,60,20241030,120000,0.254,0.254,0.254,0.254,3250,0
AFC,60,20241030,160000,0.3,0.3,0.3,0.3,7,0
AFC,60,20241105,120000,0.3,0.3,0.3,0.3,60,0
AFC,60,20241105,160000,0.258,0.258,0.258,0.258,1495,0
AFC,60,20241106,120000,0.258,0.258,0.258,0.258,5,0
AFC,60,20241106,160000,0.288,0.288,0.288,0.288,5,0
AFC,60,20241114,120000,0.288,0.288,0.252,0.252,1580,0
AFC,60,20241114,160000,0.288,0.288,0.288,0.288,4,0
