<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKD,60,20240411,100000,5.26,5.38,5.26,5.36,140,0
BKD,60,20240411,110000,5.26,5.26,5.26,5.26,33,0
BKD,60,20240412,100000,5.24,5.24,5.2,5.2,81,0
BKD,60,20240412,150000,5.06,5.06,5.02,5.06,170,0
BKD,60,20240412,160000,5.06,5.14,5.06,5.14,120,0
BKD,60,20240412,170000,5.14,5.18,5.14,5.18,25,0
BKD,60,20240415,100000,5.18,5.2,5.18,5.18,27,0
BKD,60,20240415,170000,5.08,5.18,5.08,5.18,43,0
BKD,60,20240416,100000,5.2,5.2,5.2,5.2,24,0
BKD,60,20240416,110000,5.08,5.08,5.08,5.08,180,0
BKD,60,20240416,160000,5.04,5.06,5.04,5.06,300,0
BKD,60,20240417,100000,5.18,5.18,5.16,5.16,46,0
BKD,60,20240417,130000,5.04,5.04,4.9,5,274,0
BKD,60,20240417,140000,4.94,4.94,4.94,4.94,10,0
BKD,60,20240417,150000,4.94,4.94,4.94,4.94,50,0
BKD,60,20240417,160000,4.94,4.94,4.94,4.94,50,0
BKD,60,20240417,170000,4.94,5,4.88,4.88,155,0
BKD,60,20240418,100000,4.86,4.86,4.86,4.86,157,0
BKD,60,20240418,110000,4.84,4.86,4.84,4.86,65,0
BKD,60,20240418,120000,4.86,4.86,4.86,4.86,481,0
BKD,60,20240418,130000,4.86,5,4.86,4.96,348,0
BKD,60,20240419,100000,5,5,5,5,18,0
BKD,60,20240419,110000,4.8,4.8,4.6,4.6,828,0
BKD,60,20240419,120000,4.88,4.97,4.88,4.97,101,0
BKD,60,20240419,150000,4.9,4.9,4.8,4.8,220,0
BKD,60,20240419,160000,4.8,4.8,4.8,4.8,30,0
BKD,60,20240419,170000,4.94,4.96,4.94,4.96,51,0
BKD,60,20240422,100000,4.96,4.96,4.9,4.9,49,0
BKD,60,20240422,140000,4.94,5,4.94,5,50,0
BKD,60,20240423,100000,5,5,4.9,4.9,160,0
BKD,60,20240423,110000,4.9,4.9,4.9,4.9,15,0
BKD,60,20240423,130000,4.9,4.9,4.9,4.9,205,0
BKD,60,20240423,140000,4.9,4.9,4.9,4.9,79,0
BKD,60,20240423,160000,4.9,4.9,4.9,4.9,10,0
BKD,60,20240423,170000,5,5,5,5,24,0
BKD,60,20240424,100000,5,5,5,5,27,0
BKD,60,20240424,120000,4.98,4.98,4.98,4.98,20,0
BKD,60,20240424,130000,4.98,4.98,4.98,4.98,10,0
BKD,60,20240424,150000,4.98,4.98,4.98,4.98,20,0
BKD,60,20240425,100000,5,5,5,5,29,0
BKD,60,20240425,110000,4.9,4.9,4.89,4.89,266,0
BKD,60,20240425,120000,4.89,4.89,4.89,4.89,15,0
BKD,60,20240425,130000,4.8,4.8,4.8,4.8,160,0
BKD,60,20240425,140000,4.75,4.98,4.72,4.98,485,0
BKD,60,20240426,100000,4.92,5,4.92,5,620,0
BKD,60,20240426,110000,5,5,5,5,71,0
BKD,60,20240426,140000,4.94,4.94,4.94,4.94,140,0
BKD,60,20240426,170000,4.98,4.98,4.98,4.98,22,0
BKD,60,20240429,100000,5,5,4.9,4.9,209,0
BKD,60,20240429,110000,4.99,4.99,4.99,4.99,30,0
BKD,60,20240429,160000,4.99,4.99,4.99,4.99,10,0
BKD,60,20240430,100000,5,5,5,5,2,0
BKD,60,20240430,140000,4.82,4.97,4.82,4.97,262,0
BKD,60,20240430,170000,4.95,4.98,4.95,4.98,88,0
BKD,60,20240502,100000,5.04,5.1,5.04,5.1,80,0
BKD,60,20240502,110000,5.12,5.16,5.1,5.1,51,0
BKD,60,20240502,130000,5,5,5,5,43,0
BKD,60,20240502,140000,4.96,4.96,4.96,4.96,30,0
BKD,60,20240502,170000,5,5,5,5,71,0
BKD,60,20240506,100000,5.16,5.16,5,5,56,0
BKD,60,20240506,170000,4.86,4.86,4.86,4.86,3,0
BKD,60,20240507,100000,5,5.1,5,5,70,0
BKD,60,20240507,140000,4.9,5,4.9,5,620,0
BKD,60,20240509,100000,5,5.1,5,5.1,118,0
BKD,60,20240509,110000,5.04,5.04,5.04,5.04,20,0
BKD,60,20240509,140000,5,5,5,5,50,0
BKD,60,20240509,150000,4.98,4.98,4.98,4.98,230,0
BKD,60,20240509,170000,4.99,4.99,4.99,4.99,25,0
BKD,60,20240510,100000,5.04,5.04,5,5,45,0
BKD,60,20240510,110000,5,5,5,5,10,0
BKD,60,20240513,100000,4.86,4.94,4.86,4.94,110,0
BKD,60,20240513,110000,4.94,4.94,4.94,4.94,10,0
BKD,60,20240513,170000,4.72,4.93,4.64,4.93,254,0
BKD,60,20240514,100000,4.93,4.97,4.93,4.97,50,0
BKD,60,20240514,110000,4.98,4.98,4.98,4.98,150,0
BKD,60,20240514,130000,4.98,4.98,4.97,4.97,110,0
BKD,60,20240514,150000,4.86,4.97,4.86,4.97,275,0
BKD,60,20240515,100000,4.98,4.98,4.9,4.96,75,0
BKD,60,20240517,110000,4.84,4.84,4.84,4.84,171,0
BKD,60,20240517,120000,4.84,4.84,4.84,4.84,2000,0
BKD,60,20240517,130000,4.84,4.98,4.84,4.9,1021,0
BKD,60,20240517,140000,4.9,4.9,4.9,4.9,10,0
BKD,60,20240517,170000,4.9,4.92,4.9,4.92,65,0
BKD,60,20240521,100000,4.92,4.98,4.92,4.98,72,0
BKD,60,20240522,110000,4.92,4.98,4.9,4.9,168,0
BKD,60,20240522,140000,4.82,4.82,4.82,4.82,50,0
BKD,60,20240522,160000,4.82,4.82,4.82,4.82,150,0
BKD,60,20240522,170000,4.9,4.9,4.9,4.9,23,0
BKD,60,20240524,100000,4.9,4.98,4.7,4.88,1376,0
BKD,60,20240524,110000,4.88,4.88,4.88,4.88,48,0
BKD,60,20240524,120000,4.88,4.88,4.88,4.88,142,0
BKD,60,20240527,100000,4.88,4.88,4.88,4.88,21,0
BKD,60,20240527,110000,4.86,4.86,4.86,4.86,3,0
BKD,60,20240527,120000,4.86,4.86,4.86,4.86,5,0
BKD,60,20240528,100000,4.86,4.86,4.86,4.86,52,0
BKD,60,20240528,110000,4.88,4.88,4.86,4.86,25,0
BKD,60,20240528,120000,4.84,4.84,4.84,4.84,5,0
BKD,60,20240528,160000,4.82,4.82,4.82,4.82,5,0
BKD,60,20240528,170000,4.82,4.82,4.82,4.82,60,0
BKD,60,20240529,100000,4.82,4.82,4.8,4.8,53,0
BKD,60,20240529,120000,4.79,4.79,4.79,4.79,5,0
BKD,60,20240529,150000,4.79,4.79,4.7,4.75,425,0
BKD,60,20240529,160000,4.7,4.7,4.7,4.7,250,0
BKD,60,20240529,170000,4.75,4.75,4.75,4.75,51,0
BKD,60,20240531,100000,4.77,4.77,4.77,4.77,33,0
BKD,60,20240531,110000,4.66,4.66,4.6,4.6,720,0
BKD,60,20240531,120000,4.6,4.6,4.6,4.6,178,0
BKD,60,20240531,150000,4.6,4.6,4.6,4.6,5,0
BKD,60,20240531,170000,4.6,4.75,4.6,4.75,597,0
BKD,60,20240603,110000,4.74,4.77,4.74,4.74,78,0
BKD,60,20240603,140000,4.7,4.7,4.7,4.7,100,0
BKD,60,20240603,150000,4.62,4.62,4.6,4.6,169,0
BKD,60,20240603,160000,4.6,4.6,4.57,4.57,726,0
BKD,60,20240604,100000,4.58,4.58,4.5,4.5,531,0
BKD,60,20240604,110000,4.4,4.57,4.4,4.57,198,0
BKD,60,20240604,130000,4.56,4.56,4.5,4.5,130,0
BKD,60,20240604,140000,4.48,4.48,4.4,4.4,515,0
BKD,60,20240604,150000,4.4,4.4,4.4,4.4,59,0
BKD,60,20240604,160000,4.48,4.48,4.48,4.48,25,0
BKD,60,20240604,170000,4.32,4.32,4.27,4.27,1000,0
BKD,60,20240605,100000,4.56,4.86,4.56,4.7,1073,0
BKD,60,20240605,110000,4.7,4.7,4.66,4.66,78,0
BKD,60,20240605,140000,4.66,4.66,4.5,4.5,145,0
BKD,60,20240605,150000,4.48,4.5,4.2,4.48,849,0
BKD,60,20240606,100000,4.64,4.72,4.64,4.72,130,0
BKD,60,20240606,110000,4.72,4.9,4.72,4.76,632,0
BKD,60,20240606,120000,4.76,4.8,4.76,4.8,25,0
BKD,60,20240606,140000,4.8,4.8,4.8,4.8,224,0
BKD,60,20240607,100000,4.77,4.78,4.77,4.77,47,0
BKD,60,20240607,110000,4.7,4.7,4.48,4.48,1320,0
BKD,60,20240607,120000,4.48,4.6,4.46,4.6,154,0
BKD,60,20240607,130000,4.6,4.6,4.6,4.6,5,0
BKD,60,20240607,140000,4.6,4.6,4.6,4.6,16,0
BKD,60,20240607,160000,4.6,4.6,4.6,4.6,3,0
BKD,60,20240610,100000,4.66,4.7,4.66,4.7,33,0
BKD,60,20240610,110000,4.66,4.66,4.2,4.2,1025,0
BKD,60,20240610,120000,4.48,4.48,4.48,4.48,3,0
BKD,60,20240610,140000,4.46,4.46,4.46,4.46,5,0
BKD,60,20240610,150000,4.46,4.5,4.46,4.5,52,0
BKD,60,20240610,160000,4.5,4.65,4.5,4.65,108,0
BKD,60,20240611,100000,4.7,4.74,4.6,4.6,57,0
BKD,60,20240611,110000,4.6,4.6,4.52,4.52,7,0
BKD,60,20240611,130000,4.6,4.7,4.6,4.7,243,0
BKD,60,20240611,140000,4.74,4.75,4.74,4.75,59,0
BKD,60,20240611,160000,4.74,4.74,4.74,4.74,10,0
BKD,60,20240612,110000,4.77,4.96,4.77,4.77,360,0
BKD,60,20240612,120000,4.77,4.85,4.77,4.85,296,0
BKD,60,20240612,130000,4.96,4.97,4.95,4.95,112,0
BKD,60,20240612,170000,4.88,4.88,4.88,4.88,30,0
BKD,60,20240613,100000,4.92,4.92,4.92,4.92,30,0
BKD,60,20240613,110000,4.92,4.92,4.92,4.92,5,0
BKD,60,20240614,120000,4.68,4.88,4.68,4.88,107,0
BKD,60,20240614,140000,4.86,4.86,4.86,4.86,3,0
BKD,60,20240614,170000,4.86,4.86,4.86,4.86,11,0
BKD,60,20240618,140000,4.86,4.86,4.82,4.82,14,0
BKD,60,20240619,130000,4.78,4.78,4.78,4.78,3,0
BKD,60,20240619,140000,4.66,4.66,4.65,4.65,300,0
BKD,60,20240620,100000,4.78,4.82,4.65,4.65,80,0
BKD,60,20240620,110000,4.63,4.63,4.6,4.6,200,0
BKD,60,20240620,160000,4.6,4.6,4.6,4.6,3,0
BKD,60,20240624,100000,4.72,4.82,4.72,4.8,91,0
BKD,60,20240625,110000,4.8,4.8,4.8,4.8,3,0
BKD,60,20240625,170000,4.78,4.78,4.78,4.78,3,0
BKD,60,20240627,110000,4.58,4.58,4.58,4.58,40,0
BKD,60,20240627,120000,4.58,4.58,4.58,4.58,9,0
BKD,60,20240627,130000,4.58,4.58,4.58,4.58,3,0
BKD,60,20240627,150000,4.58,4.58,4.58,4.58,105,0
BKD,60,20240627,160000,4.58,4.58,4.58,4.58,3,0
BKD,60,20240627,170000,4.58,4.78,4.58,4.78,400,0
BKD,60,20240628,100000,4.78,4.85,4.78,4.85,29,0
BKD,60,20240628,110000,4.78,4.78,4.78,4.78,9,0
BKD,60,20240628,140000,4.78,4.78,4.78,4.78,11,0
BKD,60,20240628,160000,4.58,4.78,4.58,4.78,41,0
BKD,60,20240628,170000,4.68,4.78,4.56,4.78,64,0
BKD,60,20240701,100000,4.78,4.78,4.78,4.78,3,0
BKD,60,20240701,150000,4.54,4.54,4.54,4.54,104,0
BKD,60,20240701,160000,4.7,4.74,4.7,4.74,500,0
BKD,60,20240701,170000,4.5,4.5,4.5,4.5,100,0
BKD,60,20240702,100000,4.46,4.46,4.46,4.46,101,0
BKD,60,20240702,110000,4.3,4.4,4.3,4.4,440,0
BKD,60,20240702,160000,4.4,4.46,4.4,4.46,132,0
BKD,60,20240703,100000,4.5,4.6,4.5,4.6,45,0
BKD,60,20240703,170000,4.46,4.58,4.46,4.58,231,0
BKD,60,20240705,100000,4.58,4.58,4.48,4.48,117,0
BKD,60,20240705,110000,4.48,4.66,4.48,4.66,189,0
BKD,60,20240705,140000,4.5,4.5,4.5,4.5,167,0
BKD,60,20240705,150000,4.5,4.5,4.5,4.5,3,0
BKD,60,20240705,160000,4.62,5.18,4,4.9,1677,0
BKD,60,20240705,170000,4.9,4.98,4.6,4.9,355,0
BKD,60,20240708,100000,4.96,5.4,4.96,5.18,270,0
BKD,60,20240708,110000,5.18,5.28,5.18,5.26,515,0
BKD,60,20240708,140000,5.26,5.26,5.16,5.16,59,0
BKD,60,20240708,170000,5,5.16,5,5.16,161,0
BKD,60,20240709,100000,5.34,5.36,5,5,372,0
BKD,60,20240709,150000,5,5,5,5,29,0
BKD,60,20240710,100000,5.06,5.06,5.06,5.06,35,0
BKD,60,20240710,110000,4.9,4.9,4.9,4.9,30,0
BKD,60,20240711,100000,4.88,4.88,4.84,4.84,33,0
