<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLA,60,20240411,140000,8.92047,8.92047,8.42026,8.42026,442.61115258969437,0
CLA,60,20240411,170000,8.587,8.92047,8.33689,8.92047,480.9947755785,0
CLA,60,20240412,140000,8.75373,8.8371,8.75373,8.8371,1281.0534172515,0
CLA,60,20240415,150000,8.8371,8.8371,8.67036,8.67036,136.74165689763,0
CLA,60,20240415,170000,8.92047,8.92047,8.92047,8.92047,11.994882184002558,0
CLA,60,20240416,160000,8.8371,8.92047,8.8371,8.92047,263.8874080480563,0
CLA,60,20240417,140000,8.92047,9.00384,8.92047,9.00384,133.1431922424284,0
CLA,60,20240417,150000,9.00384,9.00384,9.00384,9.00384,285.4781959792609,0
CLA,60,20240418,100000,8.8371,9.08721,8.75373,9.00384,478.59579914170206,0
CLA,60,20240418,110000,8.92047,9.08721,8.92047,9.08721,533.77225718811,0
CLA,60,20240418,120000,9.17058,9.25395,9.17058,9.25395,119.94882184003,0
CLA,60,20240418,170000,9.17058,9.17058,9.17058,9.17058,62.373387356813296,0
CLA,60,20240419,100000,9.17058,9.17058,9.17058,9.17058,11.994882184002558,0
CLA,60,20240422,160000,9.17058,9.33732,9.17058,9.33732,277.08177845046,0
CLA,60,20240422,170000,9.25395,9.25395,9.25395,9.25395,5.997441092001279,0
CLA,60,20240423,100000,9.42068,9.42068,9.42068,9.42068,11.994882184002558,0
CLA,60,20240423,110000,9.17058,9.42068,9.08721,9.42068,1805.2297686923848,0
CLA,60,20240423,140000,9.00384,9.00384,8.50363,8.50363,83.96417528801791,0
CLA,60,20240423,150000,9.08721,9.08721,9.08721,9.08721,207.51146178324424,0
CLA,60,20240423,170000,9.17058,9.17058,9.17058,9.17058,11.994882184002558,0
CLA,60,20240424,120000,9.08721,9.08721,9.08721,9.08721,1199.4882184002558,0
CLA,60,20240424,140000,8.92047,8.92047,8.8371,8.8371,251.8925258640537,0
CLA,60,20240425,100000,9.00384,9.00384,9.00384,9.00384,11.994882184002558,0
CLA,60,20240429,150000,8.92047,8.92047,8.92047,8.92047,29.987205460006393,0
CLA,60,20240502,170000,9.17058,9.17058,9.17058,9.17058,19.191811494404092,0
CLA,60,20240506,150000,8.92047,8.92047,8.92047,8.92047,28.78771724160614,0
CLA,60,20240507,140000,8.92047,8.92047,8.92047,8.92047,5.997441092001279,0
CLA,60,20240508,110000,8.8371,8.8371,8.8371,8.8371,1799.2323276003838,0
CLA,60,20240508,170000,8.92047,9.00384,8.92047,9.00384,215.90787931204605,0
CLA,60,20240509,130000,9.08721,9.08721,9.08721,9.08721,11.994882184002558,0
CLA,60,20240510,140000,9.08721,9.08721,9.08721,9.08721,265.0868962664565,0
CLA,60,20240513,120000,9.08721,9.08721,9.08721,9.08721,5.997441092001279,0
CLA,60,20240513,170000,9.08721,9.08721,9.08721,9.08721,218.30685574884654,0
CLA,60,20240514,120000,9.08721,9.08721,9.08721,9.08721,129.5447275872276,0
CLA,60,20240514,130000,9.33732,9.33732,9.33732,9.33732,11.994882184002558,0
CLA,60,20240517,110000,9.33732,9.33732,9.33732,9.33732,7.1969293104015,0
CLA,60,20240517,120000,9.25395,9.33732,9.25395,9.33732,299.87205460006396,0
CLA,60,20240517,130000,9.17058,9.33732,9.17058,9.33732,912.8105342025947,0
CLA,60,20240520,140000,9.33732,9.42068,9.33732,9.42068,83.96417528801791,0
CLA,60,20240521,100000,9.08721,9.42068,9.08721,9.42068,250.69303764565348,0
CLA,60,20240521,120000,9.25395,9.25395,9.25395,9.25395,11.994882184002558,0
CLA,60,20240521,130000,9.33732,9.33732,9.25395,9.25395,217.10736753045,0
CLA,60,20240522,100000,8.92047,8.92047,7.16972,8.17015,1445.3833031723082,0
CLA,60,20240522,160000,8.17015,8.17015,8.17015,8.17015,14.39385862080307,0
CLA,60,20240522,170000,8.33689,9.17058,8.33689,9.17058,522.9768632225115,0
CLA,60,20240528,150000,8.50363,8.50363,8.50363,8.50363,5.997441092001279,0
CLA,60,20240528,170000,8.8371,8.8371,8.8371,8.8371,11.994882184002558,0
CLA,60,20240529,110000,8.8371,8.8371,8.8371,8.8371,173.92579166803708,0
CLA,60,20240603,100000,9.00384,10.0043,9.00384,10.0043,1023.1634502954,0
CLA,60,20240603,110000,9.33732,9.33732,9.25395,9.25395,245.89508477205243,0
CLA,60,20240603,120000,9.17058,9.17058,9.17058,9.17058,149.93602730003198,0
CLA,60,20240603,170000,9.42068,11.1714,9.42068,11.1714,1424.9920034595,0
CLA,60,20240604,140000,11.0047,11.0047,11.0047,11.0047,59.97441092001279,0
CLA,60,20240604,150000,11.0047,11.0047,11.0047,11.0047,231.50122615124937,0
CLA,60,20240604,160000,11.0047,11.0881,11.0047,11.0881,146.3375626448312,0
CLA,60,20240606,170000,11.1714,11.1714,11.1714,11.1714,11.994882184003,0
CLA,60,20240607,160000,10.838,10.838,10.838,10.838,584.1507623609245,0
CLA,60,20240607,170000,11.0047,11.0047,11.0047,11.0047,5.997441092001279,0
CLA,60,20240610,100000,11.0047,11.0047,11.0047,11.0047,27.588229023205884,0
CLA,60,20240610,110000,11.0881,11.0881,11.0881,11.0881,314.26591322087,0
CLA,60,20240610,130000,10.838,10.838,10.5878,10.5878,436.6137114976931,0
CLA,60,20240610,140000,10.838,10.838,10.6712,10.6712,95.95905747202046,0
CLA,60,20240610,150000,10.838,10.838,10.838,10.838,26.38874080480563,0
CLA,60,20240611,110000,10.7546,10.7546,10.7546,10.7546,167.92835057603583,0
CLA,60,20240611,120000,10.5878,10.838,10.3377,10.838,421.02036465848977,0
CLA,60,20240611,130000,10.838,10.838,10.838,10.838,427.01780575049105,0
CLA,60,20240612,110000,10.4211,10.4211,10.2544,10.4211,227.90276149605,0
CLA,60,20240612,130000,10.4211,10.4211,10.4211,10.4211,256.69047873765476,0
CLA,60,20240612,140000,10.6712,10.6712,10.6712,10.6712,47.97952873601023,0
CLA,60,20240612,170000,10.838,10.838,10.838,10.838,7.196929310401535,0
CLA,60,20240613,110000,10.6712,10.6712,10.6712,10.6712,8.396417528801791,0
CLA,60,20240613,120000,10.5045,10.5045,10.4211,10.4211,53.97696982801151,0
CLA,60,20240613,160000,10.4211,10.4211,10.4211,10.4211,23.989764368005115,0
CLA,60,20240614,100000,10.2544,10.2544,10.171,10.171,239.89764368005115,0
CLA,60,20240614,120000,10.3377,10.3377,10.3377,10.3377,9.595905747202046,0
CLA,60,20240614,130000,10.171,10.171,10.0876,10.0876,221.9053204040473,0
