<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGS,60,20240411,140000,1.38,1.38,1.38,1.38,1,0
DGS,60,20240411,150000,1.325,1.39,1.32,1.32,24980,0
DGS,60,20240411,170000,1.32,1.38,1.32,1.38,468,0
DGS,60,20240412,100000,1.305,1.305,1.305,1.305,1,0
DGS,60,20240412,140000,1.305,1.305,1.305,1.305,732,0
DGS,60,20240412,150000,1.28,1.28,1.28,1.28,1571,0
DGS,60,20240412,170000,1.34,1.34,1.34,1.34,60,0
DGS,60,20240415,100000,1.3,1.3,1.3,1.3,199,0
DGS,60,20240416,170000,1.34,1.34,1.29,1.29,249,0
DGS,60,20240417,100000,1.34,1.34,1.29,1.29,201,0
DGS,60,20240417,160000,1.3,1.3,1.3,1.3,500,0
DGS,60,20240418,100000,1.29,1.29,1.29,1.29,200,0
DGS,60,20240418,120000,1.28,1.28,1.28,1.28,329,0
DGS,60,20240418,130000,1.33,1.33,1.33,1.33,1,0
DGS,60,20240418,170000,1.26,1.32,1.26,1.32,690,0
DGS,60,20240419,100000,1.26,1.26,1.26,1.26,80,0
DGS,60,20240419,110000,1.26,1.26,1.255,1.255,587,0
DGS,60,20240419,120000,1.295,1.295,1.295,1.295,125,0
DGS,60,20240419,150000,1.26,1.26,1.255,1.255,1000,0
DGS,60,20240419,170000,1.3,1.3,1.3,1.3,50,0
DGS,60,20240422,130000,1.26,1.26,1.26,1.26,2300,0
DGS,60,20240422,140000,1.255,1.255,1.255,1.255,630,0
DGS,60,20240422,170000,1.3,1.3,1.3,1.3,40,0
DGS,60,20240424,150000,1.26,1.26,1.2,1.2,1520,0
DGS,60,20240424,160000,1.25,1.25,1.25,1.25,200,0
DGS,60,20240424,170000,1.28,1.28,1.28,1.28,50,0
DGS,60,20240425,150000,1.28,1.3,1.28,1.3,500,0
DGS,60,20240425,170000,1.295,1.295,1.295,1.295,1,0
DGS,60,20240430,160000,1.295,1.365,1.295,1.365,1750,0
DGS,60,20240502,100000,1.35,1.36,1.35,1.36,25000,0
DGS,60,20240502,120000,1.36,1.38,1.36,1.38,500,0
DGS,60,20240502,130000,1.38,1.48,1.38,1.475,1256,0
DGS,60,20240502,140000,1.42,1.42,1.41,1.41,396,0
DGS,60,20240502,160000,1.47,1.47,1.47,1.47,364,0
DGS,60,20240506,100000,1.465,1.465,1.465,1.465,10,0
DGS,60,20240507,110000,1.37,1.43,1.36,1.43,767,0
DGS,60,20240509,140000,1.33,1.33,1.32,1.32,500,0
DGS,60,20240509,170000,1.38,1.38,1.38,1.38,45,0
DGS,60,20240510,100000,1.3,1.3,1.28,1.28,1780,0
DGS,60,20240510,150000,1.28,1.28,1.28,1.28,5000,0
DGS,60,20240510,170000,1.33,1.33,1.33,1.33,40,0
DGS,60,20240514,130000,1.28,1.28,1.28,1.28,80,0
DGS,60,20240514,160000,1.285,1.285,1.28,1.28,1597,0
DGS,60,20240514,170000,1.28,1.28,1.28,1.28,148,0
DGS,60,20240515,100000,1.33,1.33,1.33,1.33,1,0
DGS,60,20240516,160000,1.31,1.31,1.31,1.31,352,0
DGS,60,20240517,100000,1.31,1.31,1.31,1.31,445,0
DGS,60,20240517,110000,1.38,1.38,1.38,1.38,1,0
DGS,60,20240517,120000,1.38,1.4,1.38,1.4,202,0
DGS,60,20240522,100000,1.32,1.4,1.32,1.4,76,0
DGS,60,20240524,160000,1.4,1.445,1.4,1.44,1052,0
DGS,60,20240527,100000,1.445,1.445,1.445,1.445,10,0
DGS,60,20240529,120000,1.33,1.33,1.27,1.27,2000,0
DGS,60,20240529,140000,1.275,1.275,1.275,1.275,102,0
DGS,60,20240529,170000,1.37,1.37,1.37,1.37,1,0
DGS,60,20240531,160000,1.36,1.36,1.36,1.36,500,0
DGS,60,20240607,140000,1.28,1.28,1.28,1.28,200,0
DGS,60,20240607,160000,1.28,1.28,1.28,1.28,800,0
DGS,60,20240607,170000,1.34,1.34,1.34,1.34,1,0
DGS,60,20240611,120000,1.34,1.38,1.34,1.38,200,0
DGS,60,20240612,110000,1.3,1.3,1.3,1.3,10,0
DGS,60,20240612,130000,1.3,1.3,1.3,1.3,996,0
DGS,60,20240612,170000,1.3,1.38,1.3,1.38,755,0
DGS,60,20240613,100000,1.305,1.305,1.28,1.28,849,0
DGS,60,20240613,120000,1.285,1.285,1.285,1.285,50,0
DGS,60,20240613,170000,1.34,1.34,1.34,1.34,1,0
DGS,60,20240614,130000,1.285,1.285,1.28,1.28,700,0
DGS,60,20240614,170000,1.34,1.34,1.34,1.34,1,0
DGS,60,20240617,100000,1.275,1.275,1.27,1.27,500,0
DGS,60,20240617,130000,1.27,1.27,1.27,1.27,258,0
DGS,60,20240617,140000,1.26,1.52,1.255,1.49,32921,0
DGS,60,20240619,100000,1.2,1.3,1.2,1.3,8704,0
DGS,60,20240619,150000,1.3,1.3,1.3,1.3,237,0
DGS,60,20240619,170000,1.24,1.26,1.2,1.26,2101,0
DGS,60,20240620,100000,1.2,1.2,1.17,1.17,800,0
DGS,60,20240620,120000,1.16,1.16,1.15,1.15,2500,0
DGS,60,20240621,140000,1.22,1.22,1.22,1.22,200,0
DGS,60,20240621,160000,1.12,1.12,1,1,13009,0
DGS,60,20240621,170000,1,1.09,1,1.09,3191,0
DGS,60,20240624,120000,1.06,1.09,1,1.09,13994,0
DGS,60,20240624,130000,1.09,1.1,1.09,1.1,500,0
DGS,60,20240624,140000,1.1,1.11,1.1,1.1,592,0
DGS,60,20240624,150000,1.1,1.1,1.1,1.1,1951,0
DGS,60,20240624,160000,1.09,1.1,1.09,1.1,1741,0
DGS,60,20240624,170000,1.03,1.08,1,1,4021,0
DGS,60,20240625,100000,1,1,0.962,1,3075,0
DGS,60,20240625,110000,1,1,1,1,200,0
DGS,60,20240625,120000,0.98,0.98,0.98,0.98,507,0
DGS,60,20240625,140000,0.98,1.01,0.98,1.01,6262,0
DGS,60,20240625,170000,1.06,1.06,1.06,1.06,1,0
DGS,60,20240626,130000,0.98,0.98,0.98,0.98,10,0
DGS,60,20240626,150000,1.06,1.06,1.06,1.06,470,0
DGS,60,20240628,100000,0.98,0.98,0.97,0.97,280,0
DGS,60,20240628,160000,1.03,1.07,1.03,1.07,401,0
DGS,60,20240701,100000,1.215,1.28,1.09,1.28,6840,0
DGS,60,20240701,110000,1.28,1.28,1.28,1.28,14119,0
DGS,60,20240701,120000,1.28,1.43,1.28,1.4,10572,0
DGS,60,20240701,130000,1.4,1.425,1.4,1.425,2700,0
DGS,60,20240701,140000,1.31,1.405,1.3,1.405,1450,0
DGS,60,20240701,160000,1.38,1.38,1.38,1.38,100,0
DGS,60,20240701,170000,1.37,1.4,1.37,1.4,5080,0
DGS,60,20240702,100000,1.295,1.295,1.18,1.18,2397,0
DGS,60,20240702,110000,1.29,1.32,1.29,1.32,400,0
DGS,60,20240703,140000,1.31,1.31,1.31,1.31,10,0
DGS,60,20240703,160000,1.2,1.2,1.195,1.195,560,0
DGS,60,20240703,170000,1.29,1.29,1.29,1.29,1,0
DGS,60,20240704,130000,1.29,1.29,1.29,1.29,12,0
DGS,60,20240709,100000,1.2,1.2,1.1,1.1,2700,0
DGS,60,20240709,170000,1.23,1.24,1.23,1.24,1109,0
DGS,60,20240710,100000,1.24,1.24,1.13,1.13,510,0
DGS,60,20240710,120000,1.13,1.13,1.13,1.13,200,0
DGS,60,20240710,130000,1.13,1.13,1.13,1.13,720,0
DGS,60,20240710,140000,1.18,1.225,1.18,1.225,920,0
DGS,60,20240711,150000,1.225,1.225,1.12,1.12,3029,0
DGS,60,20240712,170000,1.19,1.19,1.19,1.19,1,0
DGS,60,20240715,150000,1.1,1.1,1.04,1.04,2184,0
DGS,60,20240715,160000,1.13,1.15,1.13,1.15,201,0
DGS,60,20240717,110000,1.15,1.16,1.15,1.16,399,0
DGS,60,20240717,150000,1.18,1.23,1.18,1.23,1151,0
DGS,60,20240718,100000,1.205,1.205,1.205,1.205,10,0
DGS,60,20240719,110000,1.205,1.205,1.205,1.205,15,0
DGS,60,20240719,120000,1.1,1.1,1,1,8000,0
DGS,60,20240719,170000,1.025,1.05,1,1.05,5861,0
DGS,60,20240722,100000,1.08,1.08,1.08,1.08,10,0
DGS,60,20240722,110000,1.06,1.06,1.06,1.06,250,0
DGS,60,20240722,150000,1.02,1.02,1,1,2600,0
DGS,60,20240723,110000,1,1,1,1,1410,0
DGS,60,20240723,130000,1,1,1,1,1500,0
DGS,60,20240723,170000,1,1,1,1,1,0
DGS,60,20240724,100000,1,1,1,1,113,0
DGS,60,20240725,110000,0.984,1.07,0.96,1.07,2800,0
DGS,60,20240726,100000,1.01,1.01,1,1,92,0
DGS,60,20240726,120000,0.98,1,0.942,1,3120,0
DGS,60,20240726,140000,0.944,0.988,0.944,0.988,2025,0
DGS,60,20240729,110000,0.946,1,0.946,1,6702,0
DGS,60,20240729,120000,0.95,1,0.95,1,1810,0
DGS,60,20240729,140000,0.97,0.97,0.97,0.97,1200,0
DGS,60,20240730,110000,0.998,0.998,0.998,0.998,50,0
DGS,60,20240730,120000,0.998,0.998,0.998,0.998,100,0
DGS,60,20240731,100000,0.998,1,0.998,1,448,0
DGS,60,20240731,120000,1.02,1.06,1.02,1.06,1130,0
DGS,60,20240801,100000,1,1.01,0.95,1.01,3820,0
DGS,60,20240801,120000,1,1,1,1,500,0
DGS,60,20240802,100000,1.005,1.005,1.005,1.005,10,0
DGS,60,20240802,140000,0.998,0.998,0.998,0.998,990,0
DGS,60,20240805,170000,1.005,1.005,1.005,1.005,1,0
DGS,60,20240807,130000,1.005,1.005,0.952,1.005,2800,0
DGS,60,20240807,140000,1.005,1.005,0.95,0.95,2390,0
DGS,60,20240807,170000,1,1,1,1,1,0
DGS,60,20240808,120000,0.99,0.99,0.99,0.99,50,0
DGS,60,20240808,170000,1.01,1.01,1.01,1.01,1,0
DGS,60,20240809,120000,0.97,0.97,0.95,0.95,2000,0
DGS,60,20240809,170000,0.988,0.988,0.988,0.988,1,0
DGS,60,20240812,110000,0.988,0.988,0.988,0.988,25,0
DGS,60,20240813,100000,0.95,0.95,0.92,0.92,1494,0
DGS,60,20240813,130000,0.97,0.97,0.97,0.97,250,0
DGS,60,20240813,150000,0.914,0.914,0.914,0.914,1400,0
DGS,60,20240814,100000,0.97,0.97,0.97,0.97,1,0
DGS,60,20240814,130000,0.968,0.968,0.968,0.968,200,0
DGS,60,20240814,140000,0.968,0.968,0.968,0.968,235,0
DGS,60,20240814,170000,0.97,0.97,0.97,0.97,230,0
DGS,60,20240816,100000,1.1,1.25,1.1,1.2,11417,0
DGS,60,20240816,120000,1.195,1.195,1.195,1.195,732,0
DGS,60,20240816,170000,1.105,1.19,1.1,1.19,528,0
DGS,60,20240819,100000,1.21,1.21,1.18,1.18,2190,0
DGS,60,20240819,110000,1.2,1.2,1.2,1.2,100,0
DGS,60,20240821,100000,1.2,1.2,1.1,1.1,7759,0
DGS,60,20240821,170000,1.14,1.14,1.14,1.14,1,0
DGS,60,20240822,100000,1.07,1.07,1,1,10000,0
DGS,60,20240822,110000,1,1.005,1,1,5000,0
DGS,60,20240822,120000,0.96,1.06,0.95,0.95,6497,0
DGS,60,20240822,130000,0.95,0.95,0.95,0.95,1088,0
DGS,60,20240822,170000,0.97,1.06,0.97,1.06,441,0
DGS,60,20240823,100000,1.05,1.05,1.05,1.05,497,0
DGS,60,20240826,140000,0.97,0.97,0.96,0.96,600,0
DGS,60,20240826,160000,0.96,0.96,0.96,0.96,500,0
DGS,60,20240826,170000,0.964,0.964,0.964,0.964,750,0
DGS,60,20240827,100000,0.964,0.964,0.964,0.964,100,0
DGS,60,20240827,110000,0.966,0.966,0.964,0.964,5500,0
DGS,60,20240827,140000,0.966,0.966,0.966,0.966,1337,0
DGS,60,20240827,160000,0.966,0.966,0.96,0.96,1300,0
DGS,60,20240827,170000,0.97,0.97,0.97,0.97,1,0
DGS,60,20240828,120000,0.97,0.97,0.97,0.97,150,0
DGS,60,20240830,100000,0.97,0.98,0.93,0.98,1769,0
DGS,60,20240830,110000,0.978,0.978,0.978,0.978,60,0
DGS,60,20240830,150000,0.974,1,0.974,1,2855,0
DGS,60,20240830,160000,1.01,1.075,1.01,1.075,2000,0
DGS,60,20240830,170000,1.02,1.02,1.01,1.01,2588,0
DGS,60,20240902,100000,1.07,1.19,1.07,1.19,3501,0
DGS,60,20240902,110000,1.18,1.18,1.18,1.18,420,0
DGS,60,20240902,140000,1.15,1.175,1.15,1.175,2532,0
DGS,60,20240903,130000,1.12,1.17,1.11,1.17,4477,0
DGS,60,20240905,100000,1.1,1.1,1.1,1.1,200,0
DGS,60,20240905,120000,1.1,1.1,1.1,1.1,1030,0
DGS,60,20240905,130000,1.1,1.1,1.08,1.08,2635,0
DGS,60,20240905,140000,1.08,1.08,1.08,1.08,319,0
DGS,60,20240905,170000,1.08,1.08,1.08,1.08,2000,0
DGS,60,20240906,100000,1.14,1.14,1.005,1.005,4001,0
DGS,60,20240906,110000,1.015,1.015,0.974,0.974,1500,0
DGS,60,20240906,120000,0.974,1.02,0.9,1.02,8501,0
DGS,60,20240909,100000,0.95,1,0.9,0.95,12089,0
DGS,60,20240909,110000,0.95,0.984,0.9,0.984,1409,0
DGS,60,20240909,140000,0.852,0.97,0.852,0.97,2705,0
DGS,60,20240909,170000,0.86,0.86,0.86,0.86,226,0
DGS,60,20240910,100000,0.91,0.91,0.85,0.85,6700,0
DGS,60,20240910,110000,0.85,0.91,0.8,0.88,8010,0
DGS,60,20240910,120000,0.8,0.88,0.79,0.88,6105,0
DGS,60,20240910,130000,0.878,0.878,0.78,0.86,5631,0
DGS,60,20240910,140000,0.78,0.86,0.78,0.86,4005,0
DGS,60,20240910,150000,0.86,0.876,0.86,0.876,2300,0
DGS,60,20240910,160000,0.876,0.876,0.84,0.84,900,0
DGS,60,20240910,170000,0.868,0.868,0.868,0.868,1,0
DGS,60,20240911,110000,0.868,0.868,0.868,0.868,350,0
DGS,60,20240911,130000,0.87,0.896,0.87,0.896,4500,0
DGS,60,20240911,140000,0.84,0.84,0.84,0.84,900,0
DGS,60,20240911,150000,0.84,0.84,0.816,0.816,3000,0
DGS,60,20240911,160000,0.874,0.874,0.874,0.874,1,0
DGS,60,20240911,170000,0.874,0.876,0.824,0.876,1101,0
DGS,60,20240912,100000,0.816,0.816,0.8,0.8,3000,0
DGS,60,20240912,110000,0.868,0.868,0.788,0.86,17853,0
DGS,60,20240912,130000,0.778,0.846,0.772,0.846,10205,0
DGS,60,20240912,140000,0.772,0.84,0.77,0.84,2105,0
DGS,60,20240912,170000,0.84,0.84,0.84,0.84,1000,0
DGS,60,20240913,100000,0.82,0.832,0.78,0.832,3250,0
DGS,60,20240913,110000,0.77,0.798,0.668,0.668,13311,0
DGS,60,20240913,120000,0.766,0.766,0.666,0.76,9451,0
DGS,60,20240913,130000,0.75,0.76,0.75,0.76,1899,0
DGS,60,20240913,160000,0.7,0.758,0.688,0.758,10390,0
DGS,60,20240913,170000,0.756,0.756,0.756,0.756,1611,0
DGS,60,20240916,100000,0.752,0.756,0.752,0.756,2000,0
DGS,60,20240916,160000,0.754,0.754,0.754,0.754,200,0
DGS,60,20240917,110000,0.756,0.756,0.756,0.756,14,0
DGS,60,20240917,170000,0.74,0.74,0.74,0.74,1000,0
