<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNS,60,20240415,100000,0.57,0.57,0.56,0.56,3218,0
DNS,60,20240415,110000,0.56,0.56,0.56,0.56,5481,0
DNS,60,20240418,100000,0.59,0.59,0.59,0.59,8713,0
DNS,60,20240418,160000,0.6,0.6,0.6,0.6,5667,0
DNS,60,20240418,170000,0.61,0.61,0.61,0.61,10000,0
DNS,60,20240419,110000,0.61,0.62,0.61,0.62,12950,0
DNS,60,20240419,120000,0.635,0.635,0.635,0.635,8696,0
DNS,60,20240419,170000,0.635,0.635,0.635,0.635,6667,0
DNS,60,20240422,110000,0.62,0.62,0.62,0.62,1300,0
DNS,60,20240422,130000,0.64,0.64,0.64,0.64,200,0
DNS,60,20240424,120000,0.645,0.65,0.645,0.65,14300,0
DNS,60,20240507,110000,0.66,0.66,0.65,0.65,9530,0
DNS,60,20240507,170000,0.65,0.65,0.65,0.65,358,0
DNS,60,20240509,100000,0.65,0.66,0.65,0.66,8383,0
DNS,60,20240510,150000,0.66,0.66,0.66,0.66,8147,0
DNS,60,20240510,170000,0.665,0.675,0.665,0.675,13358,0
DNS,60,20240513,110000,0.675,0.685,0.675,0.685,14000,0
DNS,60,20240516,100000,0.71,0.71,0.71,0.71,42000,0
DNS,60,20240516,110000,0.68,0.7,0.68,0.7,14982,0
DNS,60,20240516,120000,0.7,0.71,0.7,0.71,17380,0
DNS,60,20240520,130000,0.7,0.7,0.7,0.7,7845,0
DNS,60,20240521,100000,0.7,0.7,0.7,0.7,10000,0
DNS,60,20240521,140000,0.695,0.7,0.695,0.7,20000,0
DNS,60,20240521,150000,0.7,0.7,0.7,0.7,2000,0
DNS,60,20240522,100000,0.7,0.7,0.7,0.7,5700,0
DNS,60,20240522,110000,0.7,0.7,0.7,0.7,5000,0
DNS,60,20240522,120000,0.7,0.705,0.7,0.7,20629,0
DNS,60,20240522,130000,0.705,0.705,0.705,0.705,7500,0
DNS,60,20240522,150000,0.705,0.71,0.705,0.71,6000,0
DNS,60,20240524,100000,0.71,0.72,0.71,0.72,20791,0
DNS,60,20240524,130000,0.71,0.71,0.71,0.71,6814,0
DNS,60,20240524,150000,0.725,0.74,0.725,0.74,17498,0
DNS,60,20240527,100000,0.74,0.745,0.74,0.745,2700,0
DNS,60,20240529,120000,0.74,0.745,0.74,0.745,10627,0
DNS,60,20240603,130000,0.735,0.735,0.735,0.735,8500,0
DNS,60,20240603,140000,0.735,0.735,0.735,0.735,10000,0
DNS,60,20240603,160000,0.73,0.745,0.73,0.745,27000,0
DNS,60,20240604,120000,0.73,0.73,0.73,0.73,8500,0
DNS,60,20240604,170000,0.735,0.76,0.735,0.76,80500,0
DNS,60,20240605,100000,0.74,0.76,0.74,0.76,13335,0
DNS,60,20240605,120000,0.74,0.74,0.74,0.74,7000,0
DNS,60,20240605,140000,0.75,0.75,0.75,0.75,8000,0
DNS,60,20240705,100000,0.75,0.76,0.665,0.67,177419,0
DNS,60,20240705,130000,0.67,0.67,0.67,0.67,20000,0
DNS,60,20240705,140000,0.665,0.665,0.65,0.65,7000,0
DNS,60,20240705,150000,0.7,0.715,0.7,0.715,2766,0
DNS,60,20240726,110000,0.705,0.705,0.705,0.705,10,0
DNS,60,20240726,130000,0.665,0.71,0.665,0.71,7050,0
DNS,60,20240726,140000,0.715,0.715,0.715,0.715,10,0
DNS,60,20240729,110000,0.715,0.715,0.715,0.715,5010,0
DNS,60,20240729,120000,0.695,0.695,0.695,0.695,1,0
DNS,60,20240730,110000,0.715,0.715,0.715,0.715,10,0
DNS,60,20240730,130000,0.715,0.715,0.715,0.715,5000,0
DNS,60,20240730,140000,0.71,0.71,0.71,0.71,8000,0
DNS,60,20240731,110000,0.715,0.715,0.715,0.715,10,0
DNS,60,20240802,170000,0.695,0.695,0.655,0.655,17686,0
DNS,60,20240805,100000,0.655,0.655,0.655,0.655,4400,0
DNS,60,20240805,110000,0.655,0.71,0.655,0.705,10000,0
DNS,60,20240809,130000,0.71,0.72,0.71,0.72,10000,0
DNS,60,20240828,110000,0.64,0.64,0.64,0.64,705,0
DNS,60,20240828,160000,0.64,0.64,0.64,0.64,36,0
DNS,60,20240902,100000,0.64,0.64,0.64,0.64,4600,0
DNS,60,20240903,130000,0.695,0.695,0.695,0.695,40,0
DNS,60,20240906,100000,0.64,0.69,0.64,0.69,7709,0
DNS,60,20240919,160000,0.64,0.69,0.64,0.69,10289,0
DNS,60,20241025,100000,0.68,0.68,0.675,0.68,19602,0
DNS,60,20241113,120000,0.67,0.67,0.67,0.67,200,0
DNS,60,20241115,100000,0.67,0.67,0.67,0.67,2163,0
DNS,60,20241118,110000,0.635,0.635,0.635,0.635,220,0
DNS,60,20241118,170000,0.67,0.67,0.67,0.67,1,0
DNS,60,20241119,100000,0.665,0.665,0.665,0.665,2572,0
DNS,60,20241119,160000,0.67,0.67,0.67,0.67,160,0
DNS,60,20241121,100000,0.67,0.67,0.67,0.67,16000,0
DNS,60,20241121,140000,0.67,0.675,0.67,0.675,3200,0
DNS,60,20241125,100000,0.675,0.675,0.675,0.675,9701,0
DNS,60,20241125,160000,0.635,0.635,0.57,0.61,16670,0
DNS,60,20241125,170000,0.67,0.67,0.67,0.67,5,0
DNS,60,20241126,110000,0.65,0.65,0.65,0.65,380,0
DNS,60,20241126,120000,0.57,0.58,0.57,0.58,8001,0
DNS,60,20241126,130000,0.65,0.65,0.65,0.65,1539,0
DNS,60,20241126,140000,0.66,0.67,0.66,0.67,900,0
