<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRF,60,20240417,120000,0.76,0.76,0.75,0.75,2002,0
DRF,60,20240422,110000,0.845,0.845,0.845,0.845,10,0
DRF,60,20240422,130000,0.8,0.8,0.8,0.8,263,0
DRF,60,20240429,110000,0.83,0.84,0.83,0.84,250,0
DRF,60,20240515,100000,0.75,0.83,0.71,0.83,1324,0
DRF,60,20240515,120000,0.83,0.83,0.83,0.83,1000,0
DRF,60,20240515,140000,0.83,0.83,0.83,0.83,56,0
DRF,60,20240522,100000,0.825,0.825,0.825,0.825,8,0
DRF,60,20240522,110000,0.825,0.825,0.825,0.825,10,0
DRF,60,20240522,170000,0.825,0.825,0.825,0.825,682,0
DRF,60,20240523,150000,0.825,0.835,0.825,0.835,35661,0
DRF,60,20240523,160000,0.84,0.85,0.84,0.85,4000,0
DRF,60,20240527,120000,0.87,0.88,0.87,0.88,3526,0
DRF,60,20240527,130000,0.895,0.895,0.895,0.895,548,0
DRF,60,20240527,140000,0.895,0.9,0.895,0.9,400,0
DRF,60,20240605,100000,0.9,0.9,0.9,0.9,515,0
DRF,60,20240605,130000,0.9,0.9,0.9,0.9,500,0
DRF,60,20240607,170000,0.835,0.835,0.7,0.8,10820,0
DRF,60,20240610,100000,0.71,0.71,0.7,0.7,11300,0
DRF,60,20240610,120000,0.71,0.71,0.7,0.7,5700,0
DRF,60,20240610,130000,0.7,0.7,0.69,0.69,3000,0
DRF,60,20240610,150000,0.69,0.69,0.69,0.69,1008,0
DRF,60,20240610,170000,0.74,0.79,0.7,0.79,2504,0
DRF,60,20240611,100000,0.7,0.7,0.69,0.69,2000,0
DRF,60,20240611,120000,0.69,0.69,0.69,0.69,1000,0
DRF,60,20240611,150000,0.695,0.695,0.695,0.695,2000,0
DRF,60,20240612,120000,0.695,0.695,0.615,0.615,4000,0
DRF,60,20240612,130000,0.7,0.7,0.7,0.7,100,0
DRF,60,20240613,100000,0.635,0.635,0.615,0.615,6000,0
DRF,60,20240613,110000,0.62,0.62,0.62,0.62,2000,0
DRF,60,20240613,120000,0.62,0.62,0.615,0.615,3000,0
DRF,60,20240613,160000,0.62,0.62,0.615,0.615,2000,0
DRF,60,20240614,100000,0.6,0.6,0.6,0.6,1100,0
DRF,60,20240614,110000,0.6,0.6,0.6,0.6,137,0
DRF,60,20240617,120000,0.55,0.55,0.545,0.545,8000,0
DRF,60,20240618,130000,0.55,0.55,0.545,0.545,3500,0
DRF,60,20240618,150000,0.515,0.515,0.51,0.51,7000,0
DRF,60,20240618,160000,0.535,0.625,0.535,0.625,400,0
DRF,60,20240624,120000,0.52,0.63,0.515,0.63,5980,0
DRF,60,20240625,140000,0.52,0.62,0.515,0.62,5038,0
DRF,60,20240626,110000,0.535,0.535,0.525,0.525,5000,0
DRF,60,20240626,130000,0.53,0.53,0.53,0.53,2385,0
DRF,60,20240626,140000,0.525,0.525,0.52,0.52,2615,0
DRF,60,20240626,170000,0.525,0.62,0.525,0.62,9212,0
DRF,60,20240705,140000,0.605,0.63,0.605,0.63,4600,0
DRF,60,20240710,120000,0.6,0.6,0.6,0.6,1500,0
DRF,60,20240711,100000,0.59,0.59,0.54,0.54,4855,0
DRF,60,20240711,130000,0.615,0.62,0.615,0.62,1000,0
DRF,60,20240718,110000,0.62,0.62,0.62,0.62,4000,0
DRF,60,20240718,140000,0.55,0.63,0.55,0.63,2354,0
DRF,60,20240724,160000,0.59,0.59,0.58,0.58,4000,0
DRF,60,20240730,150000,0.58,0.58,0.58,0.58,150,0
DRF,60,20240731,100000,0.57,0.57,0.57,0.57,2500,0
DRF,60,20240801,110000,0.58,0.58,0.58,0.58,2000,0
DRF,60,20240801,130000,0.59,0.62,0.59,0.62,4700,0
DRF,60,20240801,140000,0.58,0.58,0.58,0.58,9,0
DRF,60,20240802,150000,0.58,0.62,0.565,0.62,2356,0
DRF,60,20240805,120000,0.565,0.565,0.565,0.565,2932,0
DRF,60,20240821,100000,0.555,0.555,0.555,0.555,1000,0
DRF,60,20240821,110000,0.55,0.55,0.55,0.55,6996,0
DRF,60,20240821,120000,0.55,0.55,0.55,0.55,1004,0
DRF,60,20240821,170000,0.59,0.6,0.59,0.6,700,0
DRF,60,20240823,110000,0.555,0.595,0.54,0.595,11350,0
DRF,60,20240823,120000,0.595,0.595,0.595,0.595,222,0
DRF,60,20240827,100000,0.595,0.62,0.55,0.62,122014,0
DRF,60,20240827,110000,0.62,0.63,0.62,0.63,8291,0
DRF,60,20240827,120000,0.65,0.66,0.65,0.66,4689,0
DRF,60,20240827,130000,0.62,0.62,0.62,0.62,2210,0
DRF,60,20240827,160000,0.69,0.69,0.69,0.69,1,0
DRF,60,20240827,170000,0.6,0.6,0.6,0.6,1000,0
DRF,60,20240829,100000,0.6,0.6,0.555,0.555,123900,0
DRF,60,20240829,110000,0.6,0.6,0.6,0.6,2500,0
DRF,60,20240829,130000,0.6,0.68,0.6,0.68,20000,0
DRF,60,20240829,150000,0.68,0.79,0.68,0.79,26168,0
DRF,60,20240829,160000,0.79,0.84,0.79,0.84,14746,0
DRF,60,20240829,170000,0.82,0.84,0.82,0.84,8234,0
DRF,60,20240830,100000,0.84,0.89,0.8,0.85,11428,0
DRF,60,20240830,110000,0.76,0.85,0.76,0.85,2595,0
DRF,60,20240830,120000,0.76,0.76,0.75,0.75,4074,0
DRF,60,20240830,130000,0.79,0.79,0.79,0.79,3000,0
DRF,60,20240830,170000,0.84,0.84,0.84,0.84,1700,0
DRF,60,20240902,150000,0.8,0.89,0.8,0.89,6718,0
DRF,60,20240904,110000,0.88,0.88,0.8,0.8,1489,0
DRF,60,20240904,130000,0.85,0.88,0.85,0.88,4277,0
DRF,60,20240905,100000,0.87,0.88,0.87,0.88,1261,0
DRF,60,20240905,140000,0.85,0.88,0.85,0.88,3200,0
DRF,60,20240906,110000,0.88,0.9,0.88,0.9,5000,0
DRF,60,20240906,150000,0.805,0.9,0.8,0.9,3800,0
DRF,60,20240911,110000,0.8,0.88,0.775,0.88,1333,0
DRF,60,20240911,140000,0.78,0.88,0.7,0.825,27194,0
DRF,60,20240911,150000,0.75,0.79,0.75,0.79,1111,0
DRF,60,20240911,170000,0.79,0.79,0.79,0.79,500,0
DRF,60,20240913,130000,0.71,0.71,0.7,0.7,1900,0
DRF,60,20240913,170000,0.765,0.765,0.765,0.765,100,0
DRF,60,20240917,110000,0.705,0.705,0.705,0.705,2000,0
DRF,60,20240917,170000,0.745,0.745,0.745,0.745,50,0
DRF,60,20240919,110000,0.765,0.77,0.765,0.77,1111,0
DRF,60,20241001,140000,0.705,0.705,0.705,0.705,400,0
DRF,60,20241001,160000,0.755,0.755,0.755,0.755,50,0
DRF,60,20241002,140000,0.71,0.78,0.7,0.78,2100,0
DRF,60,20241003,170000,0.7,0.785,0.7,0.785,4000,0
DRF,60,20241009,100000,0.7,0.7,0.7,0.7,3541,0
DRF,60,20241009,130000,0.7,0.7,0.7,0.7,4459,0
DRF,60,20241009,160000,0.775,0.775,0.775,0.775,100,0
DRF,60,20241010,120000,0.67,0.67,0.67,0.67,31,0
DRF,60,20241010,130000,0.765,0.765,0.765,0.765,50,0
DRF,60,20241015,100000,0.675,0.675,0.675,0.675,4000,0
DRF,60,20241015,120000,0.69,0.69,0.68,0.68,3269,0
DRF,60,20241015,130000,0.68,0.68,0.68,0.68,1030,0
DRF,60,20241016,110000,0.68,0.68,0.68,0.68,4,0
DRF,60,20241018,130000,0.68,0.73,0.63,0.73,6315,0
DRF,60,20241018,160000,0.7,0.7,0.7,0.7,1,0
DRF,60,20241024,110000,0.625,0.695,0.6,0.695,7100,0
DRF,60,20241025,120000,0.605,0.69,0.605,0.69,3520,0
DRF,60,20241025,150000,0.605,0.675,0.6,0.675,1830,0
DRF,60,20241104,100000,0.6,0.6,0.56,0.56,2715,0
DRF,60,20241106,120000,0.64,0.64,0.56,0.57,3254,0
DRF,60,20241106,170000,0.64,0.64,0.64,0.64,100,0
DRF,60,20241107,120000,0.635,0.64,0.635,0.64,6000,0
DRF,60,20241107,140000,0.64,0.66,0.64,0.66,250,0
DRF,60,20241108,120000,0.66,0.66,0.66,0.66,800,0
DRF,60,20241108,130000,0.66,0.66,0.66,0.66,500,0
DRF,60,20241108,140000,0.6,0.665,0.6,0.665,3960,0
DRF,60,20241112,110000,0.605,0.605,0.6,0.6,4000,0
DRF,60,20241114,100000,0.58,0.58,0.57,0.57,2746,0
DRF,60,20241119,160000,0.575,0.62,0.57,0.62,3870,0
DRF,60,20241128,110000,0.575,0.575,0.55,0.55,1400,0
DRF,60,20241128,130000,0.6,0.6,0.6,0.6,100,0
DRF,60,20241202,150000,0.555,0.61,0.555,0.61,3220,0
DRF,60,20241205,130000,0.555,0.555,0.555,0.555,200,0
DRF,60,20241205,140000,0.615,0.615,0.615,0.615,100,0
DRF,60,20241211,100000,0.555,0.555,0.555,0.555,120,0
DRF,60,20241216,130000,0.555,0.555,0.555,0.555,100,0
DRF,60,20241220,140000,0.555,0.555,0.55,0.55,3000,0
DRF,60,20241223,170000,0.55,0.55,0.462,0.462,4000,0
DRF,60,20241227,140000,0.55,0.55,0.55,0.55,100,0
DRF,60,20241230,170000,0.56,0.56,0.56,0.56,2900,0
DRF,60,20250102,100000,0.5,0.595,0.5,0.595,320,0
DRF,60,20250102,160000,0.59,0.59,0.59,0.59,2222,0
DRF,60,20250102,170000,0.59,0.6,0.59,0.6,800,0
DRF,60,20250113,130000,0.6,0.66,0.6,0.66,5000,0
DRF,60,20250120,100000,0.555,0.555,0.555,0.555,1,0
