<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EON,60,20240415,100000,16.1,16.1,16.1,16.1,1,0
EON,60,20240416,110000,15.4,15.4,15.4,15.4,10,0
EON,60,20240417,170000,15.4,15.4,15.4,15.4,5,0
EON,60,20240418,150000,16,16,16,16,10,0
EON,60,20240422,100000,16.1,16.1,16,16,51,0
EON,60,20240423,110000,16,16,16,16,3,0
EON,60,20240429,100000,16,16,16,16,4,0
EON,60,20240502,130000,15.9,15.9,15.9,15.9,50,0
EON,60,20240508,100000,16,16,16,16,1,0
EON,60,20240508,110000,15.6,15.6,15.4,15.4,50,0
EON,60,20240509,150000,15.7,16,15.7,16,72,0
EON,60,20240509,160000,16,16,16,16,1218,0
EON,60,20240510,100000,15.5,15.5,15.3,15.3,20,0
EON,60,20240514,160000,15.8,16,15.8,16,552,0
EON,60,20240515,100000,15.9,16,15.9,16,1155,0
EON,60,20240515,160000,15.9,16.4,15.9,16.4,14508,0
EON,60,20240521,100000,16.6,16.9,15.7,15.7,323,0
EON,60,20240521,130000,15.8,15.8,15.7,15.7,20,0
EON,60,20240522,100000,15.7,15.7,15.7,15.7,1,0
EON,60,20240522,150000,16.2,16.9,16.2,16.9,220,0
EON,60,20240529,100000,16.9,16.9,16.7,16.7,13,0
EON,60,20240529,130000,16.3,16.3,16.3,16.3,10,0
EON,60,20240604,100000,16.5,16.5,16.5,16.5,1,0
EON,60,20240604,120000,16.5,16.5,16.5,16.5,50,0
EON,60,20240604,150000,16.2,16.2,16.2,16.2,10,0
EON,60,20240605,100000,16.5,16.5,16.5,16.5,1,0
EON,60,20240605,120000,16.1,16.1,16.1,16.1,10,0
EON,60,20240606,100000,16.1,16.1,16.1,16.1,1,0
EON,60,20240606,110000,16.1,16.1,16.1,16.1,96,0
EON,60,20240606,140000,16.1,16.1,16.1,16.1,90,0
EON,60,20240610,130000,15.9,15.9,15.9,15.9,10,0
EON,60,20240611,110000,15.8,15.8,15.8,15.8,10,0
EON,60,20240611,140000,16.4,16.7,16.4,16.7,120,0
EON,60,20240614,110000,16.1,16.1,16.1,16.1,10,0
EON,60,20240614,130000,16,16,16,16,50,0
EON,60,20240617,100000,16.1,16.1,16.1,16.1,10,0
EON,60,20240618,140000,16.1,16.1,16.1,16.1,10,0
EON,60,20240624,100000,16,16,16,16,10,0
EON,60,20240624,110000,15.9,16,15.9,16,74,0
EON,60,20240628,100000,16,16,16,16,4,0
EON,60,20240701,150000,15.8,15.8,15.8,15.8,10,0
EON,60,20240701,160000,15.7,15.7,15.7,15.7,100,0
EON,60,20240705,100000,15.7,15.7,15.7,15.7,16,0
EON,60,20240708,120000,13,14.8,13,14.8,363,0
EON,60,20240712,100000,14.2,14.2,13.6,14.2,375,0
EON,60,20240712,130000,14.1,15.4,14.1,15.4,357,0
EON,60,20240716,100000,15,15,14.5,14.5,20,0
EON,60,20240716,120000,14.5,14.5,14.5,14.5,790,0
EON,60,20240718,100000,14.5,14.5,14.5,14.5,2,0
EON,60,20240719,110000,14.5,14.5,14.5,14.5,1148,0
EON,60,20240722,100000,14.5,14.5,14.5,14.5,1,0
EON,60,20240723,110000,14.5,14.5,14.5,14.5,1,0
EON,60,20240726,100000,14.5,14.5,14.5,14.5,2,0
EON,60,20240730,110000,14.5,15,14.4,15,3676,0
EON,60,20240730,120000,15,15,15,15,70,0
EON,60,20240806,100000,15,15,14.9,15,456,0
EON,60,20240807,130000,15,15,15,15,2,0
EON,60,20240809,120000,15,15,15,15,20,0
EON,60,20240812,160000,14.9,15,14.9,15,750,0
EON,60,20240819,110000,15,15,15,15,1,0
EON,60,20240821,100000,15,15,15,15,1,0
EON,60,20240822,110000,14.8,14.8,14.8,14.8,10,0
EON,60,20240828,140000,14.5,14.5,14.5,14.5,10,0
EON,60,20240828,170000,14.5,14.9,14.5,14.9,13,0
EON,60,20240829,120000,15,15,15,15,1,0
EON,60,20240902,100000,15,15,15,15,2,0
EON,60,20240903,110000,15,15,15,15,1,0
EON,60,20240904,100000,14.9,14.9,14.9,14.9,3,0
EON,60,20240906,140000,14.9,15,14.9,15,38,0
