<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
F51,60,20240411,100000,14.44,14.48,14.16,14.16,2722,0
F51,60,20240411,110000,14.2,14.2,13.62,13.88,5096,0
F51,60,20240411,120000,13.64,13.86,13.62,13.62,1329,0
F51,60,20240411,130000,13.8,13.8,13.54,13.54,1301,0
F51,60,20240411,140000,13.58,13.98,13.58,13.98,2010,0
F51,60,20240411,150000,13.8,13.8,13.68,13.8,785,0
F51,60,20240411,160000,13.8,13.8,13.8,13.8,110,0
F51,60,20240411,170000,13.8,13.98,13.64,13.98,5025,0
F51,60,20240412,100000,13.56,14.36,13.56,14.36,210,0
F51,60,20240412,110000,14.28,14.28,13.64,14.08,365,0
F51,60,20240412,120000,14.08,14.08,13.72,14.08,122,0
F51,60,20240412,130000,14.04,14.04,14.04,14.04,3,0
F51,60,20240412,150000,14,14.46,14,14.44,2923,0
F51,60,20240412,160000,14.2,14.44,13.84,14.38,333,0
F51,60,20240415,100000,13.54,13.98,13.54,13.88,11932,0
F51,60,20240415,110000,13.9,14.12,13.9,14,2785,0
F51,60,20240415,120000,14,14,13.8,13.98,913,0
F51,60,20240415,130000,13.8,13.8,13.8,13.8,107,0
F51,60,20240415,140000,13.8,13.8,13.8,13.8,488,0
F51,60,20240415,150000,13.92,13.92,13.9,13.9,268,0
F51,60,20240415,160000,13.9,13.9,13.76,13.76,765,0
F51,60,20240415,170000,13.8,13.8,13.76,13.76,822,0
F51,60,20240416,100000,13.66,13.74,13.5,13.74,1435,0
F51,60,20240416,110000,13.7,13.72,13.7,13.72,150,0
F51,60,20240416,120000,13.52,13.7,13.42,13.44,1558,0
F51,60,20240416,130000,13.46,13.46,13.44,13.44,587,0
F51,60,20240416,140000,13.64,13.66,13.44,13.58,935,0
F51,60,20240416,150000,13.42,13.5,13.42,13.44,219,0
F51,60,20240416,160000,13.44,13.5,13.4,13.4,967,0
F51,60,20240416,170000,13.36,13.46,13.34,13.4,1058,0
F51,60,20240417,100000,13.46,13.54,13.34,13.54,790,0
F51,60,20240417,110000,13.4,13.4,13.4,13.4,500,0
F51,60,20240417,120000,13.4,13.6,13.4,13.6,1838,0
F51,60,20240417,140000,13.4,13.6,13.3,13.6,1441,0
F51,60,20240417,150000,13.26,13.5,13.26,13.5,170,0
