<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEM,60,20240412,120000,0.7,0.73,0.7,0.73,1918,0
FEM,60,20240423,160000,0.79,0.79,0.69,0.69,1235,0
FEM,60,20240424,120000,0.67,0.67,0.67,0.67,1000,0
FEM,60,20240502,160000,0.65,0.79,0.65,0.79,2179,0
FEM,60,20240506,120000,0.8,0.8,0.8,0.8,1500,0
FEM,60,20240513,160000,0.795,0.81,0.795,0.81,30778,0
FEM,60,20240516,120000,0.81,0.81,0.81,0.81,39097,0
FEM,60,20240516,160000,0.81,0.81,0.81,0.81,358,0
FEM,60,20240517,120000,0.8,0.8,0.8,0.8,625,0
FEM,60,20240617,160000,0.72,0.72,0.7,0.7,1376,0
FEM,60,20240701,120000,0.7,0.7,0.7,0.7,715,0
FEM,60,20240709,160000,0.6,0.6,0.6,0.6,2174,0
FEM,60,20240710,120000,0.6,0.6,0.6,0.6,2330,0
FEM,60,20240710,160000,0.6,0.6,0.6,0.6,1000,0
FEM,60,20240711,120000,0.505,0.505,0.505,0.505,7342,0
FEM,60,20240711,160000,0.505,0.505,0.505,0.505,3770,0
FEM,60,20240712,120000,0.515,0.515,0.515,0.515,4194,0
FEM,60,20240712,160000,0.52,0.52,0.52,0.52,28570,0
FEM,60,20240715,120000,0.5,0.5,0.5,0.5,12200,0
FEM,60,20240715,160000,0.45,0.45,0.45,0.45,52450,0
FEM,60,20240716,120000,0.43,0.43,0.43,0.43,11050,0
FEM,60,20240716,160000,0.43,0.43,0.43,0.43,1500,0
FEM,60,20240717,120000,0.44,0.44,0.44,0.44,12000,0
FEM,60,20240719,160000,0.478,0.478,0.478,0.478,14446,0
FEM,60,20240724,120000,0.42,0.42,0.404,0.404,14879,0
FEM,60,20240725,160000,0.35,0.35,0.35,0.35,10,0
FEM,60,20240726,120000,0.41,0.41,0.41,0.41,2000,0
FEM,60,20240731,160000,0.41,0.41,0.336,0.342,53182,0
FEM,60,20240801,120000,0.392,0.392,0.392,0.392,37,0
FEM,60,20240802,160000,0.392,0.41,0.392,0.41,16914,0
FEM,60,20240808,120000,0.4,0.4,0.4,0.4,558,0
FEM,60,20240819,160000,0.42,0.484,0.412,0.484,6214,0
FEM,60,20240820,120000,0.48,0.48,0.48,0.48,2000,0
FEM,60,20240830,160000,0.41,0.488,0.41,0.488,1426,0
FEM,60,20240903,120000,0.48,0.48,0.48,0.48,4000,0
FEM,60,20240905,160000,0.48,0.48,0.48,0.48,300,0
FEM,60,20240906,120000,0.48,0.48,0.48,0.48,7145,0
FEM,60,20240919,160000,0.48,0.6,0.48,0.6,17440,0
FEM,60,20240920,120000,0.6,0.6,0.6,0.6,840,0
FEM,60,20240920,160000,0.69,0.69,0.69,0.69,148,0
FEM,60,20240923,120000,0.695,0.695,0.695,0.695,715,0
FEM,60,20240923,160000,0.645,0.645,0.645,0.645,977,0
FEM,60,20240927,120000,0.65,0.65,0.6,0.6,16130,0
FEM,60,20240930,160000,0.6,0.6,0.6,0.6,1965,0
FEM,60,20241001,100000,0.6,0.6,0.6,0.6,500,0
FEM,60,20241003,150000,0.56,0.56,0.56,0.56,1,0
FEM,60,20241007,110000,0.56,0.56,0.56,0.56,1795,0
FEM,60,20241007,120000,0.56,0.56,0.56,0.56,53,0
FEM,60,20241010,110000,0.49,0.49,0.49,0.49,237,0
FEM,60,20241018,130000,0.55,0.55,0.55,0.55,2000,0
FEM,60,20241018,150000,0.57,0.57,0.57,0.57,10,0
FEM,60,20241021,100000,0.57,0.57,0.57,0.57,40,0
