<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFP,60,20240415,160000,8.5,8.5,8.5,8.5,20,0
FFP,60,20240514,120000,8.5,8.5,7.75,7.75,70,0
FFP,60,20240521,160000,7.75,9.5,7.75,8.2,370,0
FFP,60,20240522,120000,6.5,6.5,6.5,6.5,170,0
FFP,60,20240528,160000,6.55,7.25,6.55,7.25,194,0
FFP,60,20240531,120000,7.25,7.25,7.25,7.25,35,0
FFP,60,20240611,160000,7.9,7.9,7.9,7.9,21,0
FFP,60,20240620,120000,7.9,7.9,7.9,7.9,10,0
FFP,60,20240625,160000,7.25,7.25,7.25,7.25,35,0
FFP,60,20240627,120000,7.9,7.9,7.25,7.25,105,0
FFP,60,20240627,160000,7.9,7.9,7.9,7.9,1,0
FFP,60,20240701,120000,7.2,7.2,6.6,6.6,170,0
FFP,60,20240701,160000,6.6,6.6,6.6,6.6,105,0
FFP,60,20240703,120000,6.55,6.55,6.05,6.05,159,0
FFP,60,20240703,160000,6.05,6.05,6.05,6.05,35,0
FFP,60,20240704,120000,6.05,6.05,6.05,6.05,82,0
FFP,60,20240705,160000,6,6.55,6,6.55,161,0
FFP,60,20240708,120000,6.6,6.6,6.6,6.6,76,0
FFP,60,20240708,160000,6.55,6.55,6.55,6.55,77,0
FFP,60,20240710,120000,7.2,7.2,7.2,7.2,221,0
FFP,60,20240710,160000,8,8,8,8,100,0
FFP,60,20240712,120000,8.5,10.2,8.5,10.2,280,0
FFP,60,20240712,160000,10.5,10.5,10.5,10.5,100,0
FFP,60,20240715,120000,10.5,10.5,10.5,10.5,298,0
FFP,60,20240715,160000,12.2,12.2,12.2,12.2,85,0
FFP,60,20240716,120000,12.6,12.6,12.6,12.6,112,0
FFP,60,20240716,160000,13.2,13.2,13.2,13.2,100,0
FFP,60,20240717,120000,11,11,11,11,46,0
FFP,60,20240718,160000,12.4,14,12.4,14,180,0
FFP,60,20240722,120000,13,13,13,13,50,0
FFP,60,20240722,160000,13.4,13.4,13.4,13.4,11,0
FFP,60,20240723,120000,13,13,13,13,10,0
FFP,60,20240723,160000,13,13,13,13,1,0
FFP,60,20240724,120000,13.5,13.5,13.5,13.5,29,0
FFP,60,20240724,160000,11,11,11,11,45,0
FFP,60,20240809,120000,13,13.2,10.9,10.9,137,0
FFP,60,20240813,160000,10.9,12.4,10.9,12.4,126,0
FFP,60,20240814,120000,12.3,12.3,12.3,12.3,38,0
FFP,60,20240816,160000,12.2,12.2,12.2,12.2,1,0
FFP,60,20240819,120000,12.4,12.4,12.4,12.4,2,0
FFP,60,20240820,160000,11.3,11.3,10.3,10.3,94,0
FFP,60,20240821,120000,9.4,9.4,9.4,9.4,54,0
FFP,60,20240821,160000,9.35,9.35,9.35,9.35,76,0
FFP,60,20240822,120000,10.3,10.3,10.3,10.3,103,0
FFP,60,20240822,160000,9.95,9.95,9.95,9.95,49,0
FFP,60,20240905,120000,11.9,11.9,11.9,11.9,52,0
FFP,60,20240905,160000,12.4,12.4,12.4,12.4,40,0
FFP,60,20240910,120000,11.3,12.4,11.3,12.4,65,0
FFP,60,20240910,160000,12.4,12.4,12.4,12.4,10,0
FFP,60,20240913,120000,13.9,13.9,12.7,12.7,92,0
FFP,60,20240913,160000,13.9,13.9,13.9,13.9,16,0
FFP,60,20240916,120000,13.5,13.5,13.5,13.5,25,0
FFP,60,20240916,160000,13.9,13.9,13.9,13.9,30,0
FFP,60,20240918,120000,13.5,13.5,13.5,13.5,60,0
FFP,60,20240918,160000,12.7,12.7,12.7,12.7,40,0
FFP,60,20240919,120000,12.6,12.6,12.6,12.6,45,0
FFP,60,20240919,160000,12.6,12.6,12.6,12.6,1545,0
FFP,60,20240920,120000,13,13,13,13,50,0
FFP,60,20240920,160000,11,11,11,11,54,0
FFP,60,20240923,120000,11,11,11,11,46,0
FFP,60,20240923,160000,11,11,11,11,40,0
FFP,60,20240926,120000,11,12.6,11,12.6,305,0
FFP,60,20240926,160000,12.6,12.6,12.6,12.6,72,0
FFP,60,20241002,120000,12.8,12.8,11.7,11.7,45,0
FFP,60,20241002,160000,11.7,11.7,11.7,11.7,1724,0
FFP,60,20241004,120000,11,12,11,12,1337,0
FFP,60,20241004,160000,12,12,12,12,1120,0
FFP,60,20241007,120000,12.8,12.8,12.8,12.8,20,0
FFP,60,20241007,160000,12.8,12.8,12.8,12.8,55,0
FFP,60,20241008,120000,12.7,12.7,12.7,12.7,18,0
FFP,60,20241008,160000,12.7,12.7,12.7,12.7,10,0
FFP,60,20241015,120000,12.7,12.7,12.7,12.7,413,0
FFP,60,20241015,160000,13,13,13,13,45,0
FFP,60,20241016,120000,13,13,13,13,9,0
FFP,60,20241016,160000,13,13,13,13,291,0
FFP,60,20241017,120000,12.9,12.9,12.9,12.9,20,0
FFP,60,20241018,160000,14,14,14,14,449,0
FFP,60,20241022,120000,11.2,11.2,11.2,11.2,150,0
FFP,60,20241022,160000,10.8,10.8,10.8,10.8,80,0
FFP,60,20241023,120000,10.8,10.8,10.8,10.8,30,0
FFP,60,20241031,160000,12,12,12,12,300,0
FFP,60,20241105,120000,14,14,14,14,200,0
FFP,60,20241105,160000,14,14,14,14,80,0
FFP,60,20241107,120000,14,14,12.8,12.8,157,0
