<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GME,60,20240411,120000,82.5,82.5,82.5,82.5,12,0
GME,60,20240411,170000,82.5,82.5,82.5,82.5,40,0
GME,60,20240412,130000,82.5,82.5,82.5,82.5,40,0
GME,60,20240415,140000,82.5,82.5,82.5,82.5,854,0
GME,60,20240415,160000,82.5,82.5,82.5,82.5,6,0
GME,60,20240417,130000,80,80,80,80,80,0
GME,60,20240417,140000,80,80,80,80,11,0
GME,60,20240417,150000,80,82,80,82,10,0
GME,60,20240423,140000,80,80,80,80,30,0
GME,60,20240425,100000,78,78,77.5,77.5,108,0
GME,60,20240425,110000,78,78,78,78,10,0
GME,60,20240508,120000,77,77,76,76,81,0
GME,60,20240510,110000,73.5,73.5,73.5,73.5,15,0
GME,60,20240510,160000,73.5,73.5,73,73,83,0
GME,60,20240513,120000,73,73,71.5,71.5,8,0
GME,60,20240513,150000,71.5,71.5,71.5,71.5,1,0
GME,60,20240515,130000,72,72,72,72,52,0
GME,60,20240516,150000,70.5,70.5,69,69,207,0
GME,60,20240528,120000,67,67,67,67,50,0
GME,60,20240528,130000,67,67,67,67,50,0
GME,60,20240528,140000,66.5,66.5,66,66,61,0
GME,60,20240529,130000,65.5,65.5,65.5,65.5,20,0
GME,60,20240603,100000,64,64,57,62,387,0
GME,60,20240603,110000,62,75.5,62,75,1353,0
GME,60,20240603,120000,75.5,75.5,75.5,75.5,7,0
GME,60,20240603,130000,71,75,64,67.5,524,0
GME,60,20240603,140000,63,68.5,54,54,852,0
GME,60,20240603,160000,58,58,58,58,1,0
GME,60,20240603,170000,58.5,58.5,58.5,58.5,9,0
GME,60,20240604,110000,56.5,56.5,55,55,31,0
GME,60,20240604,150000,55,55,55,55,7,0
GME,60,20240607,100000,54.5,56.5,53,56.5,63,0
GME,60,20240607,120000,56.5,56.5,56.5,56.5,29,0
GME,60,20240611,130000,53.5,53.5,53,53,94,0
GME,60,20240626,110000,52.5,54,52.5,53.5,70,0
GME,60,20240708,130000,55.5,55.5,55.5,55.5,1,0
GME,60,20240715,100000,55,55,53.5,53.5,30,0
GME,60,20240726,170000,53.5,53.5,53,53,17,0
GME,60,20240730,120000,55,59.5,55,59.5,93,0
GME,60,20240731,110000,57.5,57.5,57.5,57.5,18,0
GME,60,20240806,170000,56.5,56.5,56.5,56.5,35,0
GME,60,20240808,120000,56.5,56.5,56.5,56.5,18,0
GME,60,20240814,140000,56.5,56.5,56.5,56.5,60,0
GME,60,20240814,170000,55,55,55,55,67,0
GME,60,20240904,100000,55,55,55,55,10,0
GME,60,20240923,120000,54,54,54,54,60,0
GME,60,20240926,140000,53,53,53,53,2,0
GME,60,20241001,170000,55.5,55.5,55.5,55.5,4,0
GME,60,20241017,110000,55.5,55.5,55.5,55.5,3,0
GME,60,20241108,140000,53,53,53,53,20,0
GME,60,20241114,100000,53,53,53,53,2,0
GME,60,20241115,110000,53,53,53,53,72,0
GME,60,20241119,160000,54.5,54.5,53,53,36,0
GME,60,20241205,140000,52.5,52.5,52.5,52.5,10,0
GME,60,20241212,100000,52.5,52.5,52,52,150,0
GME,60,20241212,110000,51,51,51,51,50,0
GME,60,20241220,140000,51,51,51,51,20,0
GME,60,20250110,100000,56.5,56.5,52.5,52.5,181,0
GME,60,20250113,160000,51.5,51.5,51.5,51.5,99,0
GME,60,20250122,120000,51,51,51,51,60,0
GME,60,20250122,140000,50.5,50.5,50.5,50.5,110,0
GME,60,20250129,100000,48.8,48.8,47.6,47.6,166,0
GME,60,20250129,140000,47.6,48,47.6,48,70,0
GME,60,20250130,100000,48,48,48,48,10,0
GME,60,20250130,110000,47.2,47.2,47.2,47.2,70,0
GME,60,20250207,100000,47,47,47,47,41,0
GME,60,20250210,110000,47,47,47,47,14,0
GME,60,20250212,100000,46.4,46.4,46.4,46.4,70,0
GME,60,20250217,110000,45.8,45.8,45.6,45.6,86,0
GME,60,20250217,140000,46,46,46,46,4,0
GME,60,20250219,130000,45.6,45.6,45.6,45.6,2,0
GME,60,20250219,170000,45.6,45.6,45.6,45.6,1,0
GME,60,20250220,120000,45.6,45.6,45,45,140,0
GME,60,20250307,110000,45.4,45.4,45.4,45.4,70,0
GME,60,20250310,130000,45.4,45.4,44.2,44.2,210,0
GME,60,20250310,150000,43.2,43.2,43.2,43.2,1,0
GME,60,20250325,100000,43.4,43.4,43.4,43.4,50,0
GME,60,20250326,130000,43.2,43.2,43.2,43.2,79,0
GME,60,20250401,160000,42.4,42.4,42.4,42.4,80,0
GME,60,20250417,110000,42,42,41,41,304,0
GME,60,20250417,120000,40.2,40.2,40.2,40.2,1,0
GME,60,20250424,100000,40.2,40.4,40,40,249,0
GME,60,20250425,110000,40.4,40.4,40.4,40.4,70,0
GME,60,20250425,120000,40.6,40.6,40.6,40.6,20,0
GME,60,20250430,150000,39,39,39,39,80,0
GME,60,20250430,170000,40.2,40.2,40.2,40.2,1,0
GME,60,20250516,100000,39.8,39.8,39.8,39.8,5,0
GME,60,20250528,170000,39.6,39.6,39.6,39.6,44,0
GME,60,20250529,100000,39.6,39.6,38.2,38.2,5,0
GME,60,20250602,130000,38.2,38.2,38,38,160,0
GME,60,20250604,170000,37.8,37.8,37.2,37.2,220,0
GME,60,20250609,110000,37,37,37,37,3,0
GME,60,20250609,120000,36,36,36,36,1,0
GME,60,20250609,170000,37,37,37,37,79,0
GME,60,20250610,140000,35.6,35.6,35.6,35.6,80,0
GME,60,20250611,110000,35.4,35.4,35.4,35.4,2,0
GME,60,20250617,170000,35.4,35.4,35.2,35.2,188,0
GME,60,20250620,120000,35,35,35,35,6,0
GME,60,20250625,110000,35,35,35,35,2,0
GME,60,20250625,120000,35,35,35,35,10,0
GME,60,20250625,170000,35,35,35,35,38,0
GME,60,20250707,140000,34.4,34.4,33.6,33.6,120,0
GME,60,20250710,170000,33.6,41.6,33.6,41.6,137,0
GME,60,20250711,100000,49.8,49.8,49.8,49.8,63,0
GME,60,20250711,110000,41,41,41,41,15,0
GME,60,20250711,120000,40.8,40.8,40.4,40.4,169,0
GME,60,20250711,130000,42,42,40.4,40.4,200,0
GME,60,20250711,160000,49,49,49,49,102,0
GME,60,20250711,170000,49,56,49,56,54,0
GME,60,20250714,100000,46.2,46.2,46.2,46.2,44,0
GME,60,20250714,120000,46.4,46.4,46,46,18,0
GME,60,20250714,170000,52,53.5,52,53.5,65,0
GME,60,20250715,100000,47,47,47,47,12,0
GME,60,20250715,170000,50.5,53.5,50.5,53.5,65,0
GME,60,20250716,110000,46.4,46.4,46.4,46.4,70,0
GME,60,20250716,170000,52,52,52,52,65,0
GME,60,20250717,100000,47,48,47,48,87,0
GME,60,20250717,110000,47.2,47.2,47.2,47.2,72,0
GME,60,20250717,170000,47.2,50.5,47.2,50.5,65,0
GME,60,20250721,140000,44.4,44.4,44.4,44.4,147,0
GME,60,20250721,170000,49.6,53,49.6,53,170,0
GME,60,20250723,140000,45.4,45.4,45.4,45.4,45,0
GME,60,20250723,150000,47,47,47,47,44,0
GME,60,20250723,170000,50.5,50.5,50.5,50.5,65,0
GME,60,20250725,120000,47.8,47.8,47.8,47.8,143,0
GME,60,20250725,170000,50,53,50,53,165,0
GME,60,20250728,100000,53,53,53,53,1,0
GME,60,20250729,110000,47.8,47.8,47.8,47.8,10,0
GME,60,20250729,160000,48.2,53,48,50,778,0
GME,60,20250731,170000,50,55,50,55,175,0
GME,60,20250804,110000,51,51,51,51,40,0
GME,60,20250806,170000,54,58.5,54,58.5,170,0
GME,60,20250812,110000,54,54,54,54,20,0
GME,60,20250812,140000,57,57,57,57,2,0
GME,60,20250813,170000,55.5,58,55.5,58,86,0
GME,60,20250814,160000,57.5,66,57.5,66,173,0
GME,60,20250814,170000,65.5,66,65.5,66,39,0
GME,60,20250818,140000,66,66,66,66,3,0
GME,60,20250818,160000,66,66,66,66,5,0
GME,60,20250818,170000,66,70,66,70,49,0
GME,60,20250819,100000,74.5,74.5,74.5,74.5,11,0
GME,60,20250819,140000,74.5,74.5,74.5,74.5,1,0
GME,60,20250819,150000,74.5,74.5,74.5,74.5,1,0
GME,60,20250819,160000,74.5,74.5,74.5,74.5,1,0
GME,60,20250819,170000,74.5,74.5,74.5,74.5,16,0
GME,60,20250820,100000,75,75,71.5,75,4,0
GME,60,20250820,110000,71.5,75,71.5,75,4,0
GME,60,20250820,130000,75,75,75,75,1,0
GME,60,20250820,150000,75,75,75,75,4,0
GME,60,20250820,160000,71.5,71.5,71.5,71.5,4,0
GME,60,20250820,170000,75,75,75,75,4,0
GME,60,20250821,100000,75,75,75,75,2,0
GME,60,20250821,110000,71.5,71.5,71.5,71.5,2,0
GME,60,20250821,120000,71.5,71.5,71.5,71.5,30,0
GME,60,20250822,170000,71.5,71.5,71.5,71.5,185,0
GME,60,20250825,160000,70.5,70.5,70.5,70.5,10,0
GME,60,20250825,170000,71.5,71.5,71.5,71.5,55,0
GME,60,20250826,150000,71.5,71.5,71.5,71.5,4,0
