<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTS,60,20240411,100000,6.56,6.56,6.48,6.48,592,0
GTS,60,20240411,110000,6.58,6.58,6.58,6.58,375,0
GTS,60,20240411,120000,6.48,6.48,6.48,6.48,20,0
GTS,60,20240411,130000,6.5,6.5,6.5,6.5,33,0
GTS,60,20240411,160000,6.62,6.62,6.62,6.62,41,0
GTS,60,20240411,170000,6.62,6.62,6.62,6.62,270,0
GTS,60,20240412,100000,6.56,6.56,6.56,6.56,1000,0
GTS,60,20240412,110000,6.64,6.7,6.64,6.7,1000,0
GTS,60,20240412,120000,6.7,6.7,6.68,6.68,2111,0
GTS,60,20240412,130000,6.7,6.7,6.7,6.7,8,0
GTS,60,20240412,140000,6.68,6.68,6.68,6.68,139,0
GTS,60,20240415,100000,6.6,6.64,6.32,6.42,7513,0
GTS,60,20240415,110000,6.58,6.58,6.56,6.56,753,0
GTS,60,20240415,130000,6.56,6.56,6.4,6.4,210,0
GTS,60,20240415,160000,6.42,6.42,6.4,6.4,1289,0
GTS,60,20240415,170000,6.52,6.54,6.52,6.54,55,0
GTS,60,20240416,100000,6.48,6.48,6.42,6.42,88,0
GTS,60,20240416,130000,6.44,6.44,6.42,6.42,680,0
GTS,60,20240416,140000,6.42,6.5,6.4,6.5,362,0
GTS,60,20240416,150000,6.4,6.4,6.38,6.38,91,0
GTS,60,20240416,160000,6.38,6.38,6.38,6.38,500,0
GTS,60,20240416,170000,6.38,6.38,6.34,6.34,2038,0
GTS,60,20240417,100000,6.38,6.38,6.34,6.34,520,0
GTS,60,20240417,120000,6.36,6.5,6.34,6.5,1434,0
GTS,60,20240417,130000,6.4,6.4,6.4,6.4,100,0
GTS,60,20240417,140000,6.4,6.4,6.4,6.4,1010,0
GTS,60,20240417,150000,6.4,6.4,6.4,6.4,332,0
GTS,60,20240417,160000,6.5,6.56,6.5,6.56,250,0
GTS,60,20240417,170000,6.42,6.5,6.38,6.38,412,0
GTS,60,20240418,100000,6.38,6.38,6.38,6.38,40,0
GTS,60,20240418,130000,6.52,6.6,6.52,6.6,1234,0
GTS,60,20240418,140000,6.6,6.68,6.6,6.68,516,0
GTS,60,20240418,150000,6.5,6.5,6.5,6.5,8,0
GTS,60,20240418,160000,6.52,6.52,6.52,6.52,4,0
GTS,60,20240418,170000,6.68,6.7,6.52,6.56,1010,0
GTS,60,20240419,100000,6.54,6.54,6.46,6.46,269,0
GTS,60,20240419,130000,6.44,6.44,6.42,6.44,551,0
GTS,60,20240419,160000,6.54,6.54,6.52,6.52,321,0
GTS,60,20240419,170000,6.58,6.6,6.58,6.58,923,0
GTS,60,20240422,110000,6.48,6.48,6.44,6.44,200,0
GTS,60,20240422,120000,6.44,6.44,6.44,6.44,165,0
GTS,60,20240422,150000,6.58,7.38,6.58,7.28,29532,0
GTS,60,20240422,160000,7.28,7.6,7.2,7.48,40247,0
GTS,60,20240422,170000,7.48,7.48,7.34,7.4,8741,0
GTS,60,20240423,100000,7.48,7.6,7.12,7.3,8220,0
GTS,60,20240423,110000,7.3,7.3,7.2,7.2,747,0
GTS,60,20240423,120000,7.28,7.32,7.22,7.22,744,0
GTS,60,20240423,130000,7.26,7.26,7.22,7.22,450,0
GTS,60,20240423,140000,7.32,7.32,7.32,7.32,40,0
GTS,60,20240423,150000,7.3,7.3,7.3,7.3,125,0
GTS,60,20240423,160000,7.3,7.3,7.12,7.12,2016,0
GTS,60,20240423,170000,7.12,7.14,7.1,7.1,964,0
GTS,60,20240424,100000,7.1,7.24,7.1,7.16,6549,0
GTS,60,20240424,110000,7.2,7.26,7.2,7.26,475,0
GTS,60,20240424,120000,7.32,7.34,7.32,7.32,862,0
GTS,60,20240424,130000,7.32,7.32,7.32,7.32,2,0
GTS,60,20240424,140000,7.28,7.28,7.28,7.28,1099,0
GTS,60,20240424,150000,7.28,7.28,7.24,7.24,205,0
GTS,60,20240424,160000,7.3,7.3,7.3,7.3,2,0
GTS,60,20240424,170000,7.24,7.3,7.24,7.3,252,0
GTS,60,20240425,100000,7.3,7.3,7.3,7.3,594,0
GTS,60,20240425,110000,7.3,7.38,7.16,7.16,757,0
GTS,60,20240425,120000,7.16,7.16,7.1,7.1,190,0
GTS,60,20240425,130000,7.1,7.1,7.1,7.1,500,0
GTS,60,20240425,140000,7.1,7.16,7.06,7.16,964,0
GTS,60,20240425,150000,7.16,7.16,7.1,7.1,425,0
GTS,60,20240425,160000,7.06,7.06,7.06,7.06,1500,0
GTS,60,20240425,170000,7.14,7.14,7.14,7.14,1010,0
GTS,60,20240426,100000,7.1,7.1,7.1,7.1,1073,0
GTS,60,20240426,130000,7.24,7.24,7.24,7.24,10,0
GTS,60,20240426,140000,7.24,7.26,7.24,7.26,665,0
GTS,60,20240426,160000,7.16,7.16,7.16,7.16,110,0
GTS,60,20240426,170000,7.2,7.26,7.2,7.26,150,0
GTS,60,20240429,100000,7.12,7.12,7.12,7.12,90,0
GTS,60,20240429,110000,7.24,7.28,7.24,7.28,400,0
GTS,60,20240429,120000,7.28,7.28,7.28,7.28,2018,0
GTS,60,20240429,130000,7.18,7.3,7.16,7.3,42,0
GTS,60,20240429,140000,7.3,7.3,7.3,7.3,598,0
GTS,60,20240429,150000,7.32,7.32,7.12,7.12,34,0
GTS,60,20240429,160000,7.14,7.14,7,7,1159,0
GTS,60,20240429,170000,7.26,7.26,7.26,7.26,141,0
GTS,60,20240430,100000,7.26,7.26,7.26,7.26,505,0
GTS,60,20240430,140000,7.2,7.28,7.06,7.28,1141,0
GTS,60,20240502,100000,7.1,7.1,7.1,7.1,1,0
GTS,60,20240502,110000,7.24,7.24,7.24,7.24,12,0
GTS,60,20240502,150000,7.14,7.24,7,7.24,3312,0
GTS,60,20240502,160000,7.24,7.24,7.24,7.24,100,0
GTS,60,20240506,100000,7.22,7.22,7.16,7.16,101,0
GTS,60,20240506,110000,7.16,7.16,7.16,7.16,13,0
GTS,60,20240506,120000,7.16,7.2,7,7,1374,0
GTS,60,20240506,130000,7,7,7,7,327,0
GTS,60,20240506,140000,7.1,7.1,6.94,7.06,543,0
GTS,60,20240506,150000,6.98,6.98,6.96,6.98,231,0
GTS,60,20240506,160000,7.06,7.16,7.06,7.16,1151,0
GTS,60,20240507,100000,7.12,7.12,7.12,7.12,181,0
GTS,60,20240507,110000,7.12,7.12,7.1,7.1,794,0
GTS,60,20240507,120000,7.12,7.12,7.12,7.12,2,0
GTS,60,20240507,130000,7.12,7.16,7.12,7.16,170,0
GTS,60,20240507,170000,7.16,7.16,7.16,7.16,107,0
GTS,60,20240508,100000,7.28,7.28,7.1,7.1,749,0
GTS,60,20240508,120000,7.16,7.2,7.16,7.2,1400,0
GTS,60,20240508,130000,7.22,7.26,7.22,7.26,396,0
GTS,60,20240508,150000,7.16,7.16,7.16,7.16,8,0
GTS,60,20240508,170000,7.16,7.2,7.16,7.2,317,0
GTS,60,20240509,110000,7.12,7.12,7.12,7.12,100,0
GTS,60,20240509,120000,7.2,7.4,7.2,7.4,2849,0
GTS,60,20240509,140000,7.24,7.24,7.24,7.24,38,0
GTS,60,20240509,170000,7.24,7.3,7.24,7.3,125,0
GTS,60,20240510,100000,7.34,7.42,7.3,7.3,604,0
GTS,60,20240510,110000,7.3,7.38,7.3,7.38,1529,0
GTS,60,20240510,120000,7.38,7.38,7.38,7.38,652,0
GTS,60,20240510,130000,7.4,7.4,7.38,7.38,190,0
GTS,60,20240510,150000,7.38,7.38,7.38,7.38,5,0
