<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPG,60,20240416,120000,2.48,2.48,2.48,2.48,2350,0
HPG,60,20240416,160000,2.54,2.54,2.54,2.54,50,0
HPG,60,20240417,120000,2.64,2.64,2.64,2.64,72,0
HPG,60,20240417,160000,2.66,2.66,2.66,2.66,319,0
HPG,60,20240424,120000,2.8,2.9,2.8,2.9,280,0
HPG,60,20240424,160000,2.9,2.9,2.9,2.9,253,0
HPG,60,20240425,120000,3,3,3,3,2,0
HPG,60,20240425,160000,3,3,3,3,28,0
HPG,60,20240426,120000,3.06,3.06,3.06,3.06,2,0
HPG,60,20240426,160000,3,3,3,3,200,0
HPG,60,20240430,120000,3.06,3.06,3.04,3.04,10,0
HPG,60,20240430,160000,2.92,2.92,2.92,2.92,830,0
HPG,60,20240506,120000,2.84,2.84,2.84,2.84,7,0
HPG,60,20240506,160000,2.9,2.9,2.9,2.9,200,0
HPG,60,20240507,120000,2.96,2.96,2.96,2.96,5,0
HPG,60,20240507,160000,2.98,2.98,2.98,2.98,160,0
HPG,60,20240508,120000,2.98,2.98,2.98,2.98,35,0
HPG,60,20240508,160000,2.82,2.82,2.82,2.82,144,0
HPG,60,20240510,120000,2.82,2.88,2.82,2.88,127,0
HPG,60,20240510,160000,2.9,2.9,2.9,2.9,300,0
HPG,60,20240513,120000,2.9,2.9,2.9,2.9,15,0
HPG,60,20240513,160000,2.82,2.82,2.82,2.82,880,0
HPG,60,20240514,120000,2.68,2.68,2.68,2.68,50,0
HPG,60,20240514,160000,2.6,2.6,2.6,2.6,95,0
HPG,60,20240515,120000,2.48,2.48,2.48,2.48,698,0
HPG,60,20240515,160000,2.48,2.48,2.48,2.48,1300,0
HPG,60,20240516,120000,2.42,2.42,2.42,2.42,5,0
HPG,60,20240516,160000,2.38,2.38,2.38,2.38,429,0
