<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPS,60,20240412,130000,0.394,0.394,0.394,0.394,100,0
HPS,60,20240412,160000,0.394,0.394,0.39,0.39,3600,0
HPS,60,20240415,110000,0.4,0.4,0.4,0.4,30,0
HPS,60,20240415,130000,0.38,0.38,0.38,0.38,100,0
HPS,60,20240415,150000,0.37,0.37,0.37,0.37,100,0
HPS,60,20240416,100000,0.364,0.364,0.364,0.364,425,0
HPS,60,20240416,160000,0.37,0.37,0.35,0.35,1475,0
HPS,60,20240416,170000,0.38,0.398,0.38,0.398,650,0
HPS,60,20240507,160000,0.396,0.43,0.396,0.43,2906,0
HPS,60,20240507,170000,0.44,0.45,0.44,0.45,2000,0
HPS,60,20240509,120000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240510,140000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240513,100000,0.45,0.45,0.45,0.45,25,0
HPS,60,20240514,120000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240517,110000,0.45,0.45,0.45,0.45,60,0
HPS,60,20240520,120000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240522,110000,0.45,0.45,0.45,0.45,23500,0
HPS,60,20240603,160000,0.45,0.46,0.45,0.46,980,0
HPS,60,20240604,100000,0.46,0.46,0.46,0.46,50,0
HPS,60,20240604,160000,0.46,0.46,0.46,0.46,970,0
HPS,60,20240605,110000,0.46,0.46,0.46,0.46,30,0
HPS,60,20240605,120000,0.46,0.46,0.46,0.46,1441,0
HPS,60,20240606,130000,0.46,0.46,0.46,0.46,20,0
HPS,60,20240610,100000,0.46,0.46,0.46,0.46,130,0
HPS,60,20240610,160000,0.46,0.46,0.46,0.46,409,0
HPS,60,20240611,110000,0.46,0.46,0.46,0.46,30,0
HPS,60,20240611,120000,0.46,0.46,0.46,0.46,2000,0
HPS,60,20240612,100000,0.46,0.46,0.46,0.46,40,0
HPS,60,20240613,110000,0.46,0.46,0.46,0.46,20,0
HPS,60,20240617,140000,0.46,0.46,0.46,0.46,25,0
HPS,60,20240618,110000,0.46,0.46,0.46,0.46,30,0
HPS,60,20240619,120000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240620,100000,0.42,0.42,0.42,0.42,501,0
HPS,60,20240624,110000,0.42,0.42,0.42,0.42,30,0
HPS,60,20240628,120000,0.42,0.42,0.42,0.42,230,0
HPS,60,20240705,100000,0.42,0.42,0.42,0.42,30,0
HPS,60,20240708,110000,0.42,0.42,0.42,0.42,30,0
HPS,60,20240712,160000,0.43,0.434,0.43,0.434,300,0
HPS,60,20240717,110000,0.434,0.434,0.434,0.434,60,0
HPS,60,20240718,120000,0.434,0.434,0.434,0.434,30,0
HPS,60,20240718,140000,0.44,0.44,0.44,0.44,200,0
HPS,60,20240718,170000,0.446,0.448,0.446,0.448,300,0
HPS,60,20240719,100000,0.44,0.44,0.44,0.44,256,0
HPS,60,20240719,110000,0.44,0.44,0.44,0.44,119,0
HPS,60,20240806,100000,0.43,0.43,0.43,0.43,2150,0
HPS,60,20240812,110000,0.44,0.45,0.44,0.45,3500,0
HPS,60,20240813,120000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240814,110000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240816,130000,0.45,0.45,0.45,0.45,30,0
HPS,60,20240820,110000,0.45,0.45,0.45,0.45,75,0
HPS,60,20240822,120000,0.45,0.45,0.45,0.45,335,0
HPS,60,20240903,140000,0.424,0.424,0.418,0.424,2900,0
HPS,60,20241001,120000,0.426,0.426,0.426,0.426,50,0
HPS,60,20241007,100000,0.426,0.426,0.426,0.426,80,0
HPS,60,20241008,110000,0.426,0.426,0.426,0.426,30,0
HPS,60,20241014,100000,0.426,0.426,0.426,0.426,110,0
HPS,60,20241015,120000,0.426,0.426,0.426,0.426,30,0
HPS,60,20241016,100000,0.426,0.426,0.426,0.426,30,0
HPS,60,20241016,120000,0.44,0.44,0.44,0.44,250,0
HPS,60,20241017,130000,0.44,0.44,0.44,0.44,30,0
HPS,60,20241017,150000,0.45,0.454,0.45,0.454,200,0
HPS,60,20241018,140000,0.454,0.454,0.454,0.454,30,0
HPS,60,20241021,120000,0.454,0.454,0.454,0.454,30,0
HPS,60,20241104,100000,0.454,0.454,0.424,0.424,93,0
HPS,60,20241104,160000,0.42,0.42,0.42,0.42,3000,0
HPS,60,20241105,100000,0.42,0.42,0.42,0.42,30,0
HPS,60,20241106,110000,0.42,0.42,0.42,0.42,30,0
HPS,60,20241108,100000,0.42,0.42,0.42,0.42,30,0
