<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBC,60,20240411,100000,1.48,1.48,1.47,1.47,1000,0
IBC,60,20240411,120000,1.47,1.47,1.47,1.47,200,0
IBC,60,20240411,140000,1.42,1.55,1.3,1.55,4768,0
IBC,60,20240411,160000,1.45,1.45,1.4,1.4,1001,0
IBC,60,20240412,100000,1.45,1.45,1.45,1.45,100,0
IBC,60,20240412,120000,1.38,1.5,1.36,1.5,3602,0
IBC,60,20240412,130000,1.5,1.51,1.5,1.51,99,0
IBC,60,20240412,170000,1.5,1.5,1.5,1.5,300,0
IBC,60,20240415,100000,1.52,1.52,1.52,1.52,145,0
IBC,60,20240415,120000,1.45,1.49,1.4,1.49,1757,0
IBC,60,20240415,140000,1.49,1.49,1.49,1.49,3,0
IBC,60,20240415,170000,1.49,1.49,1.49,1.49,97,0
IBC,60,20240416,100000,1.37,1.74,1.37,1.72,11974,0
IBC,60,20240416,120000,1.68,1.79,1.65,1.76,7237,0
IBC,60,20240416,130000,1.76,1.8,1.76,1.8,4112,0
IBC,60,20240416,140000,1.72,1.8,1.72,1.8,274,0
IBC,60,20240416,170000,1.71,1.74,1.71,1.74,101,0
IBC,60,20240417,100000,1.74,1.89,1.67,1.67,20795,0
IBC,60,20240417,110000,1.67,1.7,1.64,1.7,10063,0
IBC,60,20240417,120000,1.69,1.82,1.69,1.77,7712,0
IBC,60,20240417,130000,1.77,1.81,1.77,1.81,3400,0
IBC,60,20240417,140000,1.72,1.72,1.72,1.72,3100,0
IBC,60,20240417,150000,1.7,1.74,1.7,1.74,141,0
IBC,60,20240417,160000,1.73,1.8,1.71,1.78,1483,0
IBC,60,20240417,170000,1.71,1.71,1.71,1.71,458,0
IBC,60,20240418,100000,1.77,1.8,1.69,1.77,3540,0
IBC,60,20240418,120000,1.76,2.12,1.76,2.12,16899,0
IBC,60,20240418,130000,2.02,2.38,2.02,2.18,19543,0
IBC,60,20240418,140000,2.16,2.22,2.16,2.2,1760,0
IBC,60,20240418,150000,2.12,2.18,1.75,1.75,23236,0
IBC,60,20240418,160000,1.82,2.02,1.8,1.97,4256,0
IBC,60,20240418,170000,1.88,1.97,1.86,1.97,2158,0
IBC,60,20240419,100000,1.97,1.97,1.85,1.97,1268,0
IBC,60,20240419,110000,1.87,1.9,1.85,1.9,2555,0
IBC,60,20240419,120000,1.8,1.8,1.65,1.79,4624,0
IBC,60,20240419,140000,1.79,1.8,1.79,1.8,115,0
IBC,60,20240419,150000,1.8,1.8,1.8,1.8,1900,0
IBC,60,20240419,160000,1.73,1.73,1.7,1.7,1005,0
IBC,60,20240419,170000,1.7,1.82,1.7,1.78,1868,0
IBC,60,20240422,100000,1.78,1.81,1.6,1.65,2917,0
IBC,60,20240422,110000,1.65,1.68,1.6,1.68,851,0
IBC,60,20240422,120000,1.6,1.6,1.55,1.6,2479,0
IBC,60,20240422,130000,1.63,1.63,1.55,1.55,510,0
IBC,60,20240422,140000,1.56,1.56,1.56,1.56,59,0
IBC,60,20240422,150000,1.63,1.68,1.63,1.68,1171,0
IBC,60,20240422,160000,1.69,1.69,1.69,1.69,757,0
IBC,60,20240423,100000,1.68,1.68,1.53,1.53,546,0
IBC,60,20240423,120000,1.64,1.64,1.64,1.64,1,0
IBC,60,20240423,130000,1.64,1.64,1.55,1.55,250,0
IBC,60,20240423,160000,1.6,1.6,1.6,1.6,1,0
IBC,60,20240423,170000,1.63,1.63,1.54,1.54,244,0
IBC,60,20240424,100000,1.63,1.63,1.63,1.63,1,0
IBC,60,20240424,110000,1.55,1.6,1.5,1.6,1100,0
IBC,60,20240424,120000,1.58,1.6,1.58,1.6,500,0
IBC,60,20240424,130000,1.59,1.6,1.59,1.6,350,0
IBC,60,20240424,150000,1.55,1.55,1.45,1.45,1748,0
IBC,60,20240424,160000,1.54,1.54,1.54,1.54,50,0
IBC,60,20240424,170000,1.55,1.55,1.55,1.55,151,0
IBC,60,20240425,100000,1.5,1.55,1.46,1.55,146,0
IBC,60,20240425,110000,1.55,1.58,1.55,1.58,135,0
IBC,60,20240425,140000,1.58,1.59,1.58,1.59,100,0
IBC,60,20240425,160000,1.59,1.6,1.59,1.6,50,0
IBC,60,20240426,100000,1.6,1.6,1.45,1.55,1661,0
IBC,60,20240426,120000,1.46,1.46,1.45,1.45,750,0
IBC,60,20240426,130000,1.54,1.54,1.54,1.54,1,0
IBC,60,20240426,160000,1.5,1.58,1.5,1.58,1420,0
IBC,60,20240429,100000,1.61,2.2,1.61,2.2,23333,0
IBC,60,20240429,110000,2.2,2.3,2.08,2.3,19598,0
IBC,60,20240429,160000,2.18,2.18,2.1,2.1,1039,0
IBC,60,20240429,170000,2.08,2.3,2.08,2.22,7914,0
IBC,60,20240430,100000,2.28,2.28,1.94,1.94,2450,0
IBC,60,20240430,110000,1.95,2.2,1.9,2.2,15480,0
IBC,60,20240430,120000,2.02,2.18,1.93,2.18,2662,0
IBC,60,20240430,140000,1.93,1.93,1.93,1.93,350,0
IBC,60,20240430,150000,2.02,2.14,2.02,2.14,905,0
IBC,60,20240430,160000,2.14,2.14,2.14,2.14,1396,0
IBC,60,20240430,170000,1.93,1.93,1.84,1.84,15048,0
IBC,60,20240502,100000,2,2.2,2,2.2,2481,0
IBC,60,20240502,110000,2.2,2.4,2.2,2.38,32106,0
IBC,60,20240502,120000,2.38,2.4,2.38,2.4,1390,0
IBC,60,20240506,100000,2.74,3.24,2.5,2.78,38941,0
IBC,60,20240506,110000,2.8,2.96,2.2,2.44,25522,0
IBC,60,20240506,120000,2.34,2.86,2.32,2.86,15225,0
IBC,60,20240506,130000,2.86,3.04,2.8,3,15933,0
IBC,60,20240506,140000,2.82,2.9,2.8,2.9,3698,0
IBC,60,20240506,150000,2.78,2.88,2.68,2.86,2183,0
IBC,60,20240506,160000,2.72,2.98,2.68,2.98,5755,0
IBC,60,20240506,170000,2.94,3.22,2.94,3.22,19953,0
IBC,60,20240507,100000,3.22,3.42,3,3.06,5096,0
IBC,60,20240507,110000,3.1,3.4,3.04,3.4,3762,0
IBC,60,20240507,130000,3.22,3.4,3.22,3.4,7628,0
IBC,60,20240507,140000,3.4,4.6,3.4,4.18,8400,0
IBC,60,20240507,150000,3.88,4.18,3.88,4.18,1846,0
IBC,60,20240507,160000,3.8,4.18,3.8,4.18,1253,0
IBC,60,20240507,170000,4.18,4.58,4.18,4.56,8236,0
IBC,60,20240508,100000,4.6,4.6,3.7,4.3,7456,0
IBC,60,20240508,110000,4.26,5.2,4.24,4.9,18788,0
IBC,60,20240508,120000,4.64,4.94,4.4,4.64,2624,0
IBC,60,20240508,130000,4.64,4.84,3.8,4.3,12807,0
IBC,60,20240508,140000,4.1,4.28,3.92,4.26,6568,0
IBC,60,20240508,150000,4.04,4.18,3.8,4.18,5245,0
IBC,60,20240508,170000,3.84,4.12,3.74,3.74,3884,0
IBC,60,20240509,100000,3.96,3.96,3.24,3.5,7039,0
IBC,60,20240509,110000,3.42,3.96,3.24,3.92,25567,0
IBC,60,20240509,120000,3.94,3.96,3.6,3.94,3657,0
IBC,60,20240509,130000,3.6,3.86,3.6,3.86,511,0
IBC,60,20240509,140000,3.6,3.7,3.58,3.68,856,0
IBC,60,20240509,150000,3.52,3.56,2.76,2.76,37343,0
IBC,60,20240509,160000,2.7,2.98,2.56,2.7,21485,0
IBC,60,20240509,170000,2.78,2.8,2.4,2.4,18142,0
IBC,60,20240510,100000,2.6,2.64,2.3,2.5,12214,0
IBC,60,20240510,110000,2.48,2.6,2.2,2.4,12142,0
IBC,60,20240510,120000,2.34,2.4,2.18,2.4,3999,0
IBC,60,20240510,130000,2.3,2.38,2.2,2.2,1762,0
IBC,60,20240510,140000,2.34,2.4,2.34,2.4,500,0
IBC,60,20240510,150000,2.38,3.02,2.38,2.92,25453,0
IBC,60,20240510,160000,2.72,2.88,2.5,2.8,14092,0
IBC,60,20240510,170000,2.7,2.84,2.5,2.64,14987,0
IBC,60,20240513,100000,2.64,2.72,2.46,2.66,5345,0
IBC,60,20240513,110000,2.54,2.66,2.5,2.54,1218,0
IBC,60,20240513,120000,2.6,2.6,2.6,2.6,503,0
IBC,60,20240513,130000,2.64,2.88,2.64,2.84,4492,0
IBC,60,20240513,140000,2.76,2.82,2.64,2.64,3813,0
IBC,60,20240513,150000,2.78,2.78,2.7,2.7,1528,0
IBC,60,20240513,160000,2.7,2.7,2.7,2.7,1408,0
IBC,60,20240513,170000,2.64,2.64,2.64,2.64,300,0
IBC,60,20240514,100000,2.66,2.66,2.5,2.5,4552,0
IBC,60,20240514,110000,2.54,2.54,2.54,2.54,432,0
IBC,60,20240514,120000,2.64,2.82,2.62,2.62,7307,0
IBC,60,20240514,130000,2.62,2.62,2.6,2.6,1426,0
IBC,60,20240514,150000,2.64,2.7,2.64,2.7,2759,0
IBC,60,20240514,160000,2.7,2.8,2.7,2.7,7951,0
IBC,60,20240514,170000,2.8,3.14,2.8,3.1,7627,0
IBC,60,20240515,100000,3.08,3.08,2.82,3.04,5990,0
IBC,60,20240515,110000,3.04,3.14,2.92,2.92,845,0
IBC,60,20240515,120000,3.1,3.12,3.1,3.12,100,0
IBC,60,20240515,130000,3.12,3.12,3.12,3.12,100,0
IBC,60,20240515,140000,3.04,3.04,3.04,3.04,161,0
IBC,60,20240515,150000,2.96,2.96,2.9,2.9,2000,0
IBC,60,20240515,160000,2.92,2.92,2.92,2.92,161,0
IBC,60,20240515,170000,2.94,2.94,2.9,2.9,399,0
IBC,60,20240516,100000,3,3,2.86,2.86,457,0
IBC,60,20240516,110000,2.86,2.86,2.76,2.76,1848,0
IBC,60,20240516,120000,2.94,2.94,2.94,2.94,1,0
IBC,60,20240516,140000,2.92,2.92,2.92,2.92,40,0
IBC,60,20240516,170000,2.94,2.98,2.94,2.98,603,0
IBC,60,20240517,100000,3,3.26,2.92,3.08,5641,0
IBC,60,20240517,110000,3,3.02,3,3.02,883,0
IBC,60,20240517,120000,3.02,3.02,3.02,3.02,51,0
IBC,60,20240517,130000,3.08,3.08,3.04,3.08,585,0
IBC,60,20240517,150000,3.02,3.04,3.02,3.02,2306,0
IBC,60,20240517,160000,3.02,3.02,3.02,3.02,1269,0
IBC,60,20240517,170000,2.94,3.06,2.92,2.92,1000,0
IBC,60,20240520,100000,3.08,3.12,3.08,3.12,264,0
IBC,60,20240520,110000,3.1,3.1,2.92,2.92,2112,0
IBC,60,20240520,120000,2.82,2.82,2.78,2.78,760,0
IBC,60,20240520,130000,2.76,2.76,2.7,2.7,553,0
IBC,60,20240520,150000,3,3,3,3,4,0
IBC,60,20240521,100000,2.72,2.98,2.7,2.98,1394,0
IBC,60,20240521,110000,2.74,2.74,2.64,2.64,1421,0
IBC,60,20240521,130000,2.92,2.92,2.8,2.8,264,0
IBC,60,20240521,170000,2.82,2.82,2.82,2.82,641,0
IBC,60,20240522,100000,2.84,2.88,2.84,2.88,793,0
IBC,60,20240522,110000,2.86,2.86,2.86,2.86,100,0
IBC,60,20240522,120000,2.84,2.84,2.68,2.68,1062,0
IBC,60,20240522,130000,2.56,2.56,2.54,2.54,100,0
IBC,60,20240522,150000,2.58,2.58,2.4,2.4,7593,0
