<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVO,60,20240411,100000,1.075,1.1,1.075,1.1,4683,0
IVO,60,20240411,110000,1.075,1.085,1.06,1.085,7309,0
IVO,60,20240411,120000,1.085,1.095,1.07,1.09,1222,0
IVO,60,20240411,130000,1.09,1.09,1.045,1.07,11777,0
IVO,60,20240411,140000,1.045,1.095,1.045,1.065,2476,0
IVO,60,20240411,150000,1.065,1.065,1.045,1.055,121,0
IVO,60,20240411,160000,1.055,1.055,1.055,1.055,2018,0
IVO,60,20240411,170000,1.045,1.055,1.045,1.055,564,0
IVO,60,20240412,100000,1.075,1.075,1.075,1.075,54,0
IVO,60,20240412,110000,1.07,1.08,1.07,1.08,4420,0
IVO,60,20240412,120000,1.075,1.08,1.075,1.08,2650,0
IVO,60,20240412,130000,1.06,1.06,1.06,1.06,1273,0
IVO,60,20240412,140000,1.085,1.085,1.085,1.085,434,0
IVO,60,20240412,150000,1.07,1.08,1.04,1.075,8146,0
IVO,60,20240412,160000,1.06,1.06,1.06,1.06,1109,0
IVO,60,20240412,170000,1.06,1.06,1.06,1.06,496,0
IVO,60,20240415,100000,1.04,1.065,1.025,1.065,5176,0
IVO,60,20240415,110000,1.03,1.03,0.968,0.968,27781,0
IVO,60,20240415,120000,0.968,1,0.968,1,2891,0
IVO,60,20240415,130000,0.992,1.07,0.982,1.07,22815,0
IVO,60,20240415,140000,1.06,1.06,1.06,1.06,100,0
IVO,60,20240415,150000,1.02,1.04,0.99,1.04,3525,0
IVO,60,20240415,160000,1.04,1.06,1.04,1.05,4966,0
IVO,60,20240415,170000,1.02,1.025,1.02,1.025,5581,0
IVO,60,20240416,100000,1.03,1.03,0.97,1,10324,0
IVO,60,20240416,110000,1,1,0.998,0.998,3113,0
IVO,60,20240416,120000,0.984,0.984,0.954,0.954,12712,0
IVO,60,20240416,130000,0.954,0.976,0.952,0.954,34638,0
IVO,60,20240416,140000,0.954,0.97,0.95,0.97,58468,0
IVO,60,20240416,150000,0.964,0.964,0.95,0.95,3688,0
IVO,60,20240416,160000,0.95,0.95,0.95,0.95,200,0
IVO,60,20240416,170000,0.954,0.96,0.91,0.912,9571,0
IVO,60,20240417,100000,0.94,0.95,0.924,0.924,3425,0
IVO,60,20240417,110000,0.93,0.93,0.914,0.914,2606,0
IVO,60,20240417,120000,0.92,0.92,0.92,0.92,3150,0
IVO,60,20240417,140000,0.92,0.928,0.876,0.876,12126,0
IVO,60,20240417,150000,0.874,0.874,0.85,0.86,21782,0
IVO,60,20240417,160000,0.882,0.882,0.882,0.882,400,0
IVO,60,20240417,170000,0.88,0.9,0.874,0.876,16932,0
IVO,60,20240418,100000,0.894,0.894,0.894,0.894,3123,0
IVO,60,20240418,110000,0.898,0.9,0.898,0.9,12611,0
IVO,60,20240418,120000,0.884,0.884,0.872,0.872,1700,0
IVO,60,20240418,130000,0.874,0.874,0.874,0.874,1974,0
IVO,60,20240418,140000,0.888,0.89,0.888,0.89,6915,0
IVO,60,20240418,150000,0.888,0.888,0.888,0.888,800,0
IVO,60,20240418,170000,0.872,0.888,0.852,0.886,9608,0
IVO,60,20240419,100000,0.872,0.872,0.872,0.872,500,0
IVO,60,20240419,110000,0.872,0.872,0.866,0.866,1624,0
IVO,60,20240419,120000,0.86,0.88,0.846,0.87,7866,0
IVO,60,20240419,130000,0.87,0.87,0.87,0.87,2500,0
IVO,60,20240419,140000,0.86,0.868,0.86,0.868,1020,0
IVO,60,20240419,150000,0.854,0.89,0.854,0.89,9664,0
IVO,60,20240419,170000,0.87,0.886,0.87,0.886,1300,0
IVO,60,20240422,100000,0.884,0.884,0.852,0.854,2777,0
IVO,60,20240422,110000,0.862,0.888,0.862,0.888,25206,0
IVO,60,20240422,120000,0.862,0.862,0.862,0.862,180,0
IVO,60,20240422,160000,0.878,0.878,0.87,0.87,281,0
IVO,60,20240422,170000,0.87,0.87,0.87,0.87,500,0
IVO,60,20240423,100000,0.886,0.898,0.886,0.898,6144,0
IVO,60,20240423,120000,0.876,0.876,0.876,0.876,1000,0
IVO,60,20240424,100000,0.878,0.878,0.87,0.87,3000,0
IVO,60,20240424,110000,0.872,0.872,0.872,0.872,125,0
IVO,60,20240424,120000,0.87,0.87,0.87,0.87,525,0
IVO,60,20240424,160000,0.886,0.886,0.886,0.886,1055,0
IVO,60,20240424,170000,0.886,0.886,0.866,0.866,152,0
IVO,60,20240425,100000,0.884,0.888,0.884,0.888,1000,0
IVO,60,20240425,110000,0.888,0.9,0.884,0.9,6967,0
IVO,60,20240425,120000,0.902,0.938,0.902,0.938,5602,0
IVO,60,20240425,130000,0.936,0.94,0.912,0.94,3582,0
IVO,60,20240425,150000,0.934,0.934,0.934,0.934,400,0
IVO,60,20240425,160000,0.912,0.912,0.912,0.912,3,0
IVO,60,20240426,100000,0.912,0.912,0.912,0.912,100,0
IVO,60,20240426,110000,0.928,0.934,0.928,0.934,553,0
IVO,60,20240426,120000,0.936,0.994,0.912,0.912,7137,0
IVO,60,20240426,130000,0.96,0.96,0.96,0.96,11,0
IVO,60,20240426,140000,0.96,0.97,0.96,0.97,500,0
IVO,60,20240426,150000,0.932,0.932,0.924,0.924,2000,0
IVO,60,20240426,170000,0.956,0.958,0.956,0.958,1400,0
IVO,60,20240429,100000,0.958,1.05,0.958,1.035,8174,0
IVO,60,20240429,110000,1.02,1.05,1.02,1.05,4713,0
IVO,60,20240429,120000,1.02,1.04,1.01,1.01,3057,0
IVO,60,20240429,130000,1.04,1.045,1.04,1.045,700,0
IVO,60,20240429,140000,1.03,1.03,0.98,0.98,4100,0
IVO,60,20240429,150000,0.984,1.02,0.98,1.02,2200,0
IVO,60,20240430,100000,1.01,1.01,1.01,1.01,129,0
IVO,60,20240430,110000,0.982,0.982,0.96,0.96,2624,0
IVO,60,20240430,120000,0.96,0.988,0.912,0.988,10149,0
IVO,60,20240430,130000,0.996,0.998,0.99,0.99,920,0
IVO,60,20240430,140000,0.968,0.97,0.968,0.97,4375,0
IVO,60,20240430,150000,0.97,0.986,0.942,0.986,5683,0
IVO,60,20240430,160000,0.986,0.988,0.986,0.988,770,0
IVO,60,20240430,170000,0.99,0.99,0.99,0.99,100,0
IVO,60,20240502,100000,0.98,0.98,0.93,0.954,8100,0
IVO,60,20240502,120000,0.956,0.956,0.952,0.952,750,0
IVO,60,20240502,170000,0.968,0.968,0.968,0.968,770,0
IVO,60,20240506,110000,0.944,0.948,0.9,0.948,14577,0
IVO,60,20240506,130000,0.91,0.94,0.91,0.94,1175,0
IVO,60,20240506,140000,0.908,0.908,0.904,0.904,1699,0
IVO,60,20240506,150000,0.906,0.906,0.902,0.902,3382,0
IVO,60,20240506,160000,0.906,0.906,0.9,0.9,3000,0
IVO,60,20240506,170000,0.918,0.918,0.9,0.9,3074,0
IVO,60,20240507,100000,0.892,0.892,0.87,0.87,16370,0
IVO,60,20240507,110000,0.888,0.938,0.886,0.928,17863,0
IVO,60,20240507,130000,0.924,0.924,0.9,0.902,3797,0
IVO,60,20240507,140000,0.9,0.902,0.9,0.902,20007,0
IVO,60,20240507,150000,0.902,0.902,0.9,0.9,7896,0
IVO,60,20240507,160000,0.886,0.902,0.886,0.9,7205,0
IVO,60,20240507,170000,0.908,0.908,0.884,0.908,7691,0
IVO,60,20240508,100000,0.908,0.908,0.89,0.89,1829,0
IVO,60,20240508,110000,0.888,0.904,0.888,0.904,3335,0
IVO,60,20240508,120000,0.9,0.908,0.9,0.908,1500,0
IVO,60,20240508,130000,0.886,0.886,0.886,0.886,90,0
IVO,60,20240508,160000,0.906,0.906,0.904,0.904,114,0
IVO,60,20240508,170000,0.906,0.908,0.9,0.9,1304,0
IVO,60,20240509,110000,0.908,0.908,0.888,0.888,51,0
IVO,60,20240509,130000,0.906,0.906,0.906,0.906,375,0
IVO,60,20240510,100000,0.906,0.908,0.86,0.908,3869,0
IVO,60,20240510,130000,0.9,0.9,0.868,0.868,1903,0
IVO,60,20240510,140000,0.9,0.902,0.9,0.902,1489,0
IVO,60,20240510,150000,0.902,0.902,0.87,0.902,844,0
IVO,60,20240513,100000,0.9,0.9,0.86,0.862,2602,0
IVO,60,20240513,110000,0.888,0.888,0.86,0.862,7676,0
IVO,60,20240513,130000,0.888,0.888,0.888,0.888,75,0
IVO,60,20240513,140000,0.888,0.888,0.888,0.888,20,0
IVO,60,20240513,150000,0.86,0.86,0.85,0.85,3750,0
IVO,60,20240513,160000,0.872,0.872,0.87,0.872,1633,0
IVO,60,20240513,170000,0.87,0.872,0.87,0.872,1695,0
IVO,60,20240514,100000,0.872,0.872,0.856,0.856,4796,0
IVO,60,20240514,110000,0.87,0.918,0.87,0.9,11250,0
IVO,60,20240514,120000,0.904,0.904,0.902,0.902,2365,0
IVO,60,20240514,130000,0.91,0.91,0.91,0.91,620,0
IVO,60,20240514,140000,0.91,0.912,0.91,0.912,254,0
IVO,60,20240514,150000,0.912,0.914,0.912,0.914,611,0
IVO,60,20240514,160000,0.912,0.92,0.904,0.92,7427,0
IVO,60,20240514,170000,0.92,0.92,0.92,0.92,3436,0
IVO,60,20240515,100000,0.92,0.938,0.92,0.92,23322,0
IVO,60,20240515,110000,0.93,0.94,0.93,0.94,18742,0
IVO,60,20240515,130000,0.912,0.912,0.91,0.91,800,0
IVO,60,20240515,140000,0.932,0.934,0.932,0.934,535,0
IVO,60,20240515,150000,0.912,0.912,0.91,0.91,2500,0
IVO,60,20240515,160000,0.93,0.93,0.93,0.93,29,0
IVO,60,20240515,170000,0.928,0.938,0.928,0.938,4557,0
IVO,60,20240516,100000,0.938,0.94,0.932,0.932,3120,0
IVO,60,20240516,110000,0.922,0.922,0.922,0.922,810,0
IVO,60,20240516,120000,0.93,0.93,0.93,0.93,701,0
IVO,60,20240516,130000,0.93,0.93,0.93,0.93,299,0
IVO,60,20240516,140000,0.934,1.05,0.934,0.96,52114,0
IVO,60,20240516,150000,1.02,1.02,1.02,1.02,734,0
IVO,60,20240516,170000,1,1.03,1,1.03,1045,0
IVO,60,20240517,100000,1.065,1.065,1.005,1.005,739,0
IVO,60,20240517,110000,1,1.05,1,1.05,4998,0
IVO,60,20240517,120000,1.05,1.05,1.05,1.05,1000,0
IVO,60,20240517,130000,1.01,1.01,1.01,1.01,90,0
IVO,60,20240517,140000,1.015,1.015,1.015,1.015,300,0
IVO,60,20240517,160000,1.015,1.015,1.01,1.01,196,0
IVO,60,20240520,100000,1.01,1.015,1.01,1.015,426,0
IVO,60,20240520,110000,1.01,1.01,1.01,1.01,5,0
IVO,60,20240520,120000,1.01,1.01,1.01,1.01,705,0
IVO,60,20240520,130000,0.982,0.982,0.982,0.982,1176,0
IVO,60,20240520,150000,0.982,0.982,0.982,0.982,254,0
IVO,60,20240520,160000,1.01,1.01,1.01,1.01,48,0
IVO,60,20240521,130000,0.984,1.025,0.98,1.025,5250,0
IVO,60,20240521,150000,0.982,0.982,0.982,0.982,1,0
