<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBJ,60,20240411,100000,20.2,20.2,20.2,20.2,505,0
KBJ,60,20240411,170000,20.4,20.8,20.4,20.4,1801,0
KBJ,60,20240412,100000,20.4,20.4,20.2,20.2,132,0
KBJ,60,20240412,120000,20.2,20.2,20.2,20.2,100,0
KBJ,60,20240412,170000,20.4,20.4,20.4,20.4,279,0
KBJ,60,20240415,100000,20.4,20.4,20.4,20.4,2,0
KBJ,60,20240415,150000,20,20.6,20,20.6,1084,0
KBJ,60,20240415,170000,20,20,20,20,6,0
KBJ,60,20240416,100000,20.4,20.4,20.4,20.4,2,0
KBJ,60,20240416,140000,20.2,20.4,20.2,20.4,494,0
KBJ,60,20240416,170000,20.6,20.6,20.6,20.6,10,0
KBJ,60,20240417,100000,21.2,21.2,20.6,20.6,17,0
KBJ,60,20240417,110000,20.6,20.6,20.6,20.6,21,0
KBJ,60,20240417,140000,20.4,20.6,20.4,20.6,686,0
KBJ,60,20240417,160000,20.8,20.8,20.8,20.8,500,0
KBJ,60,20240418,100000,20.8,21,20.8,21,914,0
KBJ,60,20240418,110000,20.8,22.2,20.8,22.2,595,0
KBJ,60,20240418,140000,21.4,22,21.4,22,1795,0
KBJ,60,20240418,170000,22,22,22,22,120,0
KBJ,60,20240419,100000,22,22,22,22,2,0
KBJ,60,20240419,110000,22,22,22,22,215,0
KBJ,60,20240422,100000,22,22,22,22,2,0
KBJ,60,20240422,120000,22,22.2,22,22.2,207,0
KBJ,60,20240422,130000,22,22,21.4,21.4,50,0
KBJ,60,20240422,170000,22.2,22.2,22.2,22.2,1,0
KBJ,60,20240423,100000,21.4,21.4,21.4,21.4,21,0
KBJ,60,20240423,130000,21.4,21.4,21.4,21.4,119,0
KBJ,60,20240423,140000,21.4,21.4,21.4,21.4,1,0
KBJ,60,20240423,170000,21.8,22.2,21.8,22.2,30,0
KBJ,60,20240424,100000,22,22,20.2,20.4,202,0
KBJ,60,20240424,110000,20.4,21.4,20.4,21.4,175,0
KBJ,60,20240424,130000,20.8,20.8,20.8,20.8,2,0
KBJ,60,20240424,170000,21.4,21.6,21,21.6,36,0
KBJ,60,20240425,100000,21,21,21,21,132,0
KBJ,60,20240425,120000,21,21,21,21,2,0
KBJ,60,20240425,170000,20.8,21.6,20.6,21.6,155,0
KBJ,60,20240426,100000,22.4,22.4,22.4,22.4,2,0
KBJ,60,20240426,150000,20.8,20.8,20.8,20.8,1,0
KBJ,60,20240426,170000,21.6,21.6,21.6,21.6,65,0
KBJ,60,20240429,100000,22.8,22.8,22.8,22.8,2,0
KBJ,60,20240429,140000,20.8,20.8,20.8,20.8,1,0
KBJ,60,20240429,170000,21.6,21.6,21.6,21.6,7,0
KBJ,60,20240430,100000,22.8,22.8,20.8,20.8,3,0
KBJ,60,20240430,120000,21.6,21.6,21.6,21.6,10,0
KBJ,60,20240502,100000,21.6,21.6,21.6,21.6,6,0
KBJ,60,20240502,140000,21,21,20.6,20.6,500,0
KBJ,60,20240507,100000,22.8,22.8,22,22,4,0
KBJ,60,20240507,120000,22,22,22,22,185,0
KBJ,60,20240507,130000,22.2,22.2,22.2,22.2,95,0
KBJ,60,20240507,140000,22.2,22.2,22.2,22.2,498,0
KBJ,60,20240507,170000,22.6,22.6,22.6,22.6,10,0
KBJ,60,20240508,100000,22.6,22.6,22.6,22.6,2,0
KBJ,60,20240508,130000,22.4,22.4,22.4,22.4,100,0
KBJ,60,20240508,150000,21.8,22.4,21.6,21.6,200,0
KBJ,60,20240508,160000,21.8,21.8,21.6,21.6,208,0
KBJ,60,20240508,170000,21.6,21.6,21.6,21.6,481,0
KBJ,60,20240509,100000,22.4,22.4,21,21,4,0
KBJ,60,20240509,120000,21,21,21,21,10,0
KBJ,60,20240509,170000,21.8,21.8,21.8,21.8,1,0
KBJ,60,20240510,100000,21.8,21.8,21.8,21.8,1,0
KBJ,60,20240510,120000,21.8,22,21.8,22,699,0
KBJ,60,20240510,160000,21.6,21.6,21.6,21.6,100,0
KBJ,60,20240513,100000,22.4,22.4,21.6,21.6,152,0
KBJ,60,20240513,170000,22.2,22.2,22.2,22.2,10,0
KBJ,60,20240514,100000,22,22,22,22,124,0
KBJ,60,20240514,110000,22,22,22,22,287,0
KBJ,60,20240514,120000,22.2,22.8,22.2,22.8,37,0
KBJ,60,20240514,130000,22.8,22.8,22.8,22.8,69,0
KBJ,60,20240514,160000,22.2,22.2,22.2,22.2,150,0
KBJ,60,20240514,170000,22.8,22.8,22.8,22.8,10,0
KBJ,60,20240515,100000,22.8,22.8,22.2,22.2,302,0
KBJ,60,20240515,110000,22.2,22.2,21.8,21.8,108,0
KBJ,60,20240515,150000,21.6,21.6,21.4,21.4,112,0
KBJ,60,20240515,170000,22.2,22.4,22.2,22.4,10,0
KBJ,60,20240516,100000,22.4,22.4,21.6,21.6,271,0
KBJ,60,20240516,140000,21.8,21.8,21.8,21.8,122,0
KBJ,60,20240516,160000,21.8,21.8,21.8,21.8,533,0
KBJ,60,20240516,170000,22.4,22.4,22.4,22.4,20,0
KBJ,60,20240517,100000,23,23,23,23,2,0
KBJ,60,20240517,140000,22.4,22.4,22.4,22.4,2,0
KBJ,60,20240517,170000,22,22,21.6,21.6,175,0
KBJ,60,20240520,100000,22.4,22.4,22.4,22.4,1,0
KBJ,60,20240520,110000,21.6,21.6,21,21,303,0
KBJ,60,20240520,120000,21.6,22.2,21.4,21.4,24,0
KBJ,60,20240520,150000,21.2,21.2,21.2,21.2,180,0
KBJ,60,20240520,170000,21.2,21.4,21.2,21.4,456,0
KBJ,60,20240521,100000,22,22,22,22,2,0
KBJ,60,20240521,130000,21.4,21.4,21,21,675,0
KBJ,60,20240521,150000,21.6,21.6,21.6,21.6,22,0
KBJ,60,20240522,100000,21.6,21.6,21.6,21.6,2,0
KBJ,60,20240522,130000,21,21,21,21,500,0
KBJ,60,20240522,170000,21.6,21.6,21.6,21.6,345,0
KBJ,60,20240523,100000,21.2,21.2,21.2,21.2,1,0
KBJ,60,20240523,150000,21.2,21.2,21,21,525,0
KBJ,60,20240523,170000,20.4,20.4,20.4,20.4,25,0
KBJ,60,20240524,100000,20.6,20.6,20.6,20.6,1,0
KBJ,60,20240524,140000,20.6,21.4,20.6,21.4,1219,0
KBJ,60,20240524,150000,21.6,21.6,21.6,21.6,2,0
KBJ,60,20240527,100000,22,22,22,22,2,0
KBJ,60,20240527,170000,21.6,21.6,21.6,21.6,577,0
KBJ,60,20240531,100000,22,22,21,21,168,0
KBJ,60,20240531,130000,20.8,20.8,20.8,20.8,2,0
KBJ,60,20240604,100000,21.4,21.4,20.8,21,546,0
KBJ,60,20240604,120000,21.4,21.4,21,21,568,0
KBJ,60,20240604,170000,21.4,21.4,21.4,21.4,10,0
KBJ,60,20240605,100000,21,21,21,21,1,0
KBJ,60,20240605,120000,21.4,21.4,21.4,21.4,180,0
KBJ,60,20240605,170000,21.4,21.4,21.4,21.4,6,0
KBJ,60,20240606,100000,21.6,21.6,21.6,21.6,1,0
KBJ,60,20240606,150000,21,21,21,21,402,0
KBJ,60,20240607,100000,21.6,21.6,21.6,21.6,2,0
KBJ,60,20240607,170000,20.8,20.8,20.8,20.8,597,0
KBJ,60,20240610,100000,20.8,20.8,20.8,20.8,45,0
KBJ,60,20240610,170000,21.6,21.6,21.6,21.6,10,0
KBJ,60,20240611,100000,21.6,21.6,21.6,21.6,2,0
KBJ,60,20240611,160000,21.2,21.2,21.2,21.2,4,0
KBJ,60,20240612,100000,21.6,21.6,21.6,21.6,2,0
KBJ,60,20240612,150000,21,21,20.8,20.8,387,0
KBJ,60,20240613,100000,21.6,21.6,20.8,20.8,9,0
KBJ,60,20240613,170000,21.4,21.4,21.4,21.4,9,0
KBJ,60,20240614,100000,21.8,21.8,21.8,21.8,104,0
KBJ,60,20240614,110000,21.8,21.8,21.8,21.8,187,0
KBJ,60,20240614,150000,21.6,21.6,21.6,21.6,363,0
KBJ,60,20240618,100000,22,22,22,22,4,0
KBJ,60,20240618,170000,22,22,22,22,71,0
KBJ,60,20240619,100000,22.4,22.4,22,22,81,0
KBJ,60,20240619,110000,22,22,22,22,601,0
KBJ,60,20240620,100000,22.4,22.4,22.4,22.4,1,0
KBJ,60,20240620,160000,22.2,22.2,22.2,22.2,60,0
KBJ,60,20240620,170000,22.2,22.2,22.2,22.2,419,0
KBJ,60,20240621,100000,22.4,22.4,22,22,102,0
KBJ,60,20240621,110000,22,22,22,22,50,0
KBJ,60,20240621,160000,22,22.2,22,22.2,596,0
KBJ,60,20240624,100000,22.4,22.4,22.2,22.4,435,0
KBJ,60,20240624,170000,22.4,22.4,22.4,22.4,195,0
KBJ,60,20240626,100000,22.8,23,22,23,133,0
KBJ,60,20240626,130000,22.8,22.8,22.8,22.8,100,0
KBJ,60,20240626,160000,23,23,23,23,105,0
KBJ,60,20240628,100000,23,27.8,22.4,25.8,8075,0
KBJ,60,20240628,110000,26,26.6,25.8,25.8,1925,0
KBJ,60,20240628,120000,25.8,26.6,25.8,26.6,258,0
KBJ,60,20240628,130000,25.8,26.6,25.8,26.6,1958,0
KBJ,60,20240628,140000,26.6,26.6,26.6,26.6,206,0
KBJ,60,20240628,150000,26.8,27,26.6,27,1309,0
KBJ,60,20240628,160000,27,27,27,27,630,0
KBJ,60,20240628,170000,26.6,26.6,26.2,26.2,1670,0
KBJ,60,20240701,100000,27,27,26.2,26.8,755,0
KBJ,60,20240701,110000,27,27.6,26.8,27.6,3915,0
KBJ,60,20240701,130000,27.4,27.4,26.4,27.4,3538,0
