<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUK,60,20240415,100000,0.62,0.62,0.62,0.62,734,0
LUK,60,20240416,120000,0.65,0.65,0.65,0.65,240,0
LUK,60,20240422,160000,0.62,0.62,0.62,0.62,9,0
LUK,60,20240423,130000,0.62,0.62,0.62,0.62,1614,0
LUK,60,20240426,100000,0.57,0.57,0.57,0.57,1755,0
LUK,60,20240426,120000,0.55,0.58,0.55,0.58,4966,0
LUK,60,20240426,130000,0.64,0.64,0.64,0.64,1,0
LUK,60,20240509,170000,0.57,0.57,0.57,0.57,1755,0
LUK,60,20240510,120000,0.505,0.505,0.505,0.505,295,0
LUK,60,20240510,130000,0.58,0.58,0.58,0.58,1,0
LUK,60,20240516,110000,0.505,0.505,0.5,0.5,2704,0
LUK,60,20240516,140000,0.446,0.5,0.446,0.5,2,0
LUK,60,20240520,110000,0.444,0.444,0.44,0.44,10499,0
LUK,60,20240520,120000,0.45,0.45,0.45,0.45,2273,0
LUK,60,20240520,130000,0.45,0.51,0.45,0.51,3027,0
LUK,60,20240528,170000,0.5,0.5,0.5,0.5,1500,0
LUK,60,20240604,130000,0.5,0.5,0.5,0.5,2500,0
LUK,60,20240604,140000,0.51,0.51,0.51,0.51,1961,0
LUK,60,20240604,150000,0.56,0.56,0.56,0.56,1,0
LUK,60,20240605,170000,0.52,0.52,0.51,0.51,3246,0
LUK,60,20240606,100000,0.51,0.51,0.51,0.51,1050,0
LUK,60,20240611,110000,0.55,0.55,0.55,0.55,200,0
LUK,60,20240611,170000,0.55,0.55,0.55,0.55,3000,0
LUK,60,20240613,100000,0.55,0.56,0.55,0.56,2000,0
LUK,60,20240617,130000,0.56,0.57,0.56,0.565,3000,0
LUK,60,20240618,110000,0.565,0.57,0.565,0.57,1000,0
LUK,60,20240618,160000,0.57,0.57,0.57,0.57,1000,0
LUK,60,20240626,110000,0.52,0.52,0.52,0.52,1000,0
LUK,60,20240712,170000,0.57,0.57,0.57,0.57,1000,0
LUK,60,20240814,140000,0.505,0.505,0.505,0.505,1000,0
LUK,60,20240903,120000,0.505,0.505,0.43,0.43,7051,0
LUK,60,20240903,130000,0.4,0.43,0.4,0.43,44169,0
LUK,60,20240903,140000,0.44,0.44,0.44,0.44,150,0
LUK,60,20240903,160000,0.44,0.44,0.44,0.44,449,0
LUK,60,20240917,120000,0.448,0.45,0.448,0.45,3223,0
LUK,60,20240920,150000,0.51,0.51,0.51,0.51,100,0
LUK,60,20240920,170000,0.505,0.505,0.505,0.505,1,0
LUK,60,20241010,120000,0.43,0.43,0.43,0.43,1500,0
LUK,60,20241010,130000,0.45,0.45,0.45,0.45,1500,0
LUK,60,20241011,100000,0.498,0.498,0.498,0.498,1515,0
LUK,60,20241011,150000,0.432,0.432,0.43,0.43,1515,0
LUK,60,20241017,130000,0.43,0.43,0.4,0.4,4250,0
LUK,60,20241018,120000,0.44,0.44,0.43,0.43,3000,0
LUK,60,20241018,140000,0.43,0.43,0.352,0.352,2826,0
LUK,60,20241018,150000,0.352,0.352,0.352,0.352,1424,0
LUK,60,20241021,170000,0.422,0.422,0.422,0.422,100,0
LUK,60,20241112,110000,0.388,0.388,0.388,0.388,1,0
LUK,60,20241112,150000,0.448,0.448,0.448,0.448,1,0
LUK,60,20241202,100000,0.39,0.39,0.39,0.39,200,0
LUK,60,20241202,160000,0.39,0.39,0.39,0.39,302,0
LUK,60,20241212,170000,0.388,0.392,0.388,0.392,4175,0
LUK,60,20241218,150000,0.39,0.39,0.39,0.39,5128,0
LUK,60,20241218,170000,0.39,0.39,0.39,0.39,1349,0
LUK,60,20241219,120000,0.388,0.388,0.388,0.388,1830,0
LUK,60,20241219,160000,0.388,0.388,0.37,0.37,6574,0
LUK,60,20241219,170000,0.38,0.38,0.38,0.38,100,0
LUK,60,20241220,110000,0.378,0.378,0.378,0.378,1,0
LUK,60,20241220,130000,0.32,0.324,0.32,0.324,2,0
LUK,60,20241220,140000,0.328,0.38,0.328,0.38,101,0
LUK,60,20241220,150000,0.328,0.328,0.328,0.328,1,0
LUK,60,20241220,170000,0.33,0.38,0.33,0.38,1541,0
LUK,60,20241223,100000,0.318,0.318,0.318,0.318,1,0
LUK,60,20241223,110000,0.38,0.38,0.38,0.38,50,0
LUK,60,20241223,130000,0.328,0.332,0.328,0.332,2,0
LUK,60,20241223,170000,0.38,0.38,0.38,0.38,20,0
LUK,60,20241227,100000,0.314,0.314,0.314,0.314,1,0
LUK,60,20241227,130000,0.38,0.38,0.38,0.38,10,0
LUK,60,20241230,160000,0.38,0.38,0.38,0.38,300,0
LUK,60,20250102,100000,0.314,0.318,0.314,0.318,2,0
LUK,60,20250102,150000,0.38,0.38,0.38,0.38,2632,0
LUK,60,20250102,170000,0.44,0.44,0.44,0.44,100,0
LUK,60,20250108,150000,0.384,0.476,0.384,0.476,9000,0
LUK,60,20250108,160000,0.422,0.422,0.382,0.382,7500,0
LUK,60,20250109,110000,0.44,0.44,0.44,0.44,10,0
LUK,60,20250115,100000,0.37,0.37,0.37,0.37,150,0
LUK,60,20250203,110000,0.44,0.44,0.384,0.384,11,0
LUK,60,20250204,100000,0.44,0.44,0.44,0.44,1010,0
LUK,60,20250204,110000,0.39,0.39,0.39,0.39,1,0
LUK,60,20250205,120000,0.39,0.39,0.39,0.39,600,0
LUK,60,20250207,110000,0.402,0.402,0.402,0.402,1,0
LUK,60,20250210,100000,0.44,0.49,0.44,0.49,2352,0
LUK,60,20250211,110000,0.488,0.488,0.488,0.488,773,0
LUK,60,20250211,130000,0.424,0.424,0.424,0.424,1,0
LUK,60,20250211,140000,0.426,0.486,0.42,0.486,5082,0
LUK,60,20250212,110000,0.44,0.492,0.44,0.492,7368,0
LUK,60,20250212,120000,0.492,0.498,0.492,0.498,1001,0
LUK,60,20250227,100000,0.496,0.498,0.496,0.498,11,0
LUK,60,20250303,170000,0.498,0.498,0.498,0.498,381,0
LUK,60,20250311,100000,0.42,0.47,0.42,0.47,779,0
LUK,60,20250311,110000,0.42,0.42,0.42,0.42,1,0
LUK,60,20250311,120000,0.496,0.496,0.496,0.496,1,0
LUK,60,20250314,100000,0.42,0.42,0.42,0.42,800,0
LUK,60,20250314,110000,0.498,0.498,0.498,0.498,43,0
LUK,60,20250314,160000,0.43,0.43,0.43,0.43,800,0
LUK,60,20250318,120000,0.43,0.498,0.43,0.498,4330,0
LUK,60,20250318,150000,0.42,0.42,0.42,0.42,1000,0
LUK,60,20250319,120000,0.484,0.55,0.484,0.53,30574,0
LUK,60,20250319,130000,0.46,0.52,0.39,0.394,13303,0
LUK,60,20250319,140000,0.47,0.47,0.47,0.47,2000,0
LUK,60,20250319,150000,0.46,0.46,0.43,0.43,2276,0
LUK,60,20250319,160000,0.47,0.5,0.47,0.5,3844,0
LUK,60,20250319,170000,0.515,0.53,0.515,0.53,10489,0
LUK,60,20250320,100000,0.53,0.55,0.52,0.52,37491,0
LUK,60,20250320,110000,0.49,0.49,0.45,0.45,3726,0
LUK,60,20250320,120000,0.45,0.515,0.45,0.515,996,0
LUK,60,20250320,130000,0.51,0.51,0.51,0.51,900,0
LUK,60,20250320,140000,0.505,0.505,0.505,0.505,1000,0
LUK,60,20250320,160000,0.505,0.505,0.505,0.505,619,0
LUK,60,20250321,120000,0.505,0.505,0.505,0.505,2069,0
LUK,60,20250324,140000,0.505,0.505,0.505,0.505,199,0
LUK,60,20250325,120000,0.456,0.456,0.39,0.39,23086,0
LUK,60,20250325,130000,0.486,0.486,0.486,0.486,100,0
LUK,60,20250325,150000,0.496,0.505,0.496,0.505,5600,0
LUK,60,20250326,100000,0.505,0.505,0.505,0.505,180,0
LUK,60,20250327,160000,0.505,0.52,0.505,0.52,11002,0
LUK,60,20250327,170000,0.55,0.57,0.55,0.57,2600,0
LUK,60,20250328,100000,0.56,0.57,0.56,0.57,4301,0
LUK,60,20250328,120000,0.56,0.56,0.56,0.56,2550,0
LUK,60,20250331,140000,0.462,0.462,0.462,0.462,800,0
LUK,60,20250331,170000,0.55,0.55,0.55,0.55,10,0
LUK,60,20250402,100000,0.55,0.55,0.55,0.55,300,0
LUK,60,20250402,140000,0.55,0.55,0.55,0.55,1,0
LUK,60,20250402,170000,0.452,0.452,0.45,0.45,2469,0
LUK,60,20250403,120000,0.51,0.51,0.51,0.51,10,0
LUK,60,20250404,110000,0.51,0.51,0.51,0.51,970,0
LUK,60,20250407,140000,0.51,0.51,0.51,0.51,99,0
LUK,60,20250414,100000,0.462,0.462,0.462,0.462,500,0
LUK,60,20250414,110000,0.5,0.5,0.5,0.5,200,0
LUK,60,20250414,120000,0.498,0.5,0.498,0.5,2000,0
LUK,60,20250414,130000,0.498,0.498,0.498,0.498,4000,0
LUK,60,20250414,170000,0.51,0.51,0.51,0.51,1,0
LUK,60,20250417,100000,0.432,0.432,0.432,0.432,2000,0
LUK,60,20250417,110000,0.436,0.505,0.436,0.505,99,0
LUK,60,20250417,120000,0.436,0.436,0.436,0.436,1,0
LUK,60,20250422,100000,0.46,0.46,0.434,0.434,4978,0
