<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBF,60,20240411,100000,3.35,3.36,3.15,3.36,877,0
MBF,60,20240411,110000,3.18,3.35,3.16,3.35,536,0
MBF,60,20240411,150000,3.35,3.48,3.3,3.44,5338,0
MBF,60,20240411,160000,3.36,3.43,3.36,3.43,300,0
MBF,60,20240411,170000,3.38,3.38,3.38,3.38,225,0
MBF,60,20240412,100000,3.38,3.49,3.38,3.49,122,0
MBF,60,20240412,110000,3.31,3.39,3.3,3.39,715,0
MBF,60,20240412,160000,3.17,3.34,3.16,3.34,411,0
MBF,60,20240412,170000,3.24,3.4,3.24,3.4,620,0
MBF,60,20240415,100000,3.43,3.43,3.43,3.43,11,0
MBF,60,20240415,110000,3.43,3.43,3.31,3.42,966,0
MBF,60,20240415,120000,3.33,3.39,3.3,3.39,1637,0
MBF,60,20240416,100000,3.33,3.42,3.33,3.42,607,0
MBF,60,20240416,110000,3.42,3.5,3.42,3.5,640,0
MBF,60,20240416,140000,3.48,3.48,3.48,3.48,3,0
MBF,60,20240416,170000,3.31,3.47,3.22,3.34,1453,0
MBF,60,20240417,100000,3.34,3.45,3.34,3.34,6108,0
MBF,60,20240417,110000,3.43,3.43,3.25,3.43,797,0
MBF,60,20240417,120000,3.34,3.43,3.34,3.43,350,0
MBF,60,20240417,150000,3.42,3.52,3.42,3.52,4011,0
MBF,60,20240417,160000,3.41,3.51,3.3,3.4,1267,0
MBF,60,20240417,170000,3.34,3.34,3.34,3.34,165,0
MBF,60,20240418,100000,3.42,3.42,3.42,3.42,55,0
MBF,60,20240418,110000,3.31,3.39,3.2,3.2,11291,0
MBF,60,20240418,120000,3.2,3.2,3.09,3.18,10629,0
MBF,60,20240418,130000,3.18,3.18,3.18,3.18,400,0
MBF,60,20240418,140000,3.17,3.18,3.11,3.11,1414,0
MBF,60,20240418,150000,3.16,3.16,3.08,3.15,4182,0
MBF,60,20240418,160000,3.1,3.1,3.1,3.1,1500,0
MBF,60,20240418,170000,3.1,3.1,3.01,3.1,9842,0
MBF,60,20240419,100000,3.09,3.09,3,3,1037,0
MBF,60,20240419,110000,2.96,3,2.8,2.99,12527,0
MBF,60,20240419,120000,2.8,2.91,2.73,2.91,2011,0
MBF,60,20240419,130000,2.84,2.9,2.81,2.88,1777,0
MBF,60,20240419,140000,2.88,2.9,2.8,2.84,6381,0
MBF,60,20240419,150000,2.84,2.84,2.75,2.84,2500,0
MBF,60,20240419,160000,2.84,2.98,2.84,2.98,2389,0
MBF,60,20240419,170000,2.97,2.98,2.8,2.89,12923,0
MBF,60,20240422,100000,3,3.29,2.9,2.91,1387,0
MBF,60,20240422,110000,3.09,3.26,3.07,3.07,1066,0
MBF,60,20240422,120000,2.96,3.06,2.96,3.06,516,0
MBF,60,20240422,130000,2.98,2.98,2.95,2.95,2000,0
MBF,60,20240422,140000,3.05,3.05,3.05,3.05,10,0
MBF,60,20240422,160000,3.04,3.1,3,3.1,2322,0
MBF,60,20240422,170000,3,3.09,2.99,2.99,1528,0
MBF,60,20240423,100000,3.1,3.29,3.1,3.29,526,0
MBF,60,20240423,110000,3.26,3.26,3.26,3.26,101,0
MBF,60,20240424,100000,3.26,3.26,3.26,3.26,11,0
MBF,60,20240424,110000,3.25,3.25,3.25,3.25,6,0
MBF,60,20240424,120000,3.13,3.23,3.12,3.23,540,0
MBF,60,20240424,130000,3.23,3.24,3.23,3.24,44,0
MBF,60,20240424,140000,3.13,3.25,3.09,3.25,2851,0
MBF,60,20240424,170000,3.11,3.3,3.11,3.3,1597,0
MBF,60,20240425,100000,3.28,3.28,3.28,3.28,11,0
MBF,60,20240425,150000,3.14,3.14,3.14,3.14,100,0
MBF,60,20240425,160000,3.26,3.26,3.26,3.26,11,0
MBF,60,20240426,100000,3.26,3.29,3.26,3.29,911,0
MBF,60,20240426,110000,3.29,3.43,3.29,3.39,3334,0
MBF,60,20240426,120000,3.39,3.41,3.38,3.38,114,0
MBF,60,20240426,140000,3.36,3.36,3.26,3.35,676,0
MBF,60,20240426,150000,3.27,3.27,3.26,3.26,70,0
MBF,60,20240426,160000,3.26,3.26,3.26,3.26,40,0
MBF,60,20240426,170000,3.14,3.29,3.07,3.07,2245,0
MBF,60,20240429,100000,3.2,3.2,3.02,3.17,211,0
MBF,60,20240429,120000,3.03,3.18,3.03,3.18,111,0
MBF,60,20240429,160000,3.03,3.03,2.98,2.98,3366,0
MBF,60,20240429,170000,2.98,3.1,2.97,3.1,3381,0
MBF,60,20240502,100000,3.1,3.19,3.1,3.19,60,0
MBF,60,20240502,140000,3,3.15,2.98,3.15,111,0
