<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCD,60,20240411,110000,1.04,1.04,1.04,1.04,20,0
MCD,60,20240412,130000,1.06,1.06,1.06,1.06,20,0
MCD,60,20240416,110000,1.06,1.06,0.98,0.98,1060,0
MCD,60,20240425,170000,0.95,0.95,0.9,0.9,2000,0
MCD,60,20240426,100000,0.92,0.92,0.92,0.92,900,0
MCD,60,20240426,170000,0.93,0.93,0.93,0.93,1,0
MCD,60,20240509,140000,0.93,0.93,0.93,0.93,1000,0
MCD,60,20240513,100000,0.87,0.87,0.86,0.86,1450,0
MCD,60,20240520,160000,0.85,0.85,0.805,0.805,950,0
MCD,60,20240520,170000,0.805,0.805,0.8,0.8,1698,0
MCD,60,20240521,130000,0.82,0.82,0.82,0.82,10,0
MCD,60,20240522,120000,0.78,0.78,0.78,0.78,599,0
MCD,60,20240522,170000,0.83,0.83,0.83,0.83,1200,0
MCD,60,20240529,100000,0.83,0.83,0.83,0.83,1000,0
