<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNS,60,20240411,100000,50.4,51.8,50.4,51.8,128,0
MNS,60,20240411,120000,51.8,52.4,50.2,50.2,45,0
MNS,60,20240411,140000,52.2,52.2,51,52.2,27,0
MNS,60,20240411,150000,52.2,52.4,52.2,52.4,90,0
MNS,60,20240411,160000,53,53,53,53,1,0
MNS,60,20240411,170000,50.8,53,50.8,53,4,0
MNS,60,20240412,100000,53,54.6,53,54.6,180,0
MNS,60,20240412,110000,54.6,57.4,54,57.4,995,0
MNS,60,20240412,120000,57.4,59.4,56.2,57.2,1334,0
MNS,60,20240412,130000,58.4,59,57.2,57.2,37,0
MNS,60,20240412,140000,57.2,59.4,56.4,59.4,614,0
MNS,60,20240412,150000,59.4,59.4,58,58,284,0
MNS,60,20240412,160000,58,59,58,59,164,0
MNS,60,20240412,170000,59,59.4,58,59.4,244,0
MNS,60,20240415,100000,60,62.8,60,62,691,0
MNS,60,20240415,110000,60.4,62,60,60,502,0
MNS,60,20240415,120000,59.2,59.2,58,58,127,0
MNS,60,20240415,140000,59.4,59.4,58,58,36,0
MNS,60,20240415,150000,57.6,57.6,56.8,56.8,48,0
MNS,60,20240415,160000,56.8,56.8,56.6,56.6,48,0
MNS,60,20240415,170000,58,59.6,58,59.6,313,0
MNS,60,20240416,100000,58.8,58.8,56.6,56.6,74,0
MNS,60,20240416,110000,56.8,56.8,56.8,56.8,48,0
MNS,60,20240416,120000,56.8,58.8,56.8,58.8,307,0
MNS,60,20240416,130000,58.8,59,58.8,59,72,0
MNS,60,20240416,140000,60,63.8,58.6,58.6,337,0
MNS,60,20240416,150000,61,63,61,63,7,0
MNS,60,20240416,160000,60,62,59.2,59.4,133,0
MNS,60,20240416,170000,58.4,61.8,58.4,61.8,188,0
MNS,60,20240417,100000,61.2,61.2,50.2,61,535,0
MNS,60,20240417,110000,56.2,58.4,56.2,58.2,26,0
MNS,60,20240417,120000,56.6,58.2,56.4,58.2,130,0
MNS,60,20240417,140000,57.8,58,56.4,56.4,141,0
MNS,60,20240417,150000,57.8,63.8,57.8,63.8,460,0
MNS,60,20240417,160000,59.8,60,59.8,60,104,0
MNS,60,20240417,170000,59.8,62.4,59.8,62.4,2,0
MNS,60,20240418,100000,59.8,62,59.8,62,18,0
MNS,60,20240418,110000,61.6,61.8,61.6,61.8,62,0
MNS,60,20240418,120000,61.8,62.4,61.8,61.8,8,0
MNS,60,20240418,140000,62.4,62.4,62.4,62.4,4,0
MNS,60,20240418,150000,62.4,62.4,62.4,62.4,12,0
MNS,60,20240418,160000,62.4,62.4,59.8,60,137,0
MNS,60,20240418,170000,59.8,59.8,59.8,59.8,2,0
MNS,60,20240419,100000,59.8,59.8,59.8,59.8,36,0
MNS,60,20240419,120000,57.6,57.6,57.6,57.6,10,0
MNS,60,20240419,140000,57.8,57.8,57.8,57.8,19,0
MNS,60,20240419,150000,59.2,59.8,59.2,59.8,26,0
MNS,60,20240419,160000,58,58,58,58,8,0
MNS,60,20240419,170000,57.8,59.2,57.8,59.2,53,0
MNS,60,20240422,100000,59.2,59.2,57.6,57.6,96,0
MNS,60,20240422,120000,57.6,57.6,57.6,57.6,7,0
MNS,60,20240422,130000,57.6,57.6,57.6,57.6,10,0
MNS,60,20240422,140000,57.2,57.2,55,55,230,0
MNS,60,20240422,150000,55.4,57.2,55,57.2,314,0
MNS,60,20240423,160000,57,57,56.6,56.6,25,0
MNS,60,20240424,110000,56.2,56.2,56.2,56.2,1,0
MNS,60,20240424,120000,55,55,54.8,54.8,20,0
MNS,60,20240424,140000,56,56,54.8,54.8,101,0
MNS,60,20240424,160000,55,55,55,55,10,0
MNS,60,20240424,170000,55.8,55.8,55.8,55.8,1,0
MNS,60,20240425,100000,56,56,56,56,1,0
MNS,60,20240425,120000,54.8,54.8,54.8,54.8,2,0
MNS,60,20240425,140000,54.4,54.4,54,54,10,0
MNS,60,20240425,170000,54,54,54,54,2,0
MNS,60,20240426,100000,54.2,54.2,54,54,52,0
MNS,60,20240426,110000,54.8,56,54.8,56,5,0
MNS,60,20240426,130000,56,56.4,56,56.4,51,0
MNS,60,20240426,160000,55,55,54.2,54.2,46,0
MNS,60,20240426,170000,55,55,55,55,1,0
MNS,60,20240429,130000,54.2,54.2,54.2,54.2,1,0
MNS,60,20240429,140000,54.4,54.4,54.4,54.4,180,0
MNS,60,20240429,170000,55.6,55.6,55.6,55.6,1,0
MNS,60,20240430,110000,54.2,54.2,54.2,54.2,25,0
MNS,60,20240430,120000,54.4,54.4,53,53,400,0
MNS,60,20240430,130000,53,53,52.6,52.6,25,0
MNS,60,20240430,140000,52.6,52.6,52.6,52.6,2,0
