<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTS,60,20240426,110000,5.24238,5.24238,5.24238,5.24238,1039.6039604,0
NTS,60,20240430,130000,5.05,5.05,5.0019,5.0019,491.7326732692,0
NTS,60,20240507,120000,5.0019,5.0019,5.0019,5.0019,108.11881188160001,0
NTS,60,20240507,170000,4.80952,4.80952,4.80952,4.80952,46.782178218,0
NTS,60,20240508,100000,4.77105,4.77105,4.77105,4.77105,42.6237623764,0
NTS,60,20240508,150000,4.80952,4.80952,4.80952,4.80952,41.584158416,0
NTS,60,20240509,170000,4.77105,4.77105,4.73257,4.73257,79.0099009904,0
NTS,60,20240510,110000,4.77105,4.77105,4.77105,4.77105,21.8316831684,0
NTS,60,20240510,130000,4.77105,4.80952,4.77105,4.80952,43.6633663368,0
NTS,60,20240522,100000,5.05,5.05,4.77105,4.77105,1020.8910891128,0
NTS,60,20240527,140000,4.79029,4.80952,4.79029,4.80952,187.128712872,0
NTS,60,20240527,170000,4.71333,4.71333,4.71333,4.71333,21.8316831684,0
NTS,60,20240603,100000,4.90571,4.90571,4.90571,4.90571,103.96039604,0
NTS,60,20240604,140000,4.90571,4.90571,4.90571,4.90571,103.96039604,0
NTS,60,20240607,100000,4.90571,4.90571,4.90571,4.90571,202.722772278,0
NTS,60,20240611,110000,4.90571,4.90571,4.90571,4.90571,103.96039604,0
NTS,60,20240612,100000,4.90571,4.90571,4.90571,4.90571,415.84158416,0
NTS,60,20240614,160000,4.90571,4.90571,4.90571,4.90571,103.96039604,0
NTS,60,20240617,140000,5.05,5.05,5.05,5.05,103.96039604,0
NTS,60,20240625,100000,5.05,5.05,5.05,5.05,103.96039604,0
NTS,60,20240703,110000,5.05,5.05,5.05,5.05,103.96039604,0
NTS,60,20240704,160000,5.05,5.05,5.05,5.05,415.84158416,0
NTS,60,20240708,100000,5.35,5.45,5.35,5.45,200,0
NTS,60,20240710,110000,5.2,5.2,5.2,5.2,390,0
NTS,60,20240722,150000,5,5,4.78,4.78,610,0
NTS,60,20240724,110000,4.92,4.92,4.92,4.92,420,0
NTS,60,20240725,130000,5.15,5.15,5.15,5.15,400,0
NTS,60,20240725,170000,5.4,5.4,5.4,5.4,66,0
NTS,60,20240726,100000,5.4,5.4,5.4,5.4,10,0
NTS,60,20240805,150000,5.15,5.15,5.15,5.15,100,0
NTS,60,20240809,130000,5.35,6.4,5.35,6.4,400,0
NTS,60,20240812,170000,5.35,5.35,5.3,5.3,680,0
NTS,60,20240814,160000,5.55,5.55,5.55,5.55,100,0
NTS,60,20240823,110000,5.55,5.55,5.55,5.55,200,0
NTS,60,20240905,170000,5.65,6.05,5.65,6.05,355,0
NTS,60,20240909,100000,6.4,6.4,6.4,6.4,395,0
NTS,60,20240911,170000,6.4,6.6,6.4,6.6,289,0
NTS,60,20240912,100000,6.35,6.35,6.35,6.35,132,0
NTS,60,20240913,170000,6.35,6.35,6.35,6.35,64,0
NTS,60,20240917,120000,6.4,6.4,6.4,6.4,34,0
NTS,60,20241003,170000,6.4,6.6,6.4,6.6,434,0
NTS,60,20241007,140000,6.6,6.6,6.6,6.6,50,0
NTS,60,20241008,150000,6.6,6.6,6.6,6.6,50,0
NTS,60,20241009,120000,6.6,6.6,6.6,6.6,50,0
NTS,60,20241011,110000,6.6,6.6,6.6,6.6,50,0
NTS,60,20241025,170000,6.6,6.75,6.6,6.75,418,0
NTS,60,20241028,150000,6.9,6.9,6.9,6.9,29,0
NTS,60,20241029,160000,7.1,7.4,7.1,7.4,315,0
NTS,60,20241029,170000,7.9,7.9,7.9,7.9,283,0
NTS,60,20241030,100000,7.55,7.55,7.55,7.55,100,0
NTS,60,20241030,110000,7.55,7.55,7.55,7.55,34,0
NTS,60,20241106,170000,7.8,7.8,7.8,7.8,142,0
NTS,60,20241107,160000,7.8,7.8,7.8,7.8,26,0
NTS,60,20241112,150000,7.9,7.9,7.9,7.9,35,0
NTS,60,20241125,170000,8.25,8.25,7.9,8.05,498,0
NTS,60,20241126,160000,8.1,8.15,8.1,8.15,40,0
NTS,60,20241209,170000,8.15,8.2,8.15,8.2,138,0
NTS,60,20241211,100000,8.25,8.25,8.25,8.25,20,0
NTS,60,20241216,170000,8.25,8.25,8.25,8.25,58,0
NTS,60,20241218,100000,8.25,8.25,8.25,8.25,35,0
NTS,60,20241218,110000,8.3,8.3,8.3,8.3,44,0
NTS,60,20241218,120000,8.1,8.1,8.1,8.1,250,0
NTS,60,20241218,170000,8.3,8.3,8.3,8.3,25,0
NTS,60,20241219,120000,8.3,8.3,8.3,8.3,35,0
NTS,60,20241227,150000,8.3,8.3,8.3,8.3,45,0
NTS,60,20250107,170000,8.3,8.3,8.3,8.3,63,0
NTS,60,20250116,150000,8.3,8.3,8.3,8.3,34,0
NTS,60,20250131,170000,8.3,8.3,7.95,7.95,68,0
NTS,60,20250205,160000,7.95,7.95,7.95,7.95,192,0
NTS,60,20250217,100000,8.15,8.15,8.15,8.15,50,0
NTS,60,20250218,120000,8.15,8.15,8.15,8.15,50,0
NTS,60,20250220,150000,8.2,8.2,8.2,8.2,49,0
NTS,60,20250220,170000,8.25,8.25,8.25,8.25,25,0
NTS,60,20250224,120000,8.25,8.25,8.25,8.25,50,0
NTS,60,20250318,170000,8.25,8.5,8.25,8.5,144,0
NTS,60,20250325,150000,8.5,8.5,8.5,8.5,50,0
NTS,60,20250326,100000,8.8,8.8,8.8,8.8,45,0
NTS,60,20250331,110000,8.85,9.25,8.85,9.25,210,0
NTS,60,20250408,100000,9.25,9.25,9.15,9.15,74,0
NTS,60,20250409,120000,9.25,9.25,9.25,9.25,59,0
NTS,60,20250507,110000,8.85,8.85,8.85,8.85,2,0
NTS,60,20250530,170000,9.25,9.35,9.25,9.35,125,0
NTS,60,20250630,150000,9.35,9.35,9.35,9.35,50,0
NTS,60,20250630,170000,9.5,9.5,9.5,9.5,22,0
NTS,60,20250701,100000,9.15,9.15,9.1,9.1,315,0
NTS,60,20250701,120000,9.55,9.55,9.55,9.55,22,0
NTS,60,20250811,100000,9.15,9.15,9.15,9.15,120,0
NTS,60,20250825,130000,9.55,9.55,9.55,9.55,40,0
NTS,60,20250826,120000,9.6,9.6,9.6,9.6,20,0
NTS,60,20250905,100000,9.4,9.4,9.25,9.25,110,0
NTS,60,20250905,120000,9.6,9.6,9.6,9.6,11,0
NTS,60,20250916,150000,9.6,9.6,9.6,9.6,50,0
NTS,60,20250923,120000,9.6,9.6,9.6,9.6,2,0
NTS,60,20251110,150000,9.7,9.7,9.7,9.7,100,0
NTS,60,20251121,170000,9.7,9.7,9.7,9.7,50,0
NTS,60,20251217,100000,9.4,9.4,9.25,9.25,36,0
NTS,60,20251229,170000,9.7,9.7,9.7,9.7,56,0
