<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONE,60,20240411,100000,0.147,0.147,0.146,0.146,8000,0
ONE,60,20240411,110000,0.146,0.146,0.1445,0.146,20562,0
ONE,60,20240411,120000,0.145,0.145,0.14,0.14,81338,0
ONE,60,20240411,130000,0.141,0.1445,0.141,0.1445,7784,0
ONE,60,20240411,150000,0.144,0.144,0.144,0.144,880,0
ONE,60,20240411,170000,0.139,0.1585,0.1355,0.141,124078,0
ONE,60,20240412,100000,0.1405,0.1535,0.1405,0.1535,12121,0
ONE,60,20240412,120000,0.149,0.149,0.1455,0.1455,3364,0
ONE,60,20240412,130000,0.1455,0.152,0.1445,0.152,32525,0
ONE,60,20240412,140000,0.144,0.144,0.144,0.144,700,0
ONE,60,20240412,170000,0.149,0.149,0.149,0.149,100,0
ONE,60,20240415,100000,0.151,0.1595,0.14,0.14,227241,0
ONE,60,20240415,110000,0.145,0.146,0.145,0.146,14500,0
ONE,60,20240415,120000,0.146,0.146,0.146,0.146,10316,0
ONE,60,20240415,140000,0.1455,0.1455,0.1415,0.1415,14951,0
ONE,60,20240415,150000,0.1415,0.1445,0.141,0.1415,31715,0
ONE,60,20240415,160000,0.1445,0.1445,0.1445,0.1445,2000,0
ONE,60,20240415,170000,0.1425,0.1425,0.14,0.141,87100,0
ONE,60,20240416,100000,0.142,0.142,0.133,0.1395,54405,0
ONE,60,20240416,110000,0.139,0.139,0.1365,0.1365,34485,0
ONE,60,20240416,130000,0.1365,0.1365,0.136,0.136,13958,0
ONE,60,20240416,160000,0.1375,0.1375,0.1375,0.1375,200,0
ONE,60,20240416,170000,0.134,0.1385,0.133,0.134,78019,0
ONE,60,20240417,100000,0.1375,0.1375,0.1375,0.1375,13353,0
ONE,60,20240417,110000,0.137,0.146,0.137,0.1455,159018,0
ONE,60,20240417,120000,0.1455,0.146,0.14,0.146,32500,0
ONE,60,20240417,130000,0.145,0.147,0.145,0.146,32792,0
ONE,60,20240417,140000,0.146,0.1465,0.146,0.1465,4633,0
ONE,60,20240417,150000,0.142,0.144,0.141,0.144,28424,0
ONE,60,20240417,170000,0.139,0.143,0.139,0.143,12004,0
ONE,60,20240418,100000,0.145,0.149,0.145,0.1485,63705,0
ONE,60,20240418,110000,0.143,0.147,0.1395,0.1455,21700,0
