<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTN,60,20240411,100000,0.634942,0.634942,0.634942,0.634942,1598.5709942429041,0
PTN,60,20240416,120000,0.630406,0.666689,0.630406,0.666689,3926.9723320643,0
PTN,60,20240424,150000,0.657618,0.671225,0.657618,0.671225,2078.1422925157754,0
PTN,60,20240426,110000,0.671225,0.671225,0.671225,0.671225,66.14776527901672,0
PTN,60,20240506,160000,0.671225,0.671225,0.666689,0.666689,1664.7187595219,0
PTN,60,20240507,100000,0.657618,0.657618,0.657618,0.657618,1523.603526926685,0
PTN,60,20240508,120000,0.662154,0.662154,0.634942,0.634942,13311.135299647,0
PTN,60,20240509,110000,0.662154,0.662154,0.662154,0.662154,1102.4627546502786,0
PTN,60,20240510,160000,0.662154,0.662154,0.662154,0.662154,637.223472187861,0
PTN,60,20240513,170000,0.666689,0.666689,0.666689,0.666689,15.434478565103902,0
PTN,60,20240516,140000,0.727297,0.727297,0.727297,0.727297,265.9710144888,0
PTN,60,20240517,130000,0.699324,0.699324,0.699324,0.699324,129.7681159401,0
PTN,60,20240520,100000,0.666689,0.666689,0.62473,0.62473,10832.956521578,0
PTN,60,20240520,150000,0.657365,0.657365,0.657365,0.657365,750.72463767,0
PTN,60,20240520,160000,0.657365,0.657365,0.657365,0.657365,107.24637681,0
PTN,60,20240524,100000,0.62473,0.62473,0.62473,0.62473,915.8840579574,0
PTN,60,20240524,160000,0.634054,0.634054,0.634054,0.634054,17059.6811591667,0
PTN,60,20240527,110000,0.657365,0.657365,0.657365,0.657365,901.9420289721,0
PTN,60,20240527,120000,0.652703,0.652703,0.652703,0.652703,1394.20289853,0
PTN,60,20240529,140000,0.634054,0.634054,0.634054,0.634054,8679.4492752333,0
PTN,60,20240531,100000,0.62473,0.62473,0.615405,0.615405,4478.6086955856,0
PTN,60,20240531,120000,0.62473,0.62473,0.62473,0.62473,1549.7101449044999,0
PTN,60,20240531,150000,0.62473,0.62473,0.62473,0.62473,1699.8550724385,0
PTN,60,20240531,170000,0.62473,0.62473,0.620068,0.620068,3340.7246376315,0
PTN,60,20240605,100000,0.606081,0.615405,0.606081,0.615405,2946.0579709707,0
PTN,60,20240605,130000,0.606081,0.606081,0.606081,0.606081,3299.9710144437,0
PTN,60,20240605,140000,0.601419,0.601419,0.601419,0.601419,2144.9275362,0
PTN,60,20240605,170000,0.601419,0.615405,0.601419,0.615405,3477.9999999483,0
PTN,60,20240606,110000,0.573446,0.573446,0.573446,0.573446,4204.057970952,0
PTN,60,20240606,120000,0.568784,0.568784,0.568784,0.568784,4802.4927535518,0
PTN,60,20240606,150000,0.596757,0.596757,0.596757,0.596757,3005.0434782162,0
PTN,60,20240610,130000,0.578108,0.578108,0.559459,0.559459,16350.7826084526,0
PTN,60,20240611,100000,0.554797,0.554797,0.540811,0.540811,13942.0289853,0
PTN,60,20240611,130000,0.559459,0.559459,0.559459,0.559459,3217.3913043,0
PTN,60,20240613,100000,0.559459,0.559459,0.559459,0.559459,358.2028985454,0
PTN,60,20240613,120000,0.592095,0.592095,0.592095,0.592095,512.6376811518,0
PTN,60,20240613,130000,0.592095,0.596757,0.592095,0.596757,5362.3188405,0
PTN,60,20240618,150000,0.596757,0.596757,0.596757,0.596757,2268.2608695315,0
PTN,60,20240620,170000,0.592095,0.592095,0.559459,0.592095,9115.94202885,0
PTN,60,20240624,110000,0.559459,0.559459,0.559459,0.559459,284.2028985465,0
PTN,60,20240624,120000,0.592095,0.592095,0.592095,0.592095,4826.08695645,0
PTN,60,20240628,100000,0.596757,0.596757,0.596757,0.596757,160.869565215,0
PTN,60,20240701,160000,0.596757,0.596757,0.596757,0.596757,541.5942028905,0
PTN,60,20240703,110000,0.596757,0.596757,0.596757,0.596757,2077.3623188097,0
PTN,60,20240703,130000,0.615405,0.615405,0.615405,0.615405,2383.0144927182,0
PTN,60,20240703,140000,0.615405,0.62473,0.615405,0.62473,11880.7536230118,0
PTN,60,20240703,160000,0.58277,0.58277,0.578108,0.578108,2802.3478260453,0
PTN,60,20240705,110000,0.568784,0.568784,0.568784,0.568784,475.1014492683,0
PTN,60,20240705,130000,0.573446,0.573446,0.573446,0.573446,7507.2463767,0
PTN,60,20240709,150000,0.596757,0.596757,0.596757,0.596757,1729.8840579453,0
PTN,60,20240715,130000,0.648041,0.676014,0.648041,0.676014,5362.3188405,0
PTN,60,20240715,140000,0.62473,0.62473,0.62473,0.62473,53.623188405,0
PTN,60,20240718,160000,0.671351,0.699324,0.671351,0.699324,1395.2753622981,0
PTN,60,20240731,110000,0.694662,0.694662,0.694662,0.694662,21833.21739098,0
PTN,60,20240801,100000,0.629392,0.629392,0.629392,0.629392,3005.0434782162,0
PTN,60,20240805,110000,0.634054,0.634054,0.62473,0.62473,5030.9275361571,0
PTN,60,20240805,130000,0.587432,0.587432,0.578108,0.578108,1823.18840577,0
PTN,60,20240809,100000,0.587432,0.643378,0.587432,0.643378,705.6811594098,0
PTN,60,20240812,130000,0.643378,0.69,0.643378,0.666689,8178.6086955306,0
PTN,60,20240813,100000,0.671351,0.671351,0.671351,0.671351,536.23188405,0
PTN,60,20240814,110000,0.62473,0.62473,0.62473,0.62473,32.173913043,0
PTN,60,20240814,120000,0.634054,0.634054,0.634054,0.634054,68.6376811584,0
PTN,60,20240814,130000,0.62473,0.62473,0.62473,0.62473,32.173913043,0
PTN,60,20240823,120000,0.652703,0.652703,0.652703,0.652703,645.6231883962,0
PTN,60,20240827,150000,0.62473,0.62473,0.62473,0.62473,105.1014492738,0
PTN,60,20240909,170000,0.652703,0.652703,0.62473,0.62473,1640.869565193,0
PTN,60,20240916,150000,0.62473,0.62473,0.606081,0.606081,1715.94202896,0
PTN,60,20240924,140000,0.643378,0.643378,0.643378,0.643378,792.5507246259,0
PTN,60,20241022,100000,0.643378,0.643378,0.643378,0.643378,160.869565215,0
PTN,60,20241023,110000,0.638716,0.643378,0.638716,0.643378,26882.3768111946,0
PTN,60,20241023,150000,0.629392,0.629392,0.606081,0.606081,536.23188405,0
PTN,60,20241028,110000,0.606081,0.606081,0.606081,0.606081,1333.0724637483,0
PTN,60,20241029,100000,0.643378,0.643378,0.643378,0.643378,70.7826086946,0
PTN,60,20241105,120000,0.596757,0.596757,0.596757,0.596757,2037.68115939,0
PTN,60,20241105,160000,0.596757,0.596757,0.596757,0.596757,1313.7681159225,0
PTN,60,20241112,120000,0.578108,0.578108,0.578108,0.578108,1823.18840577,0
PTN,60,20241112,130000,0.578108,0.578108,0.559459,0.559459,1072.4637681,0
PTN,60,20241113,170000,0.559459,0.559459,0.559459,0.559459,1072.4637681,0
PTN,60,20241114,100000,0.550135,0.550135,0.550135,0.550135,214.49275362,0
PTN,60,20241114,110000,0.550135,0.550135,0.550135,0.550135,3324.63768111,0
PTN,60,20241115,140000,0.540811,0.540811,0.531486,0.531486,1608.69565215,0
PTN,60,20241119,150000,0.559459,0.559459,0.559459,0.559459,80.4347826075,0
PTN,60,20241120,110000,0.531486,0.531486,0.512838,0.512838,2681.15942025,0
PTN,60,20241120,140000,0.540811,0.540811,0.540811,0.540811,2144.9275362,0
PTN,60,20241120,150000,0.512838,0.512838,0.512838,0.512838,520.1449275285,0
PTN,60,20241120,170000,0.503514,0.503514,0.428919,0.494189,10210.92753608,0
PTN,60,20241121,100000,0.494189,0.494189,0.494189,0.494189,2318.6666666322,0
PTN,60,20241121,150000,0.512838,0.559459,0.512838,0.559459,5362.3188405,0
PTN,60,20241126,140000,0.512838,0.512838,0.512838,0.512838,3217.3913043,0
PTN,60,20241202,110000,0.512838,0.512838,0.512838,0.512838,3753.62318835,0
PTN,60,20241203,160000,0.550135,0.550135,0.550135,0.550135,523.3623188328,0
PTN,60,20241209,150000,0.526824,0.526824,0.526824,0.526824,12869.5652172,0
PTN,60,20241211,110000,0.512838,0.512838,0.512838,0.512838,1072.4637681,0
PTN,60,20241216,130000,0.512838,0.512838,0.512838,0.512838,284.2028985465,0
PTN,60,20241218,170000,0.512838,0.512838,0.508176,0.508176,3469.4202898035,0
PTN,60,20241220,150000,0.503514,0.508176,0.503514,0.508176,7979.130434664,0
PTN,60,20241223,120000,0.512838,0.512838,0.512838,0.512838,2681.15942025,0
PTN,60,20241230,100000,0.503514,0.503514,0.503514,0.503514,1072.4637681,0
PTN,60,20241230,120000,0.522162,0.522162,0.522162,0.522162,3431.88405792,0
PTN,60,20250109,100000,0.531486,0.540811,0.531486,0.540811,3859.7971013919,0
PTN,60,20250122,120000,0.587432,0.587432,0.587432,0.587432,152.2898550702,0
PTN,60,20250122,160000,0.587432,0.587432,0.587432,0.587432,945.9130434642,0
PTN,60,20250129,100000,0.596757,0.596757,0.550135,0.550135,898.7246376678,0
PTN,60,20250129,170000,0.596757,0.596757,0.596757,0.596757,536.23188405,0
PTN,60,20250211,100000,0.554797,0.554797,0.554797,0.554797,2887.0724637252,0
PTN,60,20250226,120000,0.550135,0.550135,0.550135,0.550135,3635.652173859,0
PTN,60,20250226,150000,0.559459,0.559459,0.559459,0.559459,3635.652173859,0
PTN,60,20250226,160000,0.550135,0.550135,0.550135,0.550135,3635.652173859,0
PTN,60,20250226,170000,0.559459,0.559459,0.559459,0.559459,3635.652173859,0
PTN,60,20250304,110000,0.568784,0.592095,0.568784,0.592095,3754.6956521181,0
PTN,60,20250305,140000,0.550135,0.550135,0.550135,0.550135,3635.652173859,0
PTN,60,20250310,100000,0.540811,0.540811,0.540811,0.540811,1.0724637681,0
PTN,60,20250310,140000,0.559459,0.559459,0.559459,0.559459,2573.91304344,0
PTN,60,20250318,100000,0.559459,0.559459,0.559459,0.559459,470.8115941959,0
PTN,60,20250318,150000,0.559459,0.568784,0.559459,0.568784,3506.956521687,0
PTN,60,20250319,110000,0.540811,0.540811,0.531486,0.531486,2589.9999999615,0
PTN,60,20250320,130000,0.568784,0.568784,0.568784,0.568784,37.5362318835,0
PTN,60,20250320,140000,0.568784,0.568784,0.568784,0.568784,579.130434774,0
PTN,60,20250320,150000,0.568784,0.568784,0.568784,0.568784,686.376811584,0
PTN,60,20250401,110000,0.503514,0.503514,0.503514,0.503514,3518.7536231361,0
PTN,60,20250402,160000,0.508176,0.508176,0.508176,0.508176,3753.62318835,0
PTN,60,20250408,100000,0.456892,0.456892,0.456892,0.456892,3665.6811593658,0
PTN,60,20250408,130000,0.522162,0.522162,0.522162,0.522162,321.73913043,0
PTN,60,20250410,100000,0.503514,0.503514,0.494189,0.494189,5362.3188405,0
PTN,60,20250410,160000,0.540811,0.540811,0.540811,0.540811,2144.9275362,0
PTN,60,20250411,120000,0.545473,0.545473,0.545473,0.545473,1662.318840555,0
PTN,60,20250411,140000,0.568784,0.568784,0.568784,0.568784,3024.347826042,0
PTN,60,20250411,150000,0.568784,0.606081,0.568784,0.606081,193.043478258,0
PTN,60,20250414,100000,0.606081,0.606081,0.606081,0.606081,7086.8405796048,0
PTN,60,20250416,120000,0.484865,0.484865,0.484865,0.484865,7086.8405796048,0
PTN,60,20250422,110000,0.550135,0.550135,0.550135,0.550135,292.78260869129997,0
PTN,60,20250422,130000,0.550135,0.550135,0.550135,0.550135,7228.4057969939995,0
PTN,60,20250425,100000,0.601419,0.601419,0.601419,0.601419,245.5942028949,0
PTN,60,20250425,140000,0.601419,0.601419,0.601419,0.601419,911.594202885,0
PTN,60,20250425,150000,0.601419,0.606081,0.601419,0.606081,128.695652172,0
PTN,60,20250425,160000,0.606081,0.671351,0.606081,0.671351,7381.7681158323,0
PTN,60,20250428,100000,0.662027,0.662027,0.662027,0.662027,53.623188405,0
PTN,60,20250429,170000,0.662027,0.662027,0.652703,0.652703,4685.5942028289,0
PTN,60,20250430,100000,0.662027,0.662027,0.662027,0.662027,1269.7971014304,0
PTN,60,20250430,120000,0.662027,0.662027,0.662027,0.662027,1498.2318840357,0
PTN,60,20250430,130000,0.662027,0.662027,0.662027,0.662027,1719.1594202643,0
PTN,60,20250502,100000,0.643378,0.643378,0.643378,0.643378,525.507246369,0
PTN,60,20250506,140000,0.587432,0.587432,0.587432,0.587432,2511.7101448902,0
PTN,60,20250506,150000,0.587432,0.587432,0.587432,0.587432,3405.0724637175,0
PTN,60,20250506,160000,0.587432,0.587432,0.587432,0.587432,321.73913043,0
PTN,60,20250506,170000,0.587432,0.587432,0.587432,0.587432,3869.4492753048,0
PTN,60,20250507,160000,0.652703,0.652703,0.652703,0.652703,758.2318840467,0
PTN,60,20250508,100000,0.652703,0.652703,0.652703,0.652703,375.362318835,0
PTN,60,20250508,130000,0.652703,0.652703,0.652703,0.652703,1179.71014491,0
