<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGL,60,20240411,100000,0.439,0.439,0.439,0.439,68,0
RGL,60,20240411,110000,0.439,0.44,0.42,0.439,13900,0
RGL,60,20240411,130000,0.439,0.439,0.439,0.439,130,0
RGL,60,20240411,140000,0.439,0.439,0.439,0.439,69,0
RGL,60,20240411,170000,0.416,0.416,0.416,0.416,5,0
RGL,60,20240412,100000,0.438,0.443,0.438,0.443,20132,0
RGL,60,20240412,130000,0.442,0.442,0.442,0.442,3569,0
RGL,60,20240412,140000,0.442,0.442,0.442,0.442,366,0
RGL,60,20240412,150000,0.442,0.442,0.442,0.442,3683,0
RGL,60,20240412,160000,0.442,0.443,0.442,0.443,173,0
RGL,60,20240412,170000,0.442,0.443,0.424,0.442,2263,0
RGL,60,20240415,110000,0.442,0.443,0.442,0.443,1000,0
RGL,60,20240415,120000,0.442,0.442,0.442,0.442,1210,0
RGL,60,20240415,130000,0.442,0.442,0.442,0.442,301,0
RGL,60,20240415,140000,0.442,0.442,0.442,0.442,3113,0
RGL,60,20240415,150000,0.442,0.442,0.441,0.441,532,0
RGL,60,20240415,160000,0.442,0.442,0.43,0.441,650,0
RGL,60,20240415,170000,0.441,0.442,0.441,0.442,10950,0
RGL,60,20240416,100000,0.443,0.443,0.443,0.443,480,0
RGL,60,20240416,110000,0.443,0.443,0.443,0.443,122,0
RGL,60,20240416,120000,0.443,0.443,0.443,0.443,32,0
RGL,60,20240416,140000,0.443,0.443,0.428,0.441,6775,0
RGL,60,20240416,150000,0.441,0.441,0.428,0.44,1650,0
RGL,60,20240416,160000,0.442,0.443,0.442,0.443,1454,0
RGL,60,20240416,170000,0.44,0.44,0.44,0.44,10,0
RGL,60,20240417,100000,0.431,0.431,0.428,0.428,4022,0
RGL,60,20240417,110000,0.439,0.439,0.439,0.439,965,0
RGL,60,20240417,120000,0.439,0.439,0.425,0.425,275,0
RGL,60,20240417,150000,0.434,0.434,0.431,0.432,5561,0
RGL,60,20240417,160000,0.431,0.432,0.431,0.432,4121,0
RGL,60,20240417,170000,0.435,0.435,0.435,0.435,400,0
RGL,60,20240418,100000,0.435,0.435,0.435,0.435,400,0
RGL,60,20240418,110000,0.434,0.435,0.426,0.435,3413,0
RGL,60,20240418,120000,0.435,0.435,0.425,0.425,10048,0
RGL,60,20240418,130000,0.434,0.434,0.434,0.434,30,0
RGL,60,20240418,150000,0.434,0.434,0.434,0.434,28,0
RGL,60,20240418,160000,0.434,0.434,0.434,0.434,10,0
RGL,60,20240419,100000,0.434,0.435,0.434,0.435,333,0
RGL,60,20240419,110000,0.425,0.425,0.416,0.416,9474,0
RGL,60,20240419,120000,0.434,0.518,0.434,0.506,152735,0
RGL,60,20240419,130000,0.51,0.51,0.47,0.488,127008,0
RGL,60,20240419,140000,0.462,0.469,0.45,0.465,46431,0
RGL,60,20240419,150000,0.453,0.453,0.425,0.425,80647,0
RGL,60,20240419,160000,0.427,0.447,0.427,0.447,330,0
RGL,60,20240419,170000,0.445,0.478,0.44,0.44,135868,0
RGL,60,20240422,100000,0.44,0.446,0.432,0.445,6250,0
RGL,60,20240422,110000,0.436,0.436,0.432,0.432,1799,0
RGL,60,20240422,120000,0.445,0.458,0.445,0.456,7052,0
RGL,60,20240422,130000,0.455,0.455,0.452,0.452,116,0
RGL,60,20240422,160000,0.455,0.455,0.439,0.439,626,0
RGL,60,20240422,170000,0.454,0.454,0.435,0.435,7014,0
RGL,60,20240423,100000,0.441,0.449,0.431,0.431,3033,0
RGL,60,20240423,110000,0.444,0.444,0.426,0.442,22112,0
RGL,60,20240423,120000,0.442,0.442,0.442,0.442,799,0
RGL,60,20240423,130000,0.442,0.444,0.442,0.444,2176,0
RGL,60,20240423,160000,0.443,0.443,0.443,0.443,278,0
RGL,60,20240423,170000,0.442,0.442,0.442,0.442,73,0
RGL,60,20240424,100000,0.443,0.443,0.443,0.443,3422,0
RGL,60,20240424,110000,0.443,0.443,0.443,0.443,50,0
RGL,60,20240424,130000,0.443,0.46,0.443,0.46,11901,0
RGL,60,20240424,140000,0.459,0.46,0.459,0.46,2790,0
RGL,60,20240424,150000,0.45,0.45,0.45,0.45,2870,0
RGL,60,20240424,170000,0.452,0.459,0.426,0.428,39815,0
RGL,60,20240425,100000,0.426,0.429,0.426,0.428,5330,0
RGL,60,20240425,130000,0.427,0.428,0.423,0.423,7267,0
RGL,60,20240425,140000,0.425,0.429,0.425,0.429,5203,0
RGL,60,20240425,150000,0.429,0.429,0.429,0.429,30,0
RGL,60,20240425,170000,0.423,0.423,0.423,0.423,255,0
RGL,60,20240426,100000,0.429,0.429,0.428,0.428,178,0
RGL,60,20240426,110000,0.421,0.427,0.4,0.4,130709,0
RGL,60,20240426,120000,0.401,0.413,0.395,0.413,120677,0
RGL,60,20240426,130000,0.41,0.412,0.41,0.412,9509,0
RGL,60,20240426,140000,0.413,0.413,0.413,0.413,472,0
RGL,60,20240426,160000,0.411,0.411,0.411,0.411,2378,0
RGL,60,20240426,170000,0.411,0.415,0.4,0.4,145607,0
RGL,60,20240429,100000,0.4,0.416,0.4,0.4,52004,0
RGL,60,20240429,110000,0.4,0.4,0.4,0.4,3366,0
RGL,60,20240429,130000,0.41,0.41,0.41,0.41,2000,0
RGL,60,20240429,140000,0.408,0.408,0.4,0.407,8136,0
RGL,60,20240429,150000,0.407,0.412,0.407,0.411,4960,0
RGL,60,20240429,160000,0.412,0.415,0.41,0.414,3719,0
RGL,60,20240429,170000,0.41,0.416,0.401,0.416,22666,0
RGL,60,20240430,100000,0.419,0.419,0.418,0.419,3312,0
RGL,60,20240430,110000,0.419,0.419,0.419,0.419,240,0
RGL,60,20240430,130000,0.419,0.419,0.419,0.419,3531,0
RGL,60,20240430,140000,0.427,0.427,0.427,0.427,5,0
RGL,60,20240430,150000,0.426,0.426,0.426,0.426,1090,0
RGL,60,20240502,100000,0.426,0.426,0.426,0.426,336,0
RGL,60,20240502,110000,0.426,0.426,0.426,0.426,930,0
RGL,60,20240502,120000,0.426,0.426,0.426,0.426,2500,0
RGL,60,20240502,140000,0.425,0.425,0.425,0.425,50,0
RGL,60,20240502,150000,0.426,0.426,0.426,0.426,7715,0
RGL,60,20240502,160000,0.422,0.428,0.422,0.424,1540,0
RGL,60,20240502,170000,0.427,0.427,0.424,0.427,318,0
RGL,60,20240506,100000,0.453,0.453,0.443,0.443,255,0
RGL,60,20240506,120000,0.444,0.444,0.44,0.443,472,0
RGL,60,20240506,130000,0.439,0.439,0.439,0.439,23,0
RGL,60,20240506,150000,0.44,0.44,0.43,0.432,465,0
RGL,60,20240506,160000,0.435,0.451,0.412,0.451,62746,0
RGL,60,20240506,170000,0.421,0.45,0.421,0.439,10572,0
RGL,60,20240507,130000,0.427,0.427,0.413,0.413,4675,0
RGL,60,20240507,140000,0.431,0.431,0.431,0.431,5,0
RGL,60,20240507,160000,0.42,0.42,0.411,0.411,48677,0
RGL,60,20240507,170000,0.427,0.427,0.411,0.423,15458,0
RGL,60,20240508,100000,0.411,0.416,0.411,0.416,24315,0
RGL,60,20240508,110000,0.411,0.416,0.411,0.416,8414,0
RGL,60,20240508,130000,0.411,0.411,0.411,0.411,5476,0
RGL,60,20240508,170000,0.419,0.419,0.419,0.419,3219,0
RGL,60,20240509,100000,0.421,0.425,0.421,0.425,1655,0
RGL,60,20240509,120000,0.42,0.425,0.42,0.425,210,0
RGL,60,20240509,130000,0.425,0.445,0.425,0.445,2887,0
RGL,60,20240509,140000,0.421,0.421,0.42,0.42,3982,0
RGL,60,20240509,150000,0.431,0.431,0.419,0.419,1110,0
RGL,60,20240509,160000,0.427,0.439,0.425,0.439,25427,0
RGL,60,20240510,100000,0.439,0.439,0.439,0.439,4250,0
RGL,60,20240510,120000,0.439,0.439,0.439,0.439,400,0
RGL,60,20240510,130000,0.439,0.439,0.436,0.436,175,0
RGL,60,20240510,140000,0.439,0.439,0.439,0.439,2100,0
RGL,60,20240510,160000,0.439,0.439,0.438,0.438,207,0
RGL,60,20240510,170000,0.439,0.439,0.439,0.439,100,0
RGL,60,20240513,100000,0.438,0.438,0.41,0.41,165192,0
RGL,60,20240513,110000,0.417,0.424,0.417,0.42,18233,0
RGL,60,20240513,130000,0.42,0.42,0.412,0.412,13750,0
RGL,60,20240513,140000,0.424,0.439,0.424,0.439,57900,0
RGL,60,20240513,150000,0.439,0.439,0.437,0.438,70500,0
RGL,60,20240513,160000,0.438,0.438,0.438,0.438,5718,0
RGL,60,20240513,170000,0.439,0.439,0.439,0.439,10,0
RGL,60,20240514,100000,0.439,0.439,0.415,0.415,25178,0
RGL,60,20240514,110000,0.435,0.435,0.435,0.435,30,0
RGL,60,20240514,120000,0.435,0.435,0.42,0.42,80,0
RGL,60,20240514,130000,0.435,0.436,0.43,0.436,3000,0
RGL,60,20240514,150000,0.436,0.436,0.436,0.436,5000,0
RGL,60,20240515,100000,0.436,0.436,0.436,0.436,30,0
RGL,60,20240515,110000,0.435,0.436,0.435,0.436,11467,0
RGL,60,20240515,120000,0.435,0.435,0.435,0.435,2285,0
RGL,60,20240515,130000,0.435,0.435,0.428,0.428,4515,0
RGL,60,20240515,140000,0.434,0.434,0.434,0.434,6000,0
RGL,60,20240515,160000,0.43,0.434,0.43,0.434,6053,0
RGL,60,20240515,170000,0.43,0.434,0.43,0.434,3001,0
RGL,60,20240516,100000,0.412,0.417,0.39,0.417,126067,0
RGL,60,20240516,110000,0.416,0.416,0.416,0.416,10000,0
RGL,60,20240516,120000,0.416,0.416,0.416,0.416,530,0
RGL,60,20240516,150000,0.408,0.408,0.408,0.408,5500,0
RGL,60,20240516,160000,0.407,0.415,0.4,0.414,43570,0
RGL,60,20240516,170000,0.412,0.424,0.412,0.424,13900,0
RGL,60,20240517,100000,0.434,0.434,0.43,0.43,1160,0
RGL,60,20240517,110000,0.43,0.43,0.43,0.43,50,0
RGL,60,20240517,120000,0.424,0.43,0.42,0.43,555,0
RGL,60,20240517,130000,0.43,0.43,0.426,0.43,7055,0
RGL,60,20240517,150000,0.43,0.43,0.43,0.43,50,0
RGL,60,20240517,160000,0.43,0.43,0.428,0.43,925,0
RGL,60,20240517,170000,0.428,0.428,0.415,0.415,2025,0
RGL,60,20240520,100000,0.428,0.428,0.428,0.428,3300,0
RGL,60,20240520,110000,0.432,0.434,0.432,0.434,3011,0
RGL,60,20240520,120000,0.42,0.42,0.42,0.42,150,0
RGL,60,20240520,130000,0.422,0.429,0.422,0.429,9600,0
RGL,60,20240520,140000,0.424,0.432,0.424,0.432,19441,0
RGL,60,20240520,150000,0.424,0.432,0.424,0.432,200,0
RGL,60,20240520,170000,0.424,0.424,0.415,0.415,34602,0
RGL,60,20240521,100000,0.416,0.43,0.415,0.43,21800,0
RGL,60,20240521,130000,0.428,0.428,0.428,0.428,540,0
RGL,60,20240521,150000,0.428,0.428,0.428,0.428,9460,0
RGL,60,20240521,160000,0.428,0.428,0.411,0.411,53242,0
RGL,60,20240521,170000,0.427,0.427,0.41,0.419,2415,0
RGL,60,20240522,100000,0.422,0.422,0.422,0.422,67,0
RGL,60,20240522,110000,0.42,0.42,0.41,0.418,20763,0
RGL,60,20240522,140000,0.418,0.424,0.407,0.424,5184,0
RGL,60,20240522,150000,0.407,0.407,0.407,0.407,500,0
RGL,60,20240522,160000,0.413,0.415,0.406,0.407,15083,0
RGL,60,20240522,170000,0.408,0.408,0.407,0.407,7417,0
RGL,60,20240523,100000,0.417,0.417,0.417,0.417,100,0
RGL,60,20240523,110000,0.417,0.418,0.417,0.418,10425,0
RGL,60,20240523,120000,0.418,0.418,0.418,0.418,132,0
RGL,60,20240523,130000,0.418,0.418,0.418,0.418,1392,0
RGL,60,20240523,140000,0.412,0.412,0.407,0.407,800,0
RGL,60,20240523,170000,0.416,0.417,0.407,0.407,56,0
RGL,60,20240524,100000,0.417,0.418,0.417,0.418,3124,0
RGL,60,20240524,110000,0.418,0.418,0.418,0.418,900,0
RGL,60,20240524,150000,0.41,0.418,0.41,0.41,5592,0
RGL,60,20240524,160000,0.41,0.418,0.41,0.418,468,0
RGL,60,20240524,170000,0.41,0.418,0.408,0.418,3736,0
RGL,60,20240527,100000,0.409,0.41,0.409,0.41,346,0
RGL,60,20240527,110000,0.418,0.418,0.418,0.418,200,0
RGL,60,20240527,140000,0.417,0.417,0.417,0.417,31,0
RGL,60,20240527,150000,0.411,0.418,0.41,0.418,13200,0
RGL,60,20240527,160000,0.41,0.418,0.41,0.418,10877,0
RGL,60,20240527,170000,0.424,0.424,0.424,0.424,50,0
RGL,60,20240528,100000,0.421,0.421,0.421,0.421,976,0
RGL,60,20240528,110000,0.416,0.417,0.41,0.417,21144,0
RGL,60,20240528,120000,0.416,0.417,0.416,0.417,51,0
RGL,60,20240528,140000,0.415,0.415,0.415,0.415,100,0
RGL,60,20240528,150000,0.418,0.418,0.409,0.418,1955,0
RGL,60,20240528,160000,0.418,0.418,0.418,0.418,92,0
RGL,60,20240528,170000,0.417,0.418,0.41,0.415,7950,0
RGL,60,20240529,100000,0.418,0.435,0.418,0.435,30168,0
RGL,60,20240529,160000,0.428,0.428,0.409,0.409,5974,0
RGL,60,20240529,170000,0.412,0.427,0.412,0.427,285,0
RGL,60,20240531,100000,0.427,0.428,0.427,0.427,470,0
RGL,60,20240531,110000,0.427,0.427,0.427,0.427,5201,0
RGL,60,20240531,120000,0.426,0.426,0.409,0.426,18050,0
RGL,60,20240531,130000,0.424,0.424,0.408,0.408,15923,0
RGL,60,20240531,140000,0.409,0.409,0.407,0.407,27023,0
RGL,60,20240531,150000,0.402,0.402,0.401,0.401,7533,0
RGL,60,20240531,170000,0.42,0.42,0.42,0.42,150,0
RGL,60,20240603,100000,0.419,0.419,0.419,0.419,600,0
RGL,60,20240603,110000,0.418,0.418,0.418,0.418,45,0
RGL,60,20240603,120000,0.406,0.415,0.403,0.41,12000,0
RGL,60,20240603,140000,0.404,0.404,0.404,0.404,5270,0
RGL,60,20240603,160000,0.406,0.406,0.403,0.403,35000,0
RGL,60,20240603,170000,0.404,0.411,0.402,0.402,27200,0
RGL,60,20240604,100000,0.41,0.41,0.401,0.403,14574,0
RGL,60,20240604,110000,0.403,0.403,0.403,0.403,100,0
RGL,60,20240604,120000,0.403,0.408,0.403,0.408,2636,0
RGL,60,20240604,130000,0.408,0.409,0.408,0.409,2719,0
RGL,60,20240604,150000,0.403,0.403,0.4,0.4,25755,0
RGL,60,20240604,160000,0.405,0.405,0.398,0.405,50000,0
RGL,60,20240605,100000,0.407,0.407,0.407,0.407,50,0
RGL,60,20240605,110000,0.406,0.409,0.404,0.409,1990,0
RGL,60,20240605,120000,0.409,0.41,0.409,0.41,2000,0
RGL,60,20240605,130000,0.41,0.411,0.403,0.403,37361,0
RGL,60,20240605,150000,0.418,0.418,0.418,0.418,90,0
RGL,60,20240605,160000,0.417,0.417,0.417,0.417,55,0
RGL,60,20240605,170000,0.416,0.417,0.402,0.417,10026,0
RGL,60,20240606,110000,0.416,0.416,0.408,0.408,451,0
RGL,60,20240606,120000,0.416,0.417,0.408,0.417,2025,0
RGL,60,20240606,140000,0.417,0.417,0.417,0.417,24,0
RGL,60,20240606,150000,0.417,0.417,0.417,0.417,1000,0
RGL,60,20240607,110000,0.416,0.416,0.416,0.416,25,0
RGL,60,20240607,130000,0.417,0.417,0.417,0.417,2879,0
RGL,60,20240607,160000,0.417,0.417,0.416,0.417,291,0
RGL,60,20240607,170000,0.416,0.417,0.416,0.417,178,0
RGL,60,20240610,100000,0.416,0.417,0.415,0.417,632,0
RGL,60,20240610,140000,0.416,0.416,0.406,0.406,1000,0
RGL,60,20240610,150000,0.417,0.417,0.417,0.417,468,0
RGL,60,20240610,160000,0.417,0.42,0.417,0.419,3647,0
RGL,60,20240610,170000,0.419,0.419,0.406,0.419,4409,0
RGL,60,20240611,100000,0.419,0.42,0.419,0.42,1106,0
RGL,60,20240611,110000,0.419,0.419,0.406,0.407,1105,0
RGL,60,20240611,150000,0.418,0.418,0.418,0.418,52,0
