<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RST,60,20240411,100000,9,9.06,8.78,8.78,185,0
RST,60,20240411,110000,9.06,9.06,9.06,9.06,1,0
RST,60,20240411,170000,8.8,9.06,8.8,9.06,15,0
RST,60,20240415,120000,8.82,9.02,8.78,9.02,401,0
RST,60,20240415,170000,9.02,9.02,9.02,9.02,138,0
RST,60,20240416,100000,8.74,9.02,8.74,9.02,63,0
RST,60,20240416,110000,9.02,9.02,9.02,9.02,20,0
RST,60,20240416,150000,8.82,8.82,8.8,8.8,217,0
RST,60,20240416,160000,9,9,9,9,5,0
RST,60,20240417,100000,9,9,9,9,116,0
RST,60,20240417,120000,8.84,9.02,8.72,9.02,265,0
RST,60,20240417,170000,8.72,9,8.72,9,14,0
RST,60,20240418,120000,9,9.06,9,9.06,300,0
RST,60,20240418,140000,9.02,9.02,9.02,9.02,60,0
RST,60,20240418,170000,9.04,9.04,9.04,9.04,1,0
RST,60,20240419,110000,9,9,9,9,20,0
RST,60,20240419,160000,8.88,8.98,8.86,8.98,366,0
RST,60,20240422,100000,8.98,8.98,8.98,8.98,4,0
RST,60,20240422,150000,8.88,8.98,8.74,8.98,202,0
RST,60,20240422,170000,8.98,8.98,8.7,8.98,160,0
RST,60,20240423,100000,8.98,9.06,8.98,9.06,683,0
RST,60,20240423,110000,9.04,9.04,9.04,9.04,25,0
RST,60,20240423,140000,9.06,9.06,9.06,9.06,1,0
RST,60,20240424,160000,9.04,9.04,8.9,8.9,82,0
RST,60,20240424,170000,8.9,9,8.9,9,64,0
RST,60,20240425,110000,8.8,9,8.8,9,218,0
RST,60,20240425,140000,8.76,9,8.6,9,1054,0
RST,60,20240425,170000,9.02,9.02,9.02,9.02,2,0
RST,60,20240426,100000,8.8,8.96,8.8,8.96,220,0
RST,60,20240426,140000,8.96,8.96,8.96,8.96,45,0
RST,60,20240426,150000,9,9,9,9,10,0
RST,60,20240426,160000,8.68,9,8.62,9,485,0
RST,60,20240426,170000,8.98,9.1,8.98,9.1,2668,0
RST,60,20240429,100000,9.04,9.04,9.04,9.04,5,0
RST,60,20240429,110000,8.72,8.72,8.7,8.7,166,0
RST,60,20240429,120000,9,9,9,9,5,0
RST,60,20240429,140000,9,9.02,9,9.02,91,0
RST,60,20240429,150000,8.74,8.96,8.7,8.96,355,0
RST,60,20240430,100000,8.96,9.06,8.96,9.06,350,0
RST,60,20240430,120000,9.06,9.06,9.06,9.06,3,0
RST,60,20240502,100000,9.04,9.04,9.04,9.04,10,0
RST,60,20240506,120000,9,9,9,9,10,0
RST,60,20240506,130000,8.98,9,8.98,9,155,0
RST,60,20240506,170000,9,9,9,9,60,0
RST,60,20240507,100000,8.86,9,8.7,9,205,0
RST,60,20240507,110000,8.98,10.05,8.98,10,47608,0
RST,60,20240507,120000,10,10.6,9.9,10.35,4346,0
RST,60,20240507,130000,10.55,10.6,9.8,10,6743,0
RST,60,20240507,140000,10.1,10.6,10,10,9687,0
RST,60,20240507,150000,10.15,10.6,10,10.55,7544,0
RST,60,20240507,160000,10.1,10.4,10,10.4,1060,0
RST,60,20240507,170000,10.4,11.15,10.4,11.05,4745,0
RST,60,20240508,100000,11.6,11.6,9.64,10,5261,0
RST,60,20240508,110000,9.94,10.2,9.28,9.28,15322,0
RST,60,20240508,120000,9.28,9.4,9,9,18150,0
RST,60,20240508,130000,9.22,9.22,9,9.2,2584,0
RST,60,20240508,140000,9.22,9.22,9,9,4259,0
RST,60,20240508,150000,9,9.06,8.64,8.64,6571,0
RST,60,20240508,160000,8.9,8.9,8.7,8.88,2138,0
RST,60,20240508,170000,8.88,9.1,8.7,9,6213,0
RST,60,20240509,100000,8.74,9,8.74,9,666,0
RST,60,20240509,110000,8.78,8.78,8.7,8.7,1992,0
RST,60,20240509,120000,8.7,8.84,8.7,8.84,362,0
RST,60,20240509,130000,8.8,8.86,8.8,8.86,650,0
RST,60,20240509,140000,8.86,8.98,8.78,8.78,302,0
RST,60,20240509,150000,8.86,8.88,8.86,8.88,100,0
RST,60,20240509,160000,8.78,8.88,8.62,8.86,1973,0
RST,60,20240509,170000,8.68,8.86,8.6,8.86,663,0
RST,60,20240510,100000,8.96,9.06,8.7,9.06,3880,0
RST,60,20240510,110000,9.02,9.02,9.02,9.02,2,0
