<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDS,60,20240411,100000,27.1,27.15,27.1,27.15,765,0
SDS,60,20240411,110000,27.15,27.95,27,27.15,427,0
SDS,60,20240411,120000,27.65,27.7,27.65,27.7,15,0
SDS,60,20240411,130000,27.2,27.2,27.2,27.2,16,0
SDS,60,20240411,140000,27.55,27.55,27.55,27.55,5,0
SDS,60,20240411,160000,27.55,27.8,27.55,27.8,46,0
SDS,60,20240411,170000,27.8,27.8,27.8,27.8,14,0
SDS,60,20240412,100000,27.85,27.85,27.85,27.85,10,0
SDS,60,20240412,120000,27.35,27.35,27.25,27.25,361,0
SDS,60,20240412,130000,27.2,27.8,27.2,27.3,363,0
SDS,60,20240412,140000,27.7,27.7,27.7,27.7,12,0
SDS,60,20240412,150000,27.75,27.8,27.2,27.2,1530,0
SDS,60,20240412,160000,27.25,27.6,27.25,27.6,45,0
SDS,60,20240412,170000,27.6,27.7,27.4,27.7,154,0
SDS,60,20240415,100000,27.05,27.7,27.05,27.65,143,0
SDS,60,20240415,110000,27.6,27.7,27.6,27.7,323,0
SDS,60,20240415,120000,27.7,27.7,27.25,27.25,813,0
SDS,60,20240415,130000,27.7,29,27.7,29,2310,0
SDS,60,20240415,140000,28,28,28,28,103,0
SDS,60,20240415,150000,27.45,27.8,27.4,27.4,175,0
SDS,60,20240415,170000,27.8,27.95,27.8,27.95,29,0
SDS,60,20240416,100000,27.95,27.95,27.95,27.95,92,0
SDS,60,20240416,110000,27.5,27.95,27.2,27.35,470,0
SDS,60,20240416,130000,27.55,27.8,27.55,27.8,170,0
SDS,60,20240416,140000,27.8,27.95,27.8,27.95,185,0
SDS,60,20240416,150000,27.95,29.8,27.95,29.05,1978,0
SDS,60,20240416,160000,29.5,29.9,29,29.8,5012,0
SDS,60,20240416,170000,29,29,28.5,28.5,213,0
SDS,60,20240417,100000,29.5,29.55,29,29.2,884,0
SDS,60,20240417,110000,29.05,29.8,29.05,29.8,1452,0
SDS,60,20240417,120000,29.6,29.6,29.6,29.6,140,0
SDS,60,20240417,130000,29.1,29.4,28.5,28.5,1889,0
SDS,60,20240417,140000,28.8,29.1,28.8,29,110,0
SDS,60,20240417,150000,29,29,29,29,20,0
SDS,60,20240417,160000,28.3,29,28.3,29,35,0
SDS,60,20240417,170000,28.2,28.4,28.2,28.4,32,0
SDS,60,20240418,100000,28.4,29,28.4,29,103,0
SDS,60,20240418,110000,29,29,29,29,110,0
SDS,60,20240418,120000,29,29,28.4,29,120,0
SDS,60,20240418,130000,28.85,28.9,28.85,28.9,75,0
SDS,60,20240418,140000,28.5,29.65,28.5,29.55,382,0
SDS,60,20240418,150000,29,29.65,28.5,29,169,0
SDS,60,20240418,170000,29,29,29,29,70,0
SDS,60,20240419,100000,29.45,29.5,29,29.5,145,0
SDS,60,20240419,110000,28.55,29.5,28.3,29.5,759,0
SDS,60,20240419,120000,29.4,29.4,29.4,29.4,25,0
SDS,60,20240419,130000,29,29,29,29,50,0
SDS,60,20240419,140000,29,29,29,29,143,0
SDS,60,20240419,150000,29.2,29.5,29,29.5,825,0
SDS,60,20240419,160000,29,29.5,29,29,70,0
SDS,60,20240419,170000,29,29,28.6,29,160,0
SDS,60,20240422,100000,29,29.7,29,29.7,623,0
SDS,60,20240422,110000,29,29.7,29,29.7,65,0
SDS,60,20240422,120000,29.1,29.6,29,29,107,0
SDS,60,20240422,130000,29,29,29,29,50,0
SDS,60,20240422,140000,28.85,29.4,28.55,29.4,180,0
SDS,60,20240422,150000,29,29.35,28.5,29.35,265,0
SDS,60,20240422,160000,28.55,28.55,28.55,28.55,100,0
SDS,60,20240422,170000,28.5,28.95,28.5,28.95,250,0
SDS,60,20240423,110000,28.85,28.9,28.1,28.85,232,0
SDS,60,20240423,120000,28.1,28.6,27.5,28.6,332,0
SDS,60,20240423,130000,28.05,28.05,28.05,28.05,5,0
SDS,60,20240423,140000,28.5,28.6,28.5,28.6,115,0
SDS,60,20240423,150000,28.05,28.05,28,28,274,0
SDS,60,20240423,160000,28.05,28.4,28,28,84,0
SDS,60,20240423,170000,27.9,28,27.9,28,142,0
SDS,60,20240424,100000,27.5,28,27.5,28,49,0
SDS,60,20240424,110000,27.5,27.5,27.5,27.5,16,0
SDS,60,20240424,120000,27.5,27.5,27.05,27.5,125,0
SDS,60,20240424,130000,27.45,27.45,27.2,27.2,186,0
SDS,60,20240424,140000,27.45,27.9,27.45,27.9,120,0
SDS,60,20240424,150000,27.9,27.9,27.9,27.9,10,0
SDS,60,20240424,160000,27.35,27.7,27,27,162,0
SDS,60,20240424,170000,27,27.7,27,27.45,313,0
SDS,60,20240425,100000,27,27.8,27,27.55,130,0
SDS,60,20240425,110000,27.5,27.5,27.5,27.5,50,0
SDS,60,20240425,120000,27.7,27.7,26.45,27.25,1671,0
SDS,60,20240425,130000,26.6,26.6,26.6,26.6,25,0
SDS,60,20240425,140000,26.6,27,26.6,26.95,191,0
SDS,60,20240425,150000,26.95,26.95,26.95,26.95,20,0
SDS,60,20240425,160000,26.7,26.85,26.7,26.7,251,0
SDS,60,20240425,170000,26.6,26.6,26.5,26.5,370,0
SDS,60,20240426,100000,27,28.7,27,28.1,299,0
SDS,60,20240426,110000,27.7,28,27.7,28,250,0
SDS,60,20240426,130000,27.7,27.7,27.7,27.7,150,0
SDS,60,20240426,140000,27.3,27.65,27.1,27.65,299,0
SDS,60,20240426,150000,27.8,27.8,27.8,27.8,25,0
SDS,60,20240426,170000,27.25,27.45,26.3,26.3,2097,0
SDS,60,20240429,100000,26.95,26.95,26.5,26.95,241,0
SDS,60,20240429,110000,26.5,26.5,26.35,26.35,279,0
SDS,60,20240429,120000,26.7,26.7,26.4,26.7,725,0
SDS,60,20240429,130000,26.45,26.45,26.4,26.4,80,0
SDS,60,20240429,140000,26.3,26.55,26.25,26.55,305,0
SDS,60,20240429,150000,26.65,26.65,26.65,26.65,75,0
SDS,60,20240429,160000,26.55,26.55,26,26.3,665,0
SDS,60,20240429,170000,26.2,26.6,25.95,26,1183,0
SDS,60,20240430,100000,26,26.3,25.3,26,652,0
SDS,60,20240430,110000,26,26.5,25.6,26,1023,0
SDS,60,20240430,120000,26.75,26.75,26.5,26.5,46,0
SDS,60,20240430,130000,26.35,26.35,26.35,26.35,55,0
SDS,60,20240430,140000,26,26.25,26,26.25,805,0
SDS,60,20240430,150000,26.25,26.35,26.25,26.35,798,0
SDS,60,20240430,170000,26.2,26.35,26.2,26.35,104,0
SDS,60,20240502,100000,26.7,26.7,26.7,26.7,250,0
SDS,60,20240502,110000,26.8,27.15,26.45,27,1429,0
SDS,60,20240502,120000,27,27.25,26.5,27.25,225,0
SDS,60,20240502,130000,26.55,26.55,26.55,26.55,95,0
SDS,60,20240502,140000,26.85,26.85,26.85,26.85,25,0
SDS,60,20240502,150000,26.5,26.85,26.4,26.4,108,0
SDS,60,20240502,160000,26.25,26.25,26,26,180,0
