<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFD,60,20240411,100000,1.84617,1.89095,1.84617,1.89095,3436.36363638,0
SFD,60,20240411,110000,1.89095,1.89095,1.89095,1.89095,261.24401914000003,0
SFD,60,20240411,120000,1.89095,1.89095,1.89095,1.89095,753.58851675,0
SFD,60,20240411,130000,1.88598,1.88598,1.80636,1.87602,12107.65550245,0
SFD,60,20240411,140000,1.87602,1.87602,1.87602,1.87602,76.363636364,0
SFD,60,20240411,150000,1.81133,1.81133,1.81133,1.81133,264.25837320700003,0
SFD,60,20240411,160000,1.87602,1.87602,1.87602,1.87602,11.052631579,0
SFD,60,20240411,170000,1.82129,1.82129,1.80636,1.80636,2210.5263158000002,0
SFD,60,20240412,100000,1.87602,1.87602,1.87602,1.87602,68.325358852,0
SFD,60,20240412,110000,1.87602,1.87602,1.87602,1.87602,11.052631579,0
SFD,60,20240412,120000,1.86607,1.86607,1.83124,1.86607,285.35885167600003,0
SFD,60,20240412,140000,1.86607,1.86607,1.86607,1.86607,753.58851675,0
SFD,60,20240412,150000,1.86607,1.86607,1.83124,1.84119,15552.057416342,0
SFD,60,20240412,160000,1.85612,1.85612,1.85612,1.85612,22.105263158,0
SFD,60,20240412,170000,1.85114,1.85612,1.85114,1.85612,2025.645933024,0
SFD,60,20240415,100000,1.85114,1.86607,1.80138,1.80138,16197.12918668,0
SFD,60,20240415,110000,1.80138,1.80138,1.7765,1.80138,10221.674641197,0
SFD,60,20240415,120000,1.78645,1.80138,1.78645,1.78645,3983.971291885,0
SFD,60,20240415,130000,1.80138,1.80138,1.78645,1.79143,3858.37320576,0
SFD,60,20240415,140000,1.79143,1.83124,1.79143,1.83124,12460.334928289,0
SFD,60,20240415,150000,1.81133,1.83124,1.79143,1.83124,1369.521531107,0
SFD,60,20240415,160000,1.83124,1.83124,1.83124,1.83124,12.057416268,0
SFD,60,20240415,170000,1.83124,1.83124,1.79143,1.79143,128.612440192,0
SFD,60,20240416,100000,1.7964,1.7964,1.79143,1.79143,1671.9617224960002,0
SFD,60,20240416,110000,1.82129,1.82129,1.82129,1.82129,10.04784689,0
SFD,60,20240416,120000,1.81631,1.81631,1.79143,1.79143,320.526315791,0
SFD,60,20240416,130000,1.81133,1.81133,1.81133,1.81133,50.239234450000005,0
SFD,60,20240416,140000,1.80138,1.80138,1.80138,1.80138,301.43540670000004,0
SFD,60,20240416,150000,1.81133,1.81133,1.80138,1.80138,271.29186603,0
SFD,60,20240416,160000,1.79143,1.7964,1.74167,1.74167,36205.406698737,0
SFD,60,20240416,170000,1.7566,1.7566,1.74664,1.74664,1041.961722493,0
SFD,60,20240417,100000,1.74167,1.74167,1.64214,1.6521,26748.373205869,0
SFD,60,20240417,110000,1.6919,1.6919,1.56252,1.65707,92847.129187045,0
SFD,60,20240417,120000,1.65707,1.68195,1.61229,1.68195,2957.081339727,0
SFD,60,20240417,130000,1.68195,1.68195,1.59238,1.59736,31484.928229815,0
SFD,60,20240417,140000,1.63717,1.63717,1.60233,1.63219,1677.99043063,0
SFD,60,20240417,150000,1.63219,1.63219,1.60233,1.63219,2337.129186614,0
SFD,60,20240417,160000,1.63219,1.63219,1.59736,1.59736,1034.92822967,0
SFD,60,20240417,170000,1.64214,1.64214,1.60233,1.64214,4069.37799045,0
SFD,60,20240418,100000,1.63717,1.64214,1.60233,1.62721,649.090909094,0
SFD,60,20240418,110000,1.61229,1.63219,1.61229,1.63219,213.014354068,0
SFD,60,20240418,120000,1.61229,1.61229,1.61229,1.61229,231.10047847,0
SFD,60,20240418,130000,1.62721,1.62721,1.62721,1.62721,514.449760768,0
SFD,60,20240418,140000,1.63219,1.63219,1.63219,1.63219,20.09569378,0
SFD,60,20240418,150000,1.63219,1.63219,1.63219,1.63219,1728.2296650800001,0
SFD,60,20240418,160000,1.63219,1.672,1.63219,1.672,6810.430622042,0
SFD,60,20240418,170000,1.68693,1.6919,1.68693,1.6919,11959.952153167,0
SFD,60,20240419,100000,1.6919,1.6919,1.6919,1.6919,348.660287083,0
SFD,60,20240419,110000,1.6919,1.71181,1.6919,1.71181,1462.966507184,0
SFD,60,20240419,120000,1.6919,1.71181,1.6919,1.71181,2878.708133985,0
SFD,60,20240419,130000,1.71181,1.71181,1.71181,1.71181,1403.684210533,0
SFD,60,20240419,140000,1.71181,1.71181,1.6919,1.6919,184.880382776,0
SFD,60,20240419,150000,1.71181,1.71181,1.6919,1.71181,1814.641148334,0
SFD,60,20240419,160000,1.6919,1.6919,1.6919,1.6919,1627.75119618,0
SFD,60,20240419,170000,1.71181,1.71181,1.60233,1.68693,12915.502392406,0
SFD,60,20240422,100000,1.68195,1.68195,1.6521,1.672,790.765550243,0
SFD,60,20240422,110000,1.672,1.672,1.672,1.672,622.96650718,0
SFD,60,20240422,120000,1.63219,1.63219,1.63219,1.63219,98.468899522,0
SFD,60,20240422,130000,1.63219,1.672,1.63219,1.672,1306.2200957,0
SFD,60,20240422,140000,1.672,1.672,1.61726,1.672,35.167464115,0
SFD,60,20240422,150000,1.672,1.672,1.672,1.672,179.85645933100002,0
SFD,60,20240422,160000,1.61726,1.61726,1.59238,1.61726,6978.229665105,0
SFD,60,20240422,170000,1.61726,1.672,1.61726,1.672,1062.057416273,0
SFD,60,20240423,100000,1.672,1.672,1.60233,1.60233,327.559808614,0
SFD,60,20240423,110000,1.60233,1.61229,1.60233,1.61229,301.43540670000004,0
SFD,60,20240423,120000,1.65707,1.65707,1.65707,1.65707,2079.90430623,0
SFD,60,20240423,130000,1.65707,1.65707,1.65707,1.65707,18.086124402000003,0
SFD,60,20240423,140000,1.65707,1.65707,1.65707,1.65707,31.148325359,0
SFD,60,20240423,150000,1.65707,1.65707,1.61726,1.61726,914.3540669900001,0
SFD,60,20240423,170000,1.62224,1.65707,1.62224,1.65707,112.53588516800001,0
SFD,60,20240424,100000,1.59736,1.672,1.59736,1.672,1243.923444982,0
SFD,60,20240424,110000,1.672,1.672,1.672,1.672,27.129186603,0
SFD,60,20240424,120000,1.672,1.672,1.672,1.672,1834.736842114,0
SFD,60,20240424,140000,1.61229,1.61229,1.60233,1.60233,62.296650718,0
SFD,60,20240424,160000,1.61726,1.672,1.60731,1.66702,844.01913876,0
SFD,60,20240424,170000,1.66702,1.66702,1.66702,1.66702,12.057416268,0
SFD,60,20240425,100000,1.64214,1.64214,1.64214,1.64214,170.81339713,0
SFD,60,20240425,110000,1.62224,1.64214,1.62224,1.64214,343.636363638,0
SFD,60,20240425,120000,1.64214,1.64214,1.64214,1.64214,1284.114832542,0
SFD,60,20240425,130000,1.62224,1.62224,1.60233,1.60233,186.889952154,0
SFD,60,20240425,140000,1.60731,1.63219,1.60731,1.63219,321.53110048,0
SFD,60,20240425,150000,1.63219,1.63219,1.63219,1.63219,32.153110048,0
SFD,60,20240425,160000,1.63717,1.64214,1.63717,1.64214,610.909090912,0
SFD,60,20240425,170000,1.66702,1.73171,1.66702,1.73171,7621.291866065,0
SFD,60,20240426,100000,1.64214,1.78645,1.61726,1.61726,1008.803827756,0
SFD,60,20240426,110000,1.75162,1.77152,1.75162,1.77152,100.47846890000001,0
SFD,60,20240426,120000,1.64214,1.72674,1.60731,1.72674,1135.40669857,0
SFD,60,20240426,160000,1.72176,1.72176,1.65707,1.66205,2175.358851685,0
SFD,60,20240426,170000,1.61229,1.61229,1.60731,1.60731,1050.0000000050002,0
SFD,60,20240429,100000,1.61229,1.6919,1.61229,1.63717,1640.813397137,0
SFD,60,20240429,110000,1.6919,1.6919,1.6919,1.6919,571.722488041,0
SFD,60,20240429,120000,1.68195,1.68195,1.68195,1.68195,10.04784689,0
SFD,60,20240429,130000,1.68195,1.68195,1.68195,1.68195,145.693779905,0
SFD,60,20240429,140000,1.64712,1.64712,1.64214,1.64214,130.62200957000002,0
SFD,60,20240429,150000,1.64214,1.66205,1.64214,1.66205,1461.961722495,0
SFD,60,20240429,160000,1.66205,1.66205,1.66205,1.66205,100.47846890000001,0
SFD,60,20240429,170000,1.66205,1.66205,1.66205,1.66205,41.196172249,0
SFD,60,20240430,100000,1.66205,1.66205,1.64214,1.66205,532.53588517,0
SFD,60,20240430,110000,1.66205,1.6919,1.66205,1.6919,401.91387560000004,0
SFD,60,20240430,120000,1.6919,1.6919,1.64712,1.64712,476.267942586,0
SFD,60,20240430,130000,1.68693,1.68693,1.68693,1.68693,33.157894737,0
SFD,60,20240430,140000,1.64712,1.68195,1.64712,1.68195,1534.306220103,0
SFD,60,20240430,150000,1.64712,1.64712,1.64712,1.64712,60.28708134,0
SFD,60,20240430,160000,1.67698,1.67698,1.67698,1.67698,618.947368424,0
SFD,60,20240430,170000,1.67698,1.67698,1.67698,1.67698,6.028708134,0
SFD,60,20240502,100000,1.68195,1.68195,1.67698,1.67698,1554.401913883,0
SFD,60,20240502,110000,1.6521,1.6521,1.64712,1.64712,703.3492823,0
SFD,60,20240502,130000,1.64712,1.67698,1.64214,1.64214,432.05741627,0
SFD,60,20240502,140000,1.67698,1.67698,1.67698,1.67698,2397.416267954,0
SFD,60,20240502,150000,1.67698,1.67698,1.67698,1.67698,590.813397132,0
SFD,60,20240502,160000,1.67698,1.6919,1.67698,1.6919,882.200956942,0
SFD,60,20240502,170000,1.6919,1.6919,1.6919,1.6919,307.464114834,0
SFD,60,20240506,100000,1.6919,1.71679,1.6919,1.71679,1249.952153116,0
SFD,60,20240506,110000,1.71679,1.79143,1.6919,1.76157,349.665071772,0
SFD,60,20240506,120000,1.76157,1.76157,1.73171,1.76157,257.224880384,0
SFD,60,20240506,130000,1.7566,1.79143,1.7566,1.79143,2009.569378,0
SFD,60,20240506,140000,1.7566,1.79143,1.73171,1.79143,642.057416271,0
SFD,60,20240506,150000,1.79143,1.79143,1.74167,1.79143,763.63636364,0
SFD,60,20240506,160000,1.79143,1.94071,1.7566,1.93574,21750.574162783,0
SFD,60,20240506,170000,1.81133,1.89095,1.81133,1.89095,3410.239234466,0
SFD,60,20240507,100000,1.89095,1.93574,1.881,1.93076,1491.100478476,0
SFD,60,20240507,110000,1.93076,1.93076,1.9009,1.9009,1872.918660296,0
SFD,60,20240507,120000,1.93076,1.93076,1.9009,1.9009,1171.578947374,0
SFD,60,20240507,130000,1.93076,1.97057,1.91086,1.91086,3170.095693795,0
SFD,60,20240507,140000,1.94071,1.97057,1.94071,1.97057,1617.70334929,0
SFD,60,20240507,150000,1.9656,1.97057,1.92081,1.97057,1185.64593302,0
SFD,60,20240507,160000,1.93076,1.97057,1.92579,1.92579,639.043062204,0
SFD,60,20240507,170000,1.97057,1.97057,1.97057,1.97057,230.095693781,0
SFD,60,20240508,100000,1.97057,1.97057,1.91583,1.96062,309.473684212,0
SFD,60,20240508,110000,1.92081,1.96062,1.91583,1.91583,4855.119617248,0
SFD,60,20240508,120000,1.96062,1.97555,1.95067,1.97057,4490.382775141,0
SFD,60,20240508,130000,1.92579,1.97057,1.91583,1.97057,738.516746415,0
SFD,60,20240508,140000,1.92081,1.9656,1.91583,1.9656,578.7559808640001,0
SFD,60,20240508,150000,1.94071,1.98052,1.94071,1.98052,1036.937799048,0
SFD,60,20240508,160000,1.92579,1.99048,1.92579,1.99048,3216.315789489,0
SFD,60,20240508,170000,1.99048,2.04024,1.99048,1.99048,6284.928229695,0
SFD,60,20240509,100000,2.01038,2.01038,1.81133,1.91086,7406.267942619,0
SFD,60,20240509,110000,1.97057,1.97057,1.89095,1.89095,1657.89473685,0
SFD,60,20240509,120000,1.91086,1.91086,1.89095,1.91086,256.220095695,0
SFD,60,20240509,130000,1.91086,1.91086,1.91086,1.91086,43.205741627,0
SFD,60,20240509,140000,1.91086,1.91086,1.91086,1.91086,6.028708134,0
SFD,60,20240509,160000,1.91086,1.91086,1.91086,1.91086,26.124401914,0
SFD,60,20240509,170000,1.91086,1.91086,1.90588,1.90588,417.990430624,0
