<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UFC,60,20240411,160000,0.248,0.248,0.248,0.248,2000,0
UFC,60,20240412,120000,0.288,0.288,0.288,0.288,1001,0
UFC,60,20240412,160000,0.292,0.292,0.292,0.292,11,0
UFC,60,20240415,120000,0.29,0.29,0.29,0.29,34,0
UFC,60,20240415,160000,0.282,0.282,0.282,0.282,557,0
UFC,60,20240416,120000,0.25,0.25,0.25,0.25,3815,0
UFC,60,20240416,160000,0.252,0.252,0.252,0.252,30,0
UFC,60,20240417,120000,0.284,0.284,0.284,0.284,1519,0
UFC,60,20240417,160000,0.296,0.296,0.296,0.296,1,0
UFC,60,20240418,120000,0.21,0.21,0.21,0.21,420,0
UFC,60,20240418,160000,0.248,0.248,0.248,0.248,420,0
UFC,60,20240422,120000,0.25,0.25,0.25,0.25,14629,0
UFC,60,20240422,160000,0.3,0.3,0.3,0.3,1,0
UFC,60,20240424,120000,0.3,0.3,0.3,0.3,83,0
UFC,60,20240424,160000,0.298,0.298,0.298,0.298,240,0
UFC,60,20240506,120000,0.298,0.3,0.298,0.3,2949,0
UFC,60,20240506,160000,0.346,0.346,0.346,0.346,303,0
UFC,60,20240508,120000,0.342,0.342,0.28,0.28,541,0
UFC,60,20240508,160000,0.328,0.328,0.328,0.328,21,0
UFC,60,20240510,120000,0.328,0.328,0.28,0.28,10786,0
UFC,60,20240510,160000,0.3,0.3,0.3,0.3,23,0
UFC,60,20240514,120000,0.228,0.228,0.228,0.228,17810,0
UFC,60,20240514,160000,0.23,0.23,0.23,0.23,8300,0
UFC,60,20240515,120000,0.248,0.248,0.248,0.248,6000,0
UFC,60,20240515,160000,0.22,0.22,0.22,0.22,1000,0
UFC,60,20240516,120000,0.23,0.23,0.23,0.23,6501,0
UFC,60,20240516,160000,0.22,0.22,0.22,0.22,1020,0
UFC,60,20240517,120000,0.264,0.264,0.264,0.264,1,0
UFC,60,20240517,160000,0.264,0.264,0.264,0.264,500,0
UFC,60,20240520,120000,0.264,0.264,0.264,0.264,100,0
UFC,60,20240520,160000,0.264,0.264,0.264,0.264,997,0
UFC,60,20240522,120000,0.278,0.278,0.278,0.278,2,0
UFC,60,20240522,160000,0.278,0.278,0.278,0.278,1,0
UFC,60,20240524,120000,0.212,0.212,0.212,0.212,8400,0
UFC,60,20240524,160000,0.212,0.212,0.212,0.212,212,0
UFC,60,20240527,120000,0.23,0.23,0.23,0.23,850,0
UFC,60,20240527,160000,0.2,0.2,0.2,0.2,14000,0
UFC,60,20240529,120000,0.151,0.151,0.151,0.151,11000,0
UFC,60,20240603,160000,0.199,0.2,0.199,0.2,12,0
UFC,60,20240604,120000,0.19,0.19,0.19,0.19,303180,0
UFC,60,20240604,160000,0.195,0.195,0.195,0.195,10,0
UFC,60,20240606,120000,0.194,0.194,0.194,0.194,1000,0
UFC,60,20240606,160000,0.194,0.194,0.194,0.194,500,0
UFC,60,20240610,120000,0.149,0.149,0.149,0.149,10000,0
UFC,60,20240610,160000,0.188,0.188,0.188,0.188,10,0
UFC,60,20240611,120000,0.152,0.152,0.152,0.152,4199,0
UFC,60,20240612,160000,0.187,0.187,0.18,0.18,5002,0
UFC,60,20240617,120000,0.152,0.152,0.152,0.152,5000,0
UFC,60,20240617,160000,0.186,0.186,0.186,0.186,1,0
UFC,60,20240626,120000,0.188,0.188,0.188,0.188,20993,0
UFC,60,20240626,160000,0.188,0.188,0.188,0.188,3339,0
UFC,60,20240627,120000,0.2,0.2,0.2,0.2,1,0
UFC,60,20240627,160000,0.274,0.274,0.274,0.274,2660,0
UFC,60,20240704,120000,0.268,0.268,0.23,0.23,12013,0
UFC,60,20240704,160000,0.272,0.272,0.272,0.272,1,0
UFC,60,20240709,120000,0.23,0.23,0.23,0.23,36,0
UFC,60,20240709,160000,0.23,0.23,0.23,0.23,4000,0
UFC,60,20240710,120000,0.21,0.21,0.21,0.21,5000,0
UFC,60,20240711,160000,0.234,0.234,0.21,0.21,4052,0
UFC,60,20240723,120000,0.252,0.252,0.212,0.212,3001,0
UFC,60,20240723,160000,0.24,0.24,0.24,0.24,5,0
