<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNL,60,20240415,110000,14.6,14.6,14.6,14.6,5,0
UNL,60,20240416,140000,14.6,14.6,14.6,14.6,5,0
UNL,60,20240418,150000,14.6,14.6,14.6,14.6,15,0
UNL,60,20240419,100000,14.6,14.6,14.6,14.6,5,0
UNL,60,20240419,130000,14.5,14.5,14.5,14.5,15,0
UNL,60,20240422,100000,14.8,15.5,14.8,15.5,455,0
UNL,60,20240422,150000,15,15,15,15,460,0
UNL,60,20240430,110000,14.7,14.7,14.7,14.7,10,0
UNL,60,20240430,120000,14.7,14.7,14.7,14.7,67,0
UNL,60,20240513,100000,14.7,14.7,14.7,14.7,20,0
UNL,60,20240527,170000,15,15,15,15,10,0
UNL,60,20240528,150000,15,15,15,15,10,0
UNL,60,20240529,100000,15.2,16,15.2,16,120,0
UNL,60,20240605,170000,15.9,15.9,15.9,15.9,5,0
UNL,60,20240606,120000,15.9,15.9,15.9,15.9,5,0
UNL,60,20240611,100000,15.8,15.8,15.8,15.8,5,0
UNL,60,20240614,130000,15.7,15.7,15.7,15.7,10,0
UNL,60,20240618,120000,15.6,15.6,15.5,15.6,85,0
UNL,60,20240619,150000,15.6,15.6,15.6,15.6,5,0
UNL,60,20240625,100000,15.6,15.6,15.6,15.6,15,0
UNL,60,20240626,150000,15.6,15.6,15.6,15.6,10,0
UNL,60,20240627,140000,15.2,15.2,15,15,80,0
UNL,60,20240701,110000,15,15,15,15,67,0
UNL,60,20240729,120000,15.4,15.4,15.4,15.4,25,0
UNL,60,20240827,160000,15.4,15.4,15.4,15.4,5,0
UNL,60,20240828,150000,15.4,15.4,15.4,15.4,10,0
UNL,60,20240829,100000,15.4,15.4,15.4,15.4,2,0
UNL,60,20240902,130000,15.3,15.4,15.3,15.4,90,0
UNL,60,20240903,100000,15.4,15.4,15.4,15.4,15,0
