<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VDS,60,20240718,120000,4.6,4.6,4.6,4.6,290,0
VDS,60,20240718,160000,4.7,4.7,4.7,4.7,1031,0
VDS,60,20240719,120000,4.9,4.9,4.9,4.9,250,0
VDS,60,20240719,160000,5.15,5.15,5.15,5.15,144,0
VDS,60,20240806,120000,5.1,5.1,4.48,4.48,2075,0
VDS,60,20240902,160000,4.12,4.3,4.12,4.3,510,0
VDS,60,20240904,120000,4.3,4.3,4.3,4.3,504,0
VDS,60,20240911,160000,4.2,4.2,4.2,4.2,250,0
VDS,60,20240920,120000,4.1,4.1,4.1,4.1,442,0
VDS,60,20241003,160000,4.36,4.36,4.36,4.36,1335,0
VDS,60,20241011,120000,4.36,4.48,4.36,4.48,556,0
VDS,60,20241011,150000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241023,100000,4.8,4.8,4.4,4.4,282,0
VDS,60,20241023,120000,4.48,4.48,4.48,4.48,250,0
VDS,60,20241105,100000,4.9,4.9,4.78,4.78,37,0
VDS,60,20241105,140000,4.68,4.68,4.68,4.68,166,0
VDS,60,20241107,110000,4.5,4.5,4.5,4.5,100,0
VDS,60,20241107,130000,4.68,4.78,4.68,4.68,487,0
VDS,60,20241113,140000,4.68,4.68,4.68,4.68,250,0
VDS,60,20241115,100000,4.88,4.88,4.4,4.4,3252,0
VDS,60,20241115,130000,4.4,4.4,4.4,4.4,796,0
VDS,60,20241115,150000,4.48,4.5,4.48,4.5,300,0
VDS,60,20241122,100000,4.2,4.2,4,4,1510,0
VDS,60,20241122,170000,4.16,4.16,4.16,4.16,270,0
VDS,60,20241125,100000,4.18,4.18,4.18,4.18,2,0
VDS,60,20241125,130000,4.16,4.16,4.16,4.16,270,0
VDS,60,20241202,100000,4.16,4.16,4.12,4.12,10,0
VDS,60,20241202,150000,4.06,4.1,4.06,4.1,2365,0
VDS,60,20241202,160000,4.16,4.16,4.16,4.16,556,0
VDS,60,20241204,100000,4.12,4.5,4.12,4.5,4,0
VDS,60,20241204,170000,4.2,4.2,4.2,4.2,10,0
VDS,60,20241205,100000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241205,170000,4.2,4.2,3.6,3.82,8529,0
VDS,60,20241206,110000,4,4.04,4,4.04,672,0
VDS,60,20241211,100000,4,4.48,4,4.48,494,0
VDS,60,20241211,130000,4.1,4.26,4.1,4.26,228,0
VDS,60,20241212,100000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241212,130000,4.12,4.12,4.12,4.12,1000,0
VDS,60,20241213,120000,4.12,4.12,4.12,4.12,1001,0
VDS,60,20241216,100000,4.34,4.34,4.34,4.34,2,0
VDS,60,20241216,120000,4.12,4.12,4.12,4.12,1000,0
VDS,60,20241218,100000,4.34,4.34,4.34,4.34,4,0
VDS,60,20241218,110000,4.12,4.12,4.1,4.1,1271,0
VDS,60,20241219,100000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241219,130000,4.02,4.02,4.02,4.02,1001,0
VDS,60,20241219,170000,4.02,4.02,4.02,4.02,9,0
VDS,60,20241220,100000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241220,130000,4.02,4.02,4.02,4.02,700,0
VDS,60,20241220,140000,4.02,4.02,4.02,4.02,301,0
VDS,60,20241220,150000,4,4,3.8,4,1616,0
VDS,60,20241223,100000,4.48,4.48,4.48,4.48,2,0
VDS,60,20241223,110000,3.92,3.92,3.92,3.92,3274,0
VDS,60,20250103,100000,4.48,4.48,4,4.48,1009,0
VDS,60,20250107,160000,3.92,3.92,3.92,3.92,620,0
VDS,60,20250108,100000,3.88,3.88,3.88,3.88,10,0
VDS,60,20250108,130000,4,4,4,4,428,0
VDS,60,20250114,100000,4,4,4,4,16,0
VDS,60,20250114,160000,4,4,4,4,36,0
VDS,60,20250203,100000,4,4.64,4,4.64,23,0
VDS,60,20250203,110000,4,4,4,4,1001,0
VDS,60,20250204,100000,4,4,4,4,10,0
VDS,60,20250204,110000,4,4,4,4,2023,0
VDS,60,20250207,100000,4,4,4,4,6,0
VDS,60,20250207,160000,4,4,4,4,880,0
VDS,60,20250210,150000,4.16,4.16,4.16,4.16,270,0
VDS,60,20250211,100000,4.06,4.06,4.06,4.06,20,0
VDS,60,20250211,140000,4.06,4.06,4.06,4.06,50,0
VDS,60,20250214,100000,4.68,4.68,4.68,4.68,14,0
VDS,60,20250214,140000,4.32,4.32,4.32,4.32,10,0
VDS,60,20250214,170000,4.32,5,4.3,4.3,3061,0
VDS,60,20250402,100000,4.3,5,4.2,5,1298,0
VDS,60,20250402,140000,4.4,4.4,4.4,4.4,228,0
VDS,60,20250408,100000,4.4,5,4.4,5,40,0
VDS,60,20250408,130000,4.66,4.66,4.66,4.66,228,0
VDS,60,20250430,100000,5,5,4.02,4.8,2045,0
VDS,60,20250430,110000,4.8,4.82,4.8,4.82,241,0
VDS,60,20250508,100000,5.05,5.05,5.05,5.05,17,0
VDS,60,20250508,120000,4.72,4.72,4.04,4.04,614,0
VDS,60,20250508,130000,4.5,4.5,4.5,4.5,223,0
VDS,60,20250508,140000,4.78,5.25,4.78,5.25,1365,0
VDS,60,20250509,100000,5.2,5.2,4.16,4.16,1367,0
